!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -1.835e-05 -1.693e-05 -1.764e-05     0       0
         -1.693e-05 -1.551e-05 -1.622e-05     0       0
         -1.551e-05 -1.408e-05 -1.479e-05    28      28
         -1.408e-05 -1.266e-05 -1.337e-05     0      28
         -1.266e-05 -1.124e-05 -1.195e-05     0      28
         -1.124e-05 -9.811e-06 -1.052e-05    59      87
         -9.811e-06 -8.388e-06 -9.100e-06     0      87
         -8.388e-06 -6.964e-06 -7.676e-06    61     148
         -6.964e-06 -5.541e-06 -6.253e-06     0     148
         -5.541e-06 -4.117e-06 -4.829e-06    53     201
         -4.117e-06 -2.694e-06 -3.405e-06     0     201
         -2.694e-06 -1.270e-06 -1.982e-06   100     301
         -1.270e-06  1.536e-07 -5.582e-07     0     301
          1.536e-07  1.577e-06  8.654e-07    11     312
          1.577e-06  3.001e-06  2.289e-06    52     364
          3.001e-06  4.424e-06  3.713e-06     0     364
          4.424e-06  5.848e-06  5.136e-06    55     419
          5.848e-06  7.272e-06  6.560e-06     0     419
          7.272e-06  8.695e-06  7.983e-06     0     419
          8.695e-06  1.012e-05  9.407e-06    58     477
          1.012e-05  1.154e-05  1.083e-05     0     477
          1.154e-05  1.297e-05  1.225e-05     0     477
          1.297e-05  1.439e-05  1.368e-05    23     500
          1.439e-05  1.581e-05  1.510e-05     0     500
          1.581e-05  1.724e-05  1.652e-05     0     500
          1.724e-05  1.866e-05  1.795e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/nalrd_wb072Ff
