oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
29.4511,216.4289,309.9063,894.395,95.40054,73.37342,12.38819
320.5351,667.6719,1257.123,3203.905,475.5004,381.7593,75.75154
79.51072,192.7697,846.0762,1131.586,213.3661,185.7137,56.21497
73.81699,382.2944,877.6047,1994.87,179.0543,140.888,37.1764
32.43238,32.11886,81.39885,124.033,38.22837,24.07832,8.481396
26.09568,123.6226,211.384,505.0342,78.49594,62.80905,10.18246
58.71864,50.08869,116.2106,127.3875,57.79615,49.80826,20.15783
629.0885,107.554,654.2651,378.2714,155.2616,140.9715,139.9911
80.43832,48.46075,108.0336,142.5164,44.92341,37.63548,26.01544
127.0615,398.2991,821.4614,1720.134,409.1024,319.5814,74.00609
18.8102,113.7091,197.93,625.5219,55.6357,34.81371,13.97408
58.55398,264.9009,529.9946,1127.27,191.1312,146.5444,27.30928
781.7502,172.7209,1027.192,729.5321,243.6409,220.9817,136.6725
37.21103,175.9617,546.7359,1073.267,189.6156,142.4782,31.62865
377.8857,436.7102,402.7485,1569.409,279.8664,198.2143,39.55813
20.79468,34.80278,62.68908,135.0244,16.73436,8.455825,5.354061
92.99165,780.0814,1294.044,3197.815,361.8596,297.3734,31.75658
185.3699,40.94098,121.9671,167.6016,58.45655,43.70353,15.61045
19.11737,9.95914,6.075896,22.68103,9.420129,8.891809,5.393081
37.35242,292.9573,389.2914,1343.694,162.2475,116.2269,20.06919
58.11486,244.5723,555.2137,1454.477,129.5634,97.92184,27.72981
259.3343,223.5367,153.7652,737.8834,154.6016,111.302,27.14389
2251.291,690.1702,184.5965,2386.451,237.3203,173.5499,43.39595
19.90236,15.2562,91.62339,47.04918,32.83377,19.95358,5.314837
43.97686,182.302,219.4202,773.2361,142.1628,96.30734,15.53211
54.28233,34.07005,169.0943,130.8854,87.54865,57.00411,15.24161
963.1175,516.0995,257.7149,1759.702,267.6492,187.1755,43.82019
371.3156,441.7184,797.3146,2028.662,402.8277,296.6229,77.34052
570.9513,522.0494,1505.974,2583.349,541.6896,448.9442,112.5573
1012.957,320.5421,66.7558,1069.924,136.7209,91.36351,34.38224
84.28969,117.351,682.4349,1074.804,255.5632,187.552,53.7139
27.53059,24.83605,87.23793,112.308,41.53555,15.68015,10.9044
16.46636,40.92029,75.2586,183.0686,43.90059,30.5558,6.018962
34.33789,11.58527,52.42678,37.52783,17.28456,9.358907,7.716419
36.11637,43.66949,121.9239,212.4063,48.89129,43.72777,11.50586
337.975,576.0186,889.3483,2096.773,384.335,314.126,41.35158
19.62111,17.49583,45.03111,43.18587,8.854374,6.105336,8.269514
78.99403,125.0016,341.8897,520.2317,145.2286,104.8341,44.49236
45.95641,33.02304,59.05032,77.75103,31.92299,24.45089,5.15342
33.32635,13.75163,55.61417,48.69826,22.93572,17.11759,7.451791
217.2586,459.0862,541.8112,1713.062,299.0884,220.2577,35.53174
551.6336,510.9267,420.1538,1994.137,343.0061,252.1735,41.84446
229.5169,398.5452,381.7099,1404.987,281.4323,196.3701,33.99814
926.4807,162.4221,894.3911,745.6865,272.7917,228.1953,113.789
679.0068,1222.833,1385.483,4317.115,694.3884,489.7947,62.05159
14.27895,7.824512,58.82405,42.86978,14.39591,15.26507,10.02981
20.13937,72.18346,213.3895,435.5932,53.88094,48.13091,15.50467
38.76844,164.4361,429.7924,794.9053,111.1268,99.11031,22.81964
29.47917,80.7164,85.0097,296.0841,72.84577,50.03892,7.595944
41.87753,136.3378,194.8277,568.1542,119.3443,78.14993,14.52749
23.21639,138.3552,417.377,732.1877,80.67002,81.52772,16.00914
41.24118,18.46746,119.6191,89.45821,46.31168,29.86412,12.00606
19.89283,12.80563,64.91419,48.31279,22.97287,20.07692,11.43161
22.14293,55.41388,172.6302,276.8207,69.59415,48.60447,9.161848
245.1151,182.6961,81.98075,591.4946,105.7872,71.93961,15.17731
120.2009,39.80713,120.8282,192.8379,56.48213,43.75245,12.52577
3079.864,1923.79,894.9173,6178.538,688.6321,486.6647,83.88581
332.5916,322.7106,243.6412,1082.738,217.0334,150.5024,26.49002
30.46326,23.40601,80.79301,81.34144,27.97551,28.65319,7.754985
36.3965,30.64636,80.22276,70.91519,39.73082,27.44036,11.29076
36.95411,145.5804,268.6407,716.1961,108.0559,82.17245,15.84553
141.8971,46.43078,136.6915,137.7231,58.32464,38.40429,26.41424
1184.588,265.1616,740.0583,1288.914,311.9319,248.0768,125.9233
16.19377,39.58924,76.32333,163.1851,25.98729,19.8427,6.002326
