jname ndup uid ra_1 dec_1 file root srcid nGr Grating grade zfit z comment References nRef sn50 wmin wmax Lya Ha OIII L_Ha L_OIII HST NIRCam slit FITS Fnu Flam ID Ra_2 Dec_2 Field M_UV zbest zphot zspec ref isBL Xray index MBH Lbol Separation_1 NUMBER ALPHA_J2000 DELTA_J2000 X_IMAGE Y_IMAGE A_IMAGE B_IMAGE THETA_IMAGE ELONGATION ELLIPTICITY FLUX_F090W FLUXERR_F090W MAG_F090W MAGERR_F090W FLAGS_F090W KRON_RADIUS_F090W FLUX_F115W FLUXERR_F115W MAG_F115W MAGERR_F115W FLAGS_F115W KRON_RADIUS_F115W FLUX_F140M FLUXERR_F140M MAG_F140M MAGERR_F140M FLAGS_F140M KRON_RADIUS_F140M FLUX_F150W FLUXERR_F150W MAG_F150W MAGERR_F150W FLAGS_F150W KRON_RADIUS_F150W FLUX_F200W FLUXERR_F200W MAG_F200W MAGERR_F200W FLAGS_F200W KRON_RADIUS_F200W FLUX_F277W FLUXERR_F277W MAG_F277W MAGERR_F277W FLAGS_F277W KRON_RADIUS_F277W FLUX_F356W FLUXERR_F356W MAG_F356W MAGERR_F356W FLAGS_F356W KRON_RADIUS_F356W FLUX_F410M FLUXERR_F410M MAG_F410M MAGERR_F410M FLAGS_F410M KRON_RADIUS_F410M FLUX_F430M FLUXERR_F430M MAG_F430M MAGERR_F430M FLAGS_F430M KRON_RADIUS_F430M FLUX_F444W FLUXERR_F444W MAG_F444W MAGERR_F444W FLAGS_F444W KRON_RADIUS_F444W FLUX_F460M FLUXERR_F460M MAG_F460M MAGERR_F460M FLAGS_F460M KRON_RADIUS_F460M Separation L_NUV L_FUV
j021753.07m051125.56 3 20651 34.471129 -5.190433 gto-wide-uds11-v3_g395h-f290lp_1215_4994.spec.fits gto-wide-uds11-v3 4994 0 "" 3 5.5084 5.5084 "Redshift matches gto-wide-uds11-v3_prism-clear_1215_4994 z=5.5050" "DKo24  z=N/A" 1 0.51 2.88 5.2 "" 38.4 "" 42.73 42.52 "" "" "" "FITS   zfit   spl" "" "" 11219 34.47112649680852 -5.190443847236024 UDS -19.19512162645615 5.428709506988525 5.428709506988525 0.0 Kokorev24/Kokorev24/Kocevski24 0 0 189 -99.0 8.99940199668419e+43 0.04006805097659827 85610 34.4711252 -5.1904431 11837.6943 27521.8105 3.289 3.144 -80.69 1.046 0.044 5.03580856763449 2.1435779412382794 27.144826969047546 0.4621621626924836 0 1.62 6.152894477349778 2.1127498728061873 26.92730133258615 0.37281462195526743 0 1.62 0.0 0.0 99.0 99.0 1 0.0 7.680615334677092 1.6739076424343706 26.686509962372508 0.23662454785450202 0 1.62 7.280490909782565 1.4089941549721654 26.74459834010281 0.21012263943497655 0 1.62 17.293286761463275 0.686930489700722 25.80530614221856 0.043128024944472564 0 1.62 39.88510734269981 0.6929381284520852 24.897973086988536 0.01886288050458189 0 1.62 116.63296017126689 1.1893510896041863 23.73294675435194 0.01107166907412437 0 1.62 0.0 0.0 99.0 99.0 1 0.0 84.60176188350685 0.8211203497147013 24.08155148104555 0.010537843093344724 0 1.62 0.0 0.0 99.0 99.0 1 0.0 0.03882860279871934 3.4019103164380273e+44 3.615027536130918e+44
j021741.35m051502.55 3 20829 34.422312 -5.250709 gto-wide-uds12-v3_g395h-f290lp_1215_1259.spec.fits gto-wide-uds12-v3 1259 0 "" 3 5.9624 5.9624 "Redshift matches gto-wide-uds12-v3_prism-clear_1215_1259 z=5.9635" "DKo24  z=N/A" 1 -0.34 2.88 4.08 "" "" "" "" 42.64 "" "" "" "FITS   zfit   spl" "" "" 37557 34.42231096893665 -5.250702720659581 UDS -19.7382513588335 5.655717849731445 5.655717849731445 0.0 Kokorev24/Kocevski24 0 0 152 -99.0 1.4304004467912497e+44 0.022905819935842866 50932 34.4223153 -5.2507076 17671.0527 20290.4375 3.262 3.097 58.94 1.053 0.051 11.571127105334337 0.9540035158882894 26.241560839486144 0.08951558022285977 0 1.6 10.53319584658385 0.93919299296032 26.343599601960342 0.09680972902852489 0 1.6 0.0 0.0 99.0 99.0 1 0.0 8.530480568476216 0.784585971362482 26.57256625491869 0.09985995372893001 0 1.6 10.614282820658024 0.6806746626824923 26.33527336162367 0.06962628916365103 0 1.6 17.16353121618588 0.38724390122787 25.813483389421467 0.024496399857296482 0 1.6 40.11462001545383 0.3972562087935244 24.891743293208943 0.010752076132989006 0 1.6 34.67570286935833 0.7082082799283926 25.049936817764298 0.022174817131312117 0 1.6 0.0 0.0 99.0 99.0 1 0.0 75.78569850910337 0.5091901733359377 24.20103185546425 0.007294861922153917 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.012859005723793296 4.388892083387352e+44 8.86136063314533e+44
j021727.24m051037.13 3 20773 34.363495 -5.17698 gto-wide-uds13-v3_g235h-f170lp_1215_4273.spec.fits gto-wide-uds13-v3 4273 0 "" 3 4.0536 4.0536 "Redshift matches gto-wide-uds13-v3_prism-clear_1215_4273 z=4.0611" "DKo24  z=N/A" 1 0.12 1.7 2.95 "" "" "" "" 42.27 "" "" "" "FITS   zfit   spl" "" "" 18804 34.363515044768505 -5.176963791951121 UDS -19.21290064350012 4.317291259765625 4.317291259765625 0.0 Kokorev24/Kocevski24 0 0 108 -99.0 9.136350753250528e+43 0.09257127168755987 94209 34.363511 -5.176962 24698.5605 29139.7637 4.227 4.146 34.82 1.02 0.019 9.103177406157464 1.098851500977605 26.502017483728846 0.13106004695208961 0 1.6 10.306610901111972 1.0505025029060127 26.367210298215667 0.11066378769291028 0 1.6 0.0 0.0 99.0 99.0 1 0.0 10.504713364905914 0.8645892339359686 26.346539483499193 0.08936139434936259 0 1.6 17.621228682014234 0.7296349920015824 25.7849095316353 0.04495663391980752 0 1.6 38.87311073693627 0.3516460978012071 24.925876761244695 0.009821567978657197 0 1.6 67.22170465199456 0.32931892419494263 24.33122619650777 0.005319018325427694 0 1.6 62.19530206836381 0.6031066581143534 24.41560604642571 0.010528363272931412 0 1.6 0.0 0.0 99.0 99.0 1 0.0 73.34085374407596 0.42966302878432333 24.23663509705856 0.006360720967675608 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.0865435568893647 2.2204950839687174e+44 2.6429476121977797e+44
j021704.97m051303.61 3 20969 34.270712 -5.217671 gto-wide-uds14-v3_g235h-f170lp_1215_4446.spec.fits gto-wide-uds14-v3 4446 0 "" 3 4.6871 4.6871 "Redshift matches gto-wide-uds14-v3_prism-clear_1215_4446 z=4.6909" "DKo24  z=N/A" 1 0.16 1.77 2.57 "" "" "" "" "" "" "" "" "FITS   zfit   spl" "" "" 55783 34.270711521139155 -5.2176792889822154 UDS -19.292877225315063 4.626031398773193 4.626031398773193 0.0 Kokorev24/Kocevski24 0 0 65 -99.0 9.779178156901662e+43 0.029889678853061593 70811 34.2707045 -5.2176787 35788.9023 24252.1914 3.609 3.445 40.17 1.047 0.045 8.414804253212704 2.3521475953131237 26.58738995553006 0.30349033991981533 0 1.6 9.684264112481001 2.2942453521467945 26.43483343711206 0.25721574840297146 0 1.6 0.0 0.0 99.0 99.0 1 0.0 11.642102443040113 1.8428698736705371 26.234921458803054 0.1718650520635389 0 1.6 13.974042345895658 1.5315980676696839 26.036694862565188 0.11900003106080352 0 1.6 45.071702324382706 0.730893665106057 24.76524009660622 0.017606561836132687 0 1.6 108.90483203209641 0.7461717173947514 23.807382126177135 0.007439023902109935 0 1.6 73.9191091987106 1.3509446076768268 24.228108188628948 0.019842899719401424 0 1.6 0.0 0.0 99.0 99.0 1 0.0 79.82722365039696 1.0149201847584117 24.14462243751008 0.013804007444351821 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.03861825394103677 3.2024488254141834e+44 3.784522822709216e+44
j021658.61m051445.14 4 15439 34.2442 -5.245871 rubies-uds1-nod-v3_prism-clear_4233_40579.spec.fits rubies-uds1-nod-v3 40579 1 G395M 3 3.1129 3.1129 "Redshift matches rubies-uds1-v3_prism-clear_4233_40579 z=3.1124" "DKo24  z=3.100" 1 53.57 0.6 5.29 "" 73.2 32.1 43.57 42.66 "" "" "" "FITS   zfit   spl" "" "" 33823 34.24419 -5.245834 UDS -18.09 3.1 3.1 3.1 Kocevski24/wang24 2 0 51 8.29 3.5524940312844474e+43 0.13793986467899588 54623 34.2441943 -5.2458708 38956.0977 20868.3789 5.428 4.957 40.97 1.095 0.087 7.430368875336484 2.100503850502338 26.722474063664993 0.3069286487638838 0 1.6 13.221586299350404 2.0024228763186844 26.09679108986324 0.16443586759040574 0 1.6 0.0 0.0 99.0 99.0 1 0.0 24.696173074766946 1.5848271968934553 25.418425849773676 0.06967493549479034 0 1.6 134.16154549598517 1.3224972422820926 23.58092986861613 0.010702643080996863 0 1.6 449.7107518192354 0.7043637825476335 22.26766682266373 0.0017005447544641901 0 1.6 441.28460740952227 0.7010236137694963 22.28820305263567 0.0017247977950737322 0 1.6 549.6033712944927 1.2043153382446403 22.049876529890803 0.0023791134351996306 0 1.6 0.0 0.0 99.0 99.0 1 0.0 621.3506341647562 0.905948582319865 21.916658135191696 0.0015830372118251718 0 1.6 0.0 0.0 99.0 99.0 1 0.0 0.020446733164518074 9.758512699231482e+43 2.085019269982328e+43
j021701.00m051724.13 2 15500 34.254161 -5.290037 rubies-uds1-nod-v3_prism-clear_4233_916674.spec.fits rubies-uds1-nod-v3 916674 1 G395M 3 6.0731 6.0731 "Redshift matches rubies-uds1-v3_g395m-f290lp_4233_916674 z=6.0659" "DKo24  z=N/A" 1 0.99 2.65 5.29 "" 12.0 "" 42.09 41.81 "" "" "" "FITS   zfit   spl" "" "" 66751 34.254151 -5.290015 UDS -19.32 10.54 10.54 0.0 Kocevski24 0 0 55 -99.0 1.000750519863177e+44 0.08693459362278066 25807 34.254155 -5.2900398 37764.5352 15568.3613 2.143 2.053 -70.74 1.044 0.042 0.5538218576952518 1.3162170401383353 29.541574769864027 2.580368531760148 0 2.08 1.9443080902546277 1.2620534330420201 28.17808729181655 0.704753074608439 0 2.08 0.0 0.0 99.0 99.0 1 0.0 1.6504638279138302 1.0653884989186215 28.355984973410767 0.7008519943578291 0 2.08 2.8316324174316048 0.8960096727573081 27.769907810932242 0.34355806055098287 0 2.08 2.4197151715474234 0.44801045254462935 27.94058938123217 0.20102414290633572 0 2.08 5.572428564732703 0.4255668656924116 27.034888725531715 0.08291777063809794 0 2.08 7.316554115409309 0.7616307346538564 26.739233527210057 0.11302179280388787 0 2.08 0.0 0.0 99.0 99.0 1 0.0 13.844840090331399 0.5655172212232702 26.046780140115217 0.044348834474809716 0 2.08 0.0 0.0 99.0 99.0 1 0.0 0.023752904384868375 8.252195623657886e+43 1.4763456771644275e+44
j021658.49m051617.18 2 15504 34.2437 -5.271438 rubies-uds1-nod-v3_prism-clear_4233_928474.spec.fits rubies-uds1-nod-v3 928474 1 G395M 3 6.9314 6.9314 "Redshift matches rubies-uds1-v3_prism-clear_4233_928474 z=6.9312" "DKo24  z=N/A" 1 1.05 0.6 5.29 -0.7 13.3 "" 42.56 42.07 "" "" "" "FITS   zfit   spl" "" "" 77750 34.243692 -5.271402 UDS -18.21 6.97 6.97 0.0 Kocevski24 0 0 50 -99.0 3.926187975574014e+43 0.13273507016565714 37356 34.2436974 -5.2714362 39014.6797 17800.4961 2.2 2.092 -24.94 1.052 0.049 0.2899934293422343 1.1874582823542528 30.244029605534834 4.445847106661138 0 1.99 1.4394715643381168 1.204731647258437 28.504492274642796 0.9086812125030241 0 1.99 0.0 0.0 99.0 99.0 1 0.0 1.7324427957711312 0.9867690065372857 28.303352741561085 0.6184162840735311 0 1.99 1.1723446998902172 0.8417946636924605 28.727361689118112 0.7796059839982944 0 1.99 2.1309747091655766 0.35442751283271456 28.07855426137265 0.18058158127814486 0 1.99 6.5395270124924085 0.3215726732043834 26.861134154912946 0.05338965541267556 0 1.99 11.766610092573842 0.6034661956998201 26.22337159355808 0.05568342044685097 0 1.99 0.0 0.0 99.0 99.0 1 0.0 12.413257898376045 0.4572024867268337 26.165285553988817 0.039989606017104724 0 1.99 0.0 0.0 99.0 99.0 1 0.0 0.011351673826766884 1.0424217265233428e+44 1.79578276476449e+44
j021658.04m051421.97 1 15467 34.241817 -5.239436 rubies-uds1-v3_g395m-f290lp_4233_44043.spec.fits rubies-uds1-v3 44043 0 "" 3 3.4986 3.4986 "Broad Ha; Broad Ha" "DKo24  z=3.500" 1 1.14 2.88 5.2 "" 28.1 "" 42.15 "" "" "" "" "FITS   zfit   spl" "" "" 32438 34.241809 -5.239401 UDS -16.77 3.5 3.5 3.5 Kocevski24 2 0 49 7.36 1.2007620706994132e+43 0.1292227664208502 58062 34.2418096 -5.2394345 39241.2617 21640.6602 3.422 2.975 68.83 1.15 0.131 2.205918445152323 1.7655928532822733 28.04102636967049 0.8690113126727138 0 1.7 1.0602278229751176 1.7301078036830648 28.83650200752258 1.7717330557522621 0 1.7 0.0 0.0 99.0 99.0 1 0.0 2.052043776626478 1.426230163113491 28.119533446443775 0.754618269867581 0 1.7 5.905300341564081 1.0812866269827097 26.971895023548296 0.19880310411527388 0 1.7 24.013301013586315 0.48973974629120665 25.448870337732878 0.02214306867500562 0 1.7 33.12234342071818 0.481980780936335 25.099697360674774 0.015799123184407498 0 1.7 50.418004494138025 0.9125619770527521 24.643535868402928 0.01965174122841431 0 1.7 0.0 0.0 99.0 99.0 1 0.0 60.602783731783795 0.6660155395351575 24.443768566169013 0.011932078688088266 0 1.7 0.0 0.0 99.0 99.0 1 0.0 0.027072707905552766 2.0917336323409078e+43 1.0008311823038177e+44
j021702.53m051232.99 1 15935 34.260549 -5.209163 rubies-uds2-v3_g395m-f290lp_4233_59971.spec.fits rubies-uds2-v3 59971 0 "" 3 5.3647 5.3647 "" "DKo24  z=5.360" 1 0.29 2.88 5.2 "" 15.0 "" 42.14 42.22 "" "" "" "FITS   zfit   spl" "" "" 116251 34.260537 -5.20912 UDS -17.81 5.36 5.36 5.36 Kocevski24/Kokorev24/Kokorev24 2 0 56 6.83 2.815581641136284e+43 0.16066703585995243 75100 34.2605448 -5.2091638 37003.2578 25273.7148 2.379 2.154 70.16 1.104 0.094 4.711119458896369 2.1074758545379906 27.217189708263604 0.4856940809693458 0 2.1 1.5331296279163438 2.0922997222104103 28.436052808707625 1.481730910579712 0 2.1 0.0 0.0 99.0 99.0 1 0.0 2.183522954200257 1.664316207036178 28.052105595536922 0.827565544327765 0 2.1 2.841851980436075 1.431237231423176 27.76599636576973 0.5468075362304698 0 2.1 4.1373973997446924 0.6343848428235859 27.358181907075128 0.16647532858358371 0 2.1 7.837793050411107 0.6122000876029137 26.6645155196145 0.08480547973025618 0 2.1 14.437752575004485 1.1533777714154307 26.001251012801877 0.08673538334193194 0 2.1 0.0 0.0 99.0 99.0 1 0.0 13.483746140951977 0.8504555520454654 26.075473581385815 0.06848025569013952 0 2.1 0.0 0.0 99.0 99.0 1 0.0 0.015330502101356263 8.390561701632888e+43 2.087424467692939e+44
j021741.83m050811.37 2 19828 34.424311 -5.136491 rubies-uds31-nod-v3_prism-clear_4233_149298.spec.fits rubies-uds31-nod-v3 149298 1 G395M 3 5.1649 5.1649 "broad Halpha;" - 0 1.01 0.6 5.29 3.3 22.5 "" 42.45 42.42 "" "" "" "FITS   zfit   spl" "" "" 43738 34.4243105632024 -5.1364909347605625 UDS -18.889104958022354 5.0900678634643555 5.0900678634643555 0.0 Kokorev24 0 0 154 -99.0 6.944313041062055e+43 0.001583668844322468 123839 34.4243113 -5.1364914 17432.1562 33996.375 3.616 3.365 40.17 1.075 0.07 3.3444197050486753 1.119371136123675 27.589198066009487 0.363393914709944 3 1.6 4.8500189210830165 1.0950077874549022 27.18564141776964 0.24513091983286556 3 1.6 0.0 0.0 99.0 99.0 3 0.0 6.374856060942975 0.8841171334683798 26.88882404199734 0.1505787694462239 3 1.6 8.84105214952528 0.7667109920733742 26.533740119271013 0.09415687958867923 3 1.6 32.61397261065057 0.40102724578931315 25.11649074464378 0.013350406742713242 3 1.6 43.22614124134732 0.3988837406494062 24.810633829532044 0.010018995595613185 3 1.6 83.88133971784778 0.6575123838011421 24.090836604451454 0.00851065329393906 3 1.6 0.0 0.0 99.0 99.0 3 0.0 72.65164202388316 0.4803003323765441 24.246886414053137 0.007177806935831518 3 1.6 0.0 0.0 99.0 99.0 3 0.0 0.001797401139034223 2.3045925294027263e+44 2.0876287772463457e+44
