# ID_1   RA_1_1     DEC_1_1    X         Y         isoarea_SE class_starSE flags_SE r50_SE f_autoSE e_autoSE a_f001w   ell_f001w theta_f001w rKron_f001w f_f435w  f_f606w  f_f775w f_f814w  f_f105w  f_f125w  f_f140w  f_f160w  f_f090w  f_f115w f_f150w f_f200w f_f277w f_f356w f_f410m f_f444w e_f435w e_f606w e_f775w e_f814w e_f105w e_f125w e_f140w e_f160w e_f090w e_f115w e_f150w e_f200w e_f277w e_f356w e_f410m e_f444w apopt flag_1 ID_2   RA_2_1     DEC_2_1    zspec_1 zphot_1 EAzY_eazy_v13 EAzY_Larson EAzY_LarsonLyaRed flag_2 Separation_1 ID            Ra_1_2             Dec_1_2             Field   M_UV                zbest              zphot_2            zspec_2 ref                            isBL Xray index MBH                Lbol                  jname                ndup uid   ra_2_2     dec_2_2    file                                                    root                   srcid    nGr Grating grade zfit   z      comment                                                               References                                                                             nRef sn50  wmin wmax Lya  Ha   OIII L_Ha  L_OIII HST NIRCam slit FITS              Fnu Flam GroupID GroupSize Separation_2          Separation           
  2887   3.592417   -30.432823 8760.053  3995.175  124.0      0.96         0.0      3.008  0.02734  0.00119  2.383065  0.053201  31.876255   19.064518   -0.00643 0.00147  0.0     0.00279  0.02264  0.01752  0.0      0.05177  0.00423  0.01252 0.0104  0.01152 0.01061 0.02352 0.0315  0.03151 0.00375 0.00262 -99.0   0.00349 0.01323 0.01232 -99.0   0.01515 0.00245 0.00191 0.00221 0.0014  9.3E-4  9.5E-4  0.00224 0.00122 0.28  102    2887   3.592417   -30.432823 6.742   6.742   6.742         6.742       6.742             102    0.0          35436         3.592416           -30.432824          A2744   -18.93              6.74               6.74               6.74    Kocevski24/greene23            0    0    20    6.681241237375588  7.18853040841885E43   j001422.18m302558.18 1    19787 3.59242    -30.432828 uncover-61-v3_prism-clear_2561_10065.spec.fits          uncover-61-v3          10065    0   ""      3     6.7406 6.7406 ""                                                                    "DKo24  z=6.740"                                                                       1    2.21  0.6  5.29 2.0  28.8 ""   42.28 41.96  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.019013614925162188  0.004753403774575489 
  4716   3.58029    -30.424406 9971.484  4970.844  534.0      0.93         2.0      4.302  0.17675  0.00218  5.436044  0.343201  15.949807   43.48835    5.6E-4   0.04568  0.0     0.09102  0.09708  0.08369  0.0      0.12844  0.0      0.08178 0.11342 0.14903 0.27918 0.22068 0.12519 0.13837 0.00265 0.00241 -99.0   0.0017  0.01804 0.01744 -99.0   0.02378 -99.0   0.00299 0.00274 0.00259 0.00196 0.00188 0.00258 0.00207 0.33  312    4716   3.58029    -30.424406 4.016   4.016   4.016         4.016       4.016             312    0.0          GLASS_160133  3.580292           -30.424389          A2744   -20.50757785471091  4.015              0.0                4.015   Harikane23                     3    0    17    6.361727836017593  1.1E45                j001419.27m302527.85 4    21992 3.580275   -30.424404 abell2744-ddt-v3_prism-clear_2756_160133.spec.fits      abell2744-ddt-v3       160133   0   ""      3     4.0224 4.0224 "; Redshifts match v2 grade=3"                                        "YIs23  z=4.015 ;  KNa23  z=4.015"                                                     2    2.32  0.6  5.29 3.6  35.7 ""   42.32 42.79  ""  ""     ""   "FITS   zfit   spl" ""  ""   3       5         0.07550464930789248   0.06151411258706402  
  4992   3.6192     -30.423266 6083.557  5101.458  452.0      0.98         0.0      3.076  0.23609  0.00195  3.370403  0.041202  -20.816862  26.963223   0.0      0.02838  0.0     0.00705  0.01096  0.05225  0.0      -0.00682 0.03328  0.02343 0.03155 0.02986 0.05939 0.16747 0.0     0.35795 -99.0   0.01648 -99.0   0.47499 0.017   0.01589 -99.0   0.02041 0.00396 0.00367 0.00539 0.00251 0.00166 0.00185 -99.0   0.00249 0.5   10013  4992   3.6192     -30.423266 5.837   5.837   5.837         5.837       5.837             10013  0.0          4286          3.619202           -30.42327           A2744   -20.50757785471091  5.84               0.0                5.84    greene23/Kocevski24            2    0    23    8.0                2.511886431509572E45  j001428.61m302523.77 1    16756 3.619201   -30.42327  uncover-v3_prism-clear_2561_4286.spec.fits              uncover-v3             4286     0   ""      3     5.8353 5.8353 "Redshifts match v2 grade=3"                                          "DKo24  z=5.840"                                                                       1    9.49  0.6  5.29 7.7  68.5 ""   42.95 42.37  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.003104309084921158  0.015681420240499892 
  5143   3.577142   -30.422543 10285.986 5186.75   459.0      0.94         3.0      4.132  0.14207  0.00195  4.121995  0.120393  58.766429   32.97596    0.0017   0.01016  0.0     0.06345  0.07197  0.05962  0.0      0.08909  0.0      0.0744  0.06802 0.08144 0.15408 0.13804 0.10922 0.12125 0.0022  0.00205 -99.0   0.00143 0.01504 0.01512 -99.0   0.01978 -99.0   0.00261 0.0022  0.0021  0.0015  0.00153 0.0022  0.00175 0.33  312    5143   3.577142   -30.422543 4.585   4.585   4.585         4.585       4.585             312    0.0          GLASS_150029  3.577167           -30.422583          A2744   -20.50757785471091  4.583              0.0                4.583   Harikane23                     3    0    14    6.568201724066995  9.1E44                j001418.52m302521.27 3    12485 3.577166   -30.422576 abell2744-glass-v3_g235h-f170lp_1324_150029.spec.fits   abell2744-glass-v3     150029   0   ""      3     4.5837 4.5837 ""                                                                    "YIs23  z=4.584 ;  KNa23  z=4.584"                                                     2    0.94  1.7  2.97 ""   ""   ""   ""    42.72  ""  ""     ""   "FITS   zfit   spl" ""  ""   1       2         0.025390487818965583  0.16358192622183748  
  9196   3.550837   -30.4066   12914.571 7034.218  954.0      0.96         3.0      3.219  0.46102  0.00254  4.889084  0.155046  82.823744   39.112675   0.00561  0.0093   0.0     0.02506  0.03026  0.05485  0.0      0.09037  0.03924  0.04577 0.05202 0.06178 0.21907 0.38745 0.71214 0.6325  0.00568 0.00366 -99.0   0.00488 0.01594 0.01524 -99.0   0.01915 0.00356 0.0028  0.00348 0.00208 0.00183 0.00221 0.0062  0.00254 0.33  10302  9196   3.550837   -30.4066   5.057   5.057   5.057         5.057       5.057             10302  0.0          9904          3.550837           -30.406602          A2744   -18.98              5.05               5.05               5.05    Kocevski24/greene23            2    0    10    -99.0              7.499073078228793E43  j001412.20m302423.75 1    19790 3.550838   -30.406598 uncover-61-v3_prism-clear_2561_21547.spec.fits          uncover-61-v3          21547    0   ""      3     5.0544 5.0544 LAE                                                                   "DKo24  z=5.050"                                                                       1    19.82 0.6  5.29 11.1 77.0 ""   42.98 42.66  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.014730920801607069  0.007200000005568831 
  9395   3.636965   -30.406354 4307.099  7060.083  555.0      0.97         0.0      4.089  0.41006  0.00514  4.543458  0.205183  -68.057716  36.34766    0.0      0.0      0.0     0.0      0.0      0.0      0.0      0.0      0.0      0.11041 0.25968 0.24327 0.24833 0.2916  0.0     0.76934 -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   -99.0   0.01072 0.00916 0.0075  0.00397 0.0049  -99.0   0.00707 0.5   28     9395   3.636965   -30.406354 8.511   8.511   8.511         8.511       8.511             28     0.0          9858          3.636965           -30.406357          A2744   -21.85              8.65               8.65               0.0     Kocevski24                     0    0    26    -99.0              8.973831344527008E44  j001432.87m302422.90 1    16387 3.63696    -30.406362 uncover-v3_prism-clear_2561_10646.spec.fits             uncover-v3             10646    0   ""      3     8.5115 8.5115 "Redshifts match v2 grade=3"                                          "DKo24  z=N/A"                                                                         1    11.89 0.6  5.29 3.5  ""   ""   ""    43.96  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.02376976800010569   0.010799999996903249 
  10798  3.579832   -30.401569 10016.819 7617.098  432.0      0.98         0.0      2.927  0.19282  0.00129  3.423737  0.056598  5.361915    27.389896   0.00359  0.00107  0.0     -0.001   0.01104  0.0201   0.02075  0.0258   0.01047  0.01564 0.01945 0.02495 0.02572 0.13934 0.25163 0.30385 0.00286 0.00219 -99.0   0.00165 0.00171 0.00246 0.00234 0.00222 0.00451 0.00269 0.00273 0.00214 0.00117 0.0013  0.00295 0.00167 0.5   10001  10798  3.579832   -30.401569 7.038   7.038   7.038         7.038       7.038             10001  0.0          9497          3.579833           -30.401568          A2744   -18.72              7.04               7.04               7.04    Kocevski24/greene23/furtak23   2    0    16    7.3                1.0E45                j001419.16m302405.65 2    6329  3.579832   -30.401569 uncover-62-v3_prism-clear_2561_24175.spec.fits          uncover-62-v3          24175    0   ""      3     7.0294 7.0293 ""                                                                    "DKo24  z=7.040 ;  LFu22  z=N/A"                                                       2    11.65 0.6  5.29 8.8  24.1 ""   42.51 40.6   ""  ""     ""   "FITS   zfit   spl" ""  ""   2       2         0.004754053094238658  0.004754053094238658 
  11238  3.620612   -30.399947 5940.948  7803.502  449.0      0.99         0.0      3.193  0.19044  0.00222  3.517484  0.08005   49.687428   28.139875   0.00294  3.0E-5   0.0     -0.0012  0.02276  0.02918  0.0      0.01136  0.0      0.02242 0.02426 0.02999 0.03618 0.12246 0.13923 0.30195 0.00326 0.00287 -99.0   0.00172 0.01599 0.01647 -99.0   0.01851 -99.0   0.00389 0.00315 0.00304 0.00186 0.00204 0.00377 0.00275 0.5   10012  11238  3.620612   -30.399947 6.351   6.351   6.351         6.351       6.351             10012  0.0          9358          3.620612           -30.399949          A2744   -18.63              6.34               6.34               6.34    Kocevski24/greene23            2    0    24    8.1                2.511886431509572E45  j001428.95m302359.82 1    19793 3.620607   -30.399951 uncover-61-v3_prism-clear_2561_24968.spec.fits          uncover-61-v3          24968    0   ""      3     6.3535 6.3535 ""                                                                    "DKo24  z=6.340"                                                                       1    5.75  0.6  5.29 -0.8 52.6 ""   42.7  42.39  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.017113547606004784  0.007200000005568831 
  12048  3.583537   -30.396675 9646.323  8184.101  322.0      0.98         3.0      3.707  0.21857  0.00129  3.492031  0.027831  45.376429   27.936251   -0.00154 0.01298  0.0     0.02118  0.06005  0.07296  0.07633  0.08487  0.02901  0.05012 0.0622  0.0763  0.06174 0.15357 0.24697 0.30539 0.00237 0.00186 -99.0   0.00138 0.00163 0.00238 0.00224 0.00212 0.00391 0.00216 0.00227 0.00182 0.00107 0.00119 0.00265 0.0015  0.33  301    12048  3.583537   -30.396675 7.038   7.038   7.038         7.038       7.038             301    0.0          15383a        3.583534           -30.396678          A2744   -20.50757785471091  7.04               0.0                7.04    greene23/furtak23              1    0    18    7.3                1.0E45                j001420.05m302348.04 1    16414 3.583535   -30.396679 uncover-v3_prism-clear_2561_15383.spec.fits             uncover-v3             15383    0   ""      3     7.0315 7.0315 "Redshift matches uncover-v2_prism-clear_2561_15383 z=7.0353"         "LFu22  z=N/A"                                                                         1    16.0  0.6  5.29 1.5  32.0 ""   42.54 40.53  ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.004754154638110788  0.014262464061099298 
  12781  3.59721    -30.394332 8279.658  8455.201  228.0      0.96         0.0      3.15   0.06016  0.00121  3.289842  0.209339  52.779305   26.318735   -0.00122 -6.3E-4  0.0     -4.5E-4  0.00479  0.00788  0.00702  0.00653  0.0      0.00757 0.01135 0.00921 0.00931 0.0428  0.07476 0.08956 0.00189 0.00146 -99.0   0.00112 0.00142 0.00206 0.00194 0.00184 -99.0   0.0019  0.00158 0.00159 8.1E-4  9.0E-4  0.00172 0.00119 0.28  11     12781  3.59721    -30.394332 7.04    7.04    7.04          7.04        7.04              11     0.0          16594a        3.597203           -30.39433           A2744   -20.50757785471091  7.04               0.0                7.04    greene23/furtak23/Kocevski24   1    0    21    7.3                1.0E45                j001423.33m302339.58 1    16423 3.597203   -30.394329 uncover-v3_prism-clear_2561_16594.spec.fits             uncover-v3             16594    0   ""      3     7.0315 7.0315 "Redshift matches uncover-v2_prism-clear_2561_16594 z=7.0353"         "LFu22  z=N/A ;  DKo24  z=N/A"                                                         2    6.64  0.6  5.29 1.9  23.2 ""   42.14 40.6   ""  ""     ""   "FITS   zfit   spl" ""  ""   ""      ""        0.003600000014234412  0.022898035804881575 
