NIRSpec ID,JADES ID,Redshift,log M_star,log M_star_upper,log M_star_lower,SFR_a,SFR_a_upper,SFR_a_lower,SFR_Ha,SFR_Ha_upper,SFR_Ha_lower,12_plus_logOH,12_plus_logOH_upper,12_plus_logOH_lower,C,Metallicity_diagnostics,NC,AGN,ra_1,dec_1,jname,ndup,uid,ra_2,dec_2,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,Separation
2923,+53.15407-27.82094,3.015,7.39,0.05,0.05,0.28,0.02,0.02,0.23,0.02,0.02,7.44,0.16,0.13,P,"R3 , R2 , R , O32",1.0,\\,53.15407,-27.82094,j033236.98m274915.39,5,7342,53.154077,-27.820943,gds-deep-v3_g235m-f170lp_1210_214.spec.fits,gds-deep-v3,214,0,,3,3.015,3.015,Redshifts match v2 grade=3,ABu23  z=3.015,1,0.56,1.7,3.15,,12.4,,41.24,41.41,,,,FITS   zfit   spl,,,0.02476604048956184
21150,+53.16995-27.76840,3.088,8.18,0.01,0.01,2.38,0.09,0.08,2.57,0.04,0.04,8.12,0.05,0.05,M,"R3 , R2 , R , O32 , Ne3O2",0.0,\\,53.16995,-27.7684,j033240.79m274606.25,5,7600,53.169953,-27.768402,gds-deep-v3_g140m-f070lp_1210_7948.spec.fits,gds-deep-v3,7948,0,,3,3.096,3.096,Redshifts match v2 grade=3,ABu23  z=3.088,1,2.9,0.7,1.26,,,,,,,,,FITS   zfit   spl,,,0.011965029591511899
18322,+53.13171-27.77412,3.151,6.88,0.02,0.02,0.79,0.02,0.02,0.8,0.02,0.02,7.63,0.1,0.09,M,"R3 , R2 , R , O32 , Ne3O2",0.0,\\,53.13171,-27.77412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,+53.12304-27.79564,3.154,7.92,0.13,0.13,0.64,0.17,0.11,0.26,0.08,0.08,8.18,0.13,0.18,M,"R3 , R2 , R , O32",1.0,\\,53.12304,-27.79564,j033229.54m274744.27,5,7323,53.123073,-27.79563,gds-deep-v3_g235m-f170lp_1210_13980.spec.fits,gds-deep-v3,13980,0,,3,3.154,3.154,Redshifts match v2 grade=3,ABu23  z=3.154,1,0.6,1.7,3.15,,,,,41.51,,,,FITS   zfit   spl,,,0.11108744788294915
19431,+53.16292-27.77141,3.32,7.43,0.11,0.11,2.49,0.11,0.11,0.86,0.05,0.05,8.06,0.1,0.13,M,"R3 , R2 , R , O32",1.0,\\,53.16292,-27.77141,j033239.10m274617.09,5,7605,53.162918,-27.771414,gds-deep-v3_g235m-f170lp_1210_8105.spec.fits,gds-deep-v3,8105,0,,3,3.3201,3.3201,Redshifts match v2 grade=3,ABu23  z=3.320,1,0.86,1.7,3.15,,13.9,,41.4,41.8,,,,FITS   zfit   spl,,,0.015746278281520972
10013597,+53.12325-27.76939,3.323,7.48,0.13,0.13,0.77,0.2,0.12,0.28,0.01,0.01,7.94,0.1,0.12,P,"R3 , R2 , R , O32",0.0,$â¡$ \\,53.12325,-27.76939,j033229.58m274609.82,5,7311,53.123249,-27.769394,gds-deep-v3_g140m-f070lp_1210_13597.spec.fits,gds-deep-v3,13597,0,,3,3.3345,3.3345,Redshifts match v2 grade=3,ABu23  z=3.323,1,0.36,0.7,1.26,,,,,,,,,FITS   zfit   spl,,,0.014748108226721809
3322,+53.12574-27.81921,3.406,8.04,0.25,0.25,0.63,0.48,0.15,0.39,0.09,0.09,7.81,0.25,0.25,P,R3,1.0,\\,53.12574,-27.81921,j033230.18m274909.17,1,7905,53.125734,-27.819213,gds-deep-v3_prism-clear_1210_13767.spec.fits,gds-deep-v3,13767,0,,3,3.4044,3.4044,Redshifts match v2 grade=3,ABu23  z=3.403,1,5.22,0.6,5.29,,26.1,27.5,41.14,41.47,,,,FITS   zfit   spl,,,0.021945076723394047
7629,+53.16983-27.80344,3.452,8.45,0.09,0.09,0.86,0.1,0.07,0.41,0.02,0.02,8.06,0.13,0.2,P,"R3 , R2 , R , O32",1.0,\\,53.16983,-27.80344,j033240.76m274812.35,1,7907,53.169832,-27.803423,gds-deep-v3_prism-clear_1210_13964.spec.fits,gds-deep-v3,13964,0,,3,3.4473,3.4473,Redshifts match v2 grade=3,ABu23  z=3.456,1,3.77,0.6,5.29,,20.8,26.1,41.34,41.75,,,,FITS   zfit   spl,,,0.061530491490844066
3184,+53.15010-27.81971,3.468,8.52,0.11,0.11,6.11,0.66,0.61,1.85,0.03,0.03,7.81,0.07,0.08,P,"R3 , R2 , R , O32 , Ne3O2",0.0,\\,53.1501,-27.81971,j033236.03m274910.93,5,7308,53.150109,-27.819703,gds-deep-v3_g235m-f170lp_1210_13491.spec.fits,gds-deep-v3,13491,0,,3,3.4677,3.4677,Redshifts match v2 grade=3,ABu23  z=3.468,1,2.39,1.7,3.15,,21.6,,41.62,41.81,,,,FITS   zfit   spl,,,0.03815968941446948
7809,+53.12972-27.80274,3.578,8.29,0.05,0.05,1.85,0.31,0.23,0.98,0.09,0.09,7.58,0.09,0.08,P,"R3 , R2 , R , O32 , Ne3O2",0.0,\\,53.12972,-27.80274,j033231.14m274809.83,5,7627,53.129737,-27.802731,gds-deep-v3_g140m-f070lp_1210_9694.spec.fits,gds-deep-v3,9694,0,,3,3.569,3.569,Redshift matches gds-deep-v3_g395h-f290lp_1210_9694 z=3.5776,ABu23  z=3.578,1,0.84,0.7,1.26,,,,,,,,,FITS   zfit   spl,,,0.06309007413167178
