id redshift hst.acs.wfc.F435W hst.acs.wfc.F435W_err hst.acs.wfc.F606W hst.acs.wfc.F606W_err hst.acs.wfc.F775W hst.acs.wfc.F775W_err hst.acs.wfc.F814W hst.acs.wfc.F814W_err hst.wfc3.ir.F105W hst.wfc3.ir.F105W_err hst.wfc3.ir.F125W hst.wfc3.ir.F125W_err hst.wfc3.ir.F140W hst.wfc3.ir.F140W_err hst.wfc3.ir.F160W hst.wfc3.ir.F160W_err jwst.nircam.F090W jwst.nircam.F090W_err jwst.nircam.F115W jwst.nircam.F115W_err jwst.nircam.F150W jwst.nircam.F150W_err jwst.nircam.F200W jwst.nircam.F200W_err jwst.nircam.F277W jwst.nircam.F277W_err jwst.nircam.F356W jwst.nircam.F356W_err jwst.nircam.F410M jwst.nircam.F410M_err jwst.nircam.F444W jwst.nircam.F444W_err
22072 7.8916 -3.15e-06 2.44e-06 2.0000000000000002e-07 2.14e-06 -99.0 -99.0 -1.1399999999999999e-06 1.61e-06 3.93e-05 3.21e-06 8.028000000000001e-05 4.07e-06 8.52e-05 4.57e-06 0.00010183 4.34e-06 -99.0 -99.0 5.869e-05 3.15e-06 9.589e-05 2.56e-06 8.588e-05 2.44e-06 9.332e-05 1.33e-06 0.00010918 1.43e-06 8.981999999999999e-05 2.5899999999999998e-06 0.00025053 1.8600000000000002e-06
21979 7.8811 -9.71e-06 1.087e-05 -3.73e-06 8.97e-06 -99.0 -99.0 6.7600000000000005e-06 6.9e-06 3.388e-05 7.2e-06 0.00014371999999999999 1.0510000000000001e-05 0.00015602 9.8e-06 0.00020449999999999998 9.45e-06 -99.0 -99.0 8.372e-05 1.252e-05 0.00018125 1.025e-05 0.00021196 9.89e-06 0.00025873000000000004 5.74e-06 0.00036631 6.12e-06 0.0003705 1.15e-05 0.00046322000000000003 8.030000000000001e-06
12460 7.8774 3.9399999999999995e-06 2.86e-06 -1e-08 2.32e-06 -99.0 -99.0 2.1099999999999997e-06 1.73e-06 4.3299999999999995e-05 2.7299999999999997e-06 0.00013636 3.969999999999999e-06 0.00015688 3.83e-06 0.00016385 3.8e-06 -99.0 -99.0 9.336e-05 3.2599999999999997e-06 0.00014699 2.74e-06 0.0001346 2.7200000000000002e-06 0.00013467 1.52e-06 0.00015926000000000002 1.64e-06 0.00014176 2.98e-06 0.00038473 2.19e-06
21980 7.8798 -1.8699999999999999e-06 2.32e-06 2.2399999999999997e-06 1.99e-06 -99.0 -99.0 -8.1e-07 1.47e-06 1.934e-05 1.77e-06 5.469e-05 2.57e-06 5.142e-05 2.35e-06 5.673e-05 2.3e-06 -99.0 -99.0 3.66e-05 2.97e-06 6.019e-05 2.45e-06 5.236e-05 2.4199999999999997e-06 4.282e-05 1.2099999999999998e-06 5.4449999999999995e-05 1.2999999999999998e-06 5.263e-05 2.4199999999999997e-06 6.907e-05 1.72e-06
12463 7.2867 3.63e-06 5.57e-06 -3.47e-06 4.8e-06 -99.0 -99.0 1.3e-07 2.9099999999999997e-06 0.000194 2.5770000000000002e-05 0.00036337 2.429e-05 -99.0 -99.0 0.00040231 3.123e-05 -2.08e-06 6.14e-06 0.00033034000000000004 5.590000000000001e-06 0.00038184 7.46e-06 0.00032774 4.16e-06 0.00030336 2.93e-06 0.00029868 2.8800000000000004e-06 0.0008983400000000001 7.7e-06 0.0005584 3.6e-06
12484 6.2282 -1.13e-06 3.3e-06 2.52e-06 2.8900000000000003e-06 -99.0 -99.0 1.624e-05 1.79e-06 0.00011347 1.875e-05 0.00011237999999999999 1.856e-05 -99.0 -99.0 9.510000000000001e-05 2.309e-05 5.5129999999999996e-05 4.12e-06 0.00011699 3.54e-06 0.00012141 4.52e-06 0.00010947999999999999 2.5999999999999997e-06 0.00010860999999999999 1.68e-06 0.00017924 1.8699999999999999e-06 0.00010302 3.86e-06 0.00016220999999999998 2.1099999999999997e-06
12589 5.7717 5.7000000000000005e-06 3.06e-06 5.2e-07 2.61e-06 -99.0 -99.0 6.023e-05 2.0100000000000002e-06 0.00015141 9.88e-06 0.00019470000000000002 1.6740000000000002e-05 -99.0 -99.0 0.00018908 1.33e-05 0.00012338 5.369999999999999e-06 0.00016956 3.89e-06 0.00017967 4.76e-06 0.00019172000000000001 3.15e-06 0.00026085 2.2200000000000003e-06 0.00032482 2.43e-06 0.00028708 4.9199999999999995e-06 0.0003237 2.66e-06
12469 5.7634 -5.0800000000000005e-06 3.56e-06 -3e-07 3.29e-06 -99.0 -99.0 3.82e-05 2.34e-06 0.00012006 3.92e-06 0.0001349 5.56e-06 0.00013188 5.31e-06 0.00013803 5.04e-06 8.476000000000001e-05 5.7000000000000005e-06 0.00012406 3.6e-06 0.00014366000000000002 3.77e-06 0.00014192 2.82e-06 0.00017691 1.9699999999999998e-06 0.000223 2.08e-06 0.00017088999999999999 3.73e-06 0.00020467 2.37e-06
12586 5.1334 6.96e-06 5.51e-06 3.67e-06 4.85e-06 -99.0 -99.0 4.333e-05 3.3800000000000002e-06 7.290000000000001e-05 5.16e-06 8.262e-05 7.2100000000000004e-06 6.567e-05 7.42e-06 6.053e-05 6.5e-06 5.52e-05 9.53e-06 7.553e-05 4.890000000000001e-06 8.014e-05 5e-06 7.547e-05 4.21e-06 0.00015982 3.0799999999999997e-06 0.00011655 3.0300000000000002e-06 0.00015062 5.28e-06 0.00013744 4.21e-06
12601 4.7941 3.21e-06 4.9e-06 3.3169999999999996e-05 3.76e-06 -99.0 -99.0 0.00012208 2.83e-06 0.00012465 2.98e-06 0.00012069000000000001 4.270000000000001e-06 0.000124 4.07e-06 0.00012409 3.86e-06 -99.0 -99.0 0.00012746 6.34e-06 0.00013393 5.36e-06 0.00014199000000000001 5.12e-06 0.00022332 2.98e-06 0.0001769 3.06e-06 0.00012679000000000002 6.2e-06 0.00011686 3.99e-06
