id redshift hst.acs.wfc.F435W hst.acs.wfc.F435W_err hst.acs.wfc.F606W hst.acs.wfc.F606W_err hst.acs.wfc.F775W hst.acs.wfc.F775W_err hst.acs.wfc.F814W hst.acs.wfc.F814W_err hst.wfc3.ir.F105W hst.wfc3.ir.F105W_err hst.wfc3.ir.F125W hst.wfc3.ir.F125W_err hst.wfc3.ir.F140W hst.wfc3.ir.F140W_err hst.wfc3.ir.F160W hst.wfc3.ir.F160W_err jwst.nircam.F090W jwst.nircam.F090W_err jwst.nircam.F115W jwst.nircam.F115W_err jwst.nircam.F150W jwst.nircam.F150W_err jwst.nircam.F200W jwst.nircam.F200W_err jwst.nircam.F277W jwst.nircam.F277W_err jwst.nircam.F356W jwst.nircam.F356W_err jwst.nircam.F410M jwst.nircam.F410M_err jwst.nircam.F444W jwst.nircam.F444W_err
2923 3.015 1.8599999999999998e-05 1.26e-06 3.0370000000000002e-05 4.7e-07 2.692e-05 6.3e-07 2.796e-05 3.65e-06 1.701e-05 3.3700000000000003e-06 3.161e-05 6.1599999999999995e-06 8.8e-07 2.333e-05 3.3480000000000005e-05 7.01e-06 2.786e-05 3.19e-06 2.16e-05 2.2200000000000003e-06 2.079e-05 2.5e-06 3.097e-05 2.12e-06 2.6360000000000002e-05 1.4499999999999999e-06 1.782e-05 1.31e-06 1.6709999999999998e-05 2.51e-06 2.056e-05 1.78e-06
21150 3.088 0.00024444 2.02e-06 0.00042745 7.200000000000001e-07 0.00039785 9.7e-07 0.00043078 5.68e-06 0.00035234 1.24e-06 0.00033118 2.0699999999999997e-06 0.00035757 1.9200000000000003e-06 0.00039114 1.74e-06 0.00038532 3.13e-06 0.00036281000000000003 2.41e-06 0.00039527000000000003 2.5400000000000002e-06 0.00054762 2.76e-06 0.00047557 1.9e-06 0.00041991 1.9200000000000003e-06 0.00045140999999999996 2.8500000000000002e-06 0.00045506999999999996 2e-06
18322 3.151 8.26e-06 3.14e-06 2.2630000000000002e-05 3.5100000000000003e-06 2.522e-05 6.65e-06 2.541e-05 3.29e-06 1.522e-05 4.9100000000000004e-06 1.3690000000000001e-05 5.950000000000001e-06 6.279e-05 2.485e-05 2.234e-05 7.2100000000000004e-06 2.124e-05 2.26e-06 2.341e-05 1.78e-06 2.982e-05 1.77e-06 6.65e-05 2.1099999999999997e-06 4.21e-05 1.09e-06 2.306e-05 1.28e-06 2.1510000000000002e-05 1.83e-06 2.422e-05 1.31e-06
10040 3.154 8.15e-06 1.55e-06 1.9679999999999998e-05 5.699999999999999e-07 2.449e-05 7.6e-07 2.87e-05 4.0299999999999995e-06 2.273e-05 5.3400000000000005e-06 3.127e-05 6.56e-06 1.2099999999999998e-06 2.418e-05 3.4529999999999996e-05 8.030000000000001e-06 2.92e-05 2.13e-06 2.93e-05 1.6000000000000001e-06 3.831e-05 1.67e-06 6.287e-05 1.68e-06 5.651e-05 9.8e-07 4.752e-05 1.03e-06 5.063e-05 1.73e-06 5.265e-05 1.2099999999999998e-06
19431 3.32 2.058e-05 1.61e-06 4.292e-05 5.900000000000001e-07 4.7629999999999996e-05 7.799999999999999e-07 4.8570000000000004e-05 5.07e-06 4.434e-05 1.07e-06 4.498e-05 1.77e-06 4.811e-05 1.66e-06 5.785e-05 1.5800000000000001e-06 5.4829999999999995e-05 3.8e-06 4.907e-05 2.74e-06 5.636e-05 3.11e-06 0.00011353 2.7e-06 7.954e-05 2.15e-06 5.003e-05 1.8e-06 5.998e-05 3.36e-06 5.8979999999999994e-05 2.47e-06
10013597 3.323 1.1390000000000001e-05 3.49e-06 2.1819999999999998e-05 3.8400000000000005e-06 3.207e-05 7.97e-06 2.887e-05 3.5500000000000003e-06 2.7040000000000002e-05 3.99e-06 2.812e-05 5.060000000000001e-06 4.081e-05 2.189e-05 3.9489999999999996e-05 6.09e-06 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.053e-05 4.77e-06
3322 3.406 -4.2e-07 3.68e-06 7.97e-06 2.5999999999999997e-06 1.107e-05 3.98e-06 7.61e-06 1.81e-06 1.161e-05 2.31e-06 4.54e-06 3.2000000000000003e-06 1.0189999999999999e-05 1.3820000000000002e-05 9.129999999999999e-06 3.85e-06 1.055e-05 1.55e-06 1.031e-05 1.05e-06 1.313e-05 1.2e-06 2.487e-05 1.04e-06 1.9019999999999997e-05 7.3e-07 1.592e-05 6.499999999999999e-07 1.988e-05 1.2700000000000001e-06 1.765e-05 8.8e-07
7629 3.452 1.1299999999999999e-05 1.66e-06 3.6339999999999994e-05 5.900000000000001e-07 4.1570000000000003e-05 8.000000000000001e-07 4.053e-05 4.890000000000001e-06 4.154e-05 5.66e-06 2.366e-05 7.08e-06 4.752e-05 1.464e-05 4.406e-05 8.47e-06 4.346e-05 2.96e-06 4.041e-05 2.33e-06 4.035e-05 2.31e-06 6.759e-05 2.6700000000000003e-06 6.051e-05 1.4e-06 4.719e-05 1.67e-06 5.079e-05 2.41e-06 5.344e-05 1.71e-06
3184 3.468 2.8230000000000002e-05 2.4599999999999997e-06 0.00010251 9.8e-07 0.0001351 1.29e-06 0.00013795 5.11e-06 0.00012591 5.48e-06 0.0001376 7.3099999999999995e-06 0.00011915000000000001 2.767e-05 0.00015642 8.789999999999999e-06 0.00015257 4.4e-06 0.00015316 3.0799999999999997e-06 0.00016511 3.5e-06 0.00026018000000000005 3.0799999999999997e-06 0.0002263 2.16e-06 0.00017862 1.8600000000000002e-06 0.0002006 3.64e-06 0.00020379 2.5e-06
7809 3.578 1.4590000000000001e-05 1.38e-06 5.6779999999999995e-05 4.9e-07 7.549999999999999e-05 6.6e-07 8.464e-05 3.1199999999999998e-06 7.593e-05 3.85e-06 8.389000000000001e-05 5.369999999999999e-06 3.025e-05 2.013e-05 9.007999999999999e-05 6.12e-06 7.91e-05 1.78e-06 8.247e-05 1.34e-06 8.501e-05 1.39e-06 0.00012117 1.46e-06 0.00013031000000000002 8.499999999999999e-07 9.904e-05 8.8e-07 9.873999999999999e-05 1.43e-06 0.00010944 1.02e-06
