# %ECSV 1.0
# ---
# datatype:
# - {name: id, datatype: int64}
# - {name: redshift, datatype: float64}
# - {name: hst.acs.wfc.F435W, datatype: float64}
# - {name: hst.acs.wfc.F435W_err, datatype: float64}
# - {name: hst.acs.wfc.F606W, datatype: float64}
# - {name: hst.acs.wfc.F606W_err, datatype: float64}
# - {name: hst.acs.wfc.F775W, datatype: float64}
# - {name: hst.acs.wfc.F775W_err, datatype: float64}
# - {name: hst.acs.wfc.F814W, datatype: float64}
# - {name: hst.acs.wfc.F814W_err, datatype: float64}
# - {name: hst.wfc3.ir.F105W, datatype: float64}
# - {name: hst.wfc3.ir.F105W_err, datatype: float64}
# - {name: hst.wfc3.ir.F125W, datatype: float64}
# - {name: hst.wfc3.ir.F125W_err, datatype: float64}
# - {name: hst.wfc3.ir.F140W, datatype: float64}
# - {name: hst.wfc3.ir.F140W_err, datatype: float64}
# - {name: hst.wfc3.ir.F160W, datatype: float64}
# - {name: hst.wfc3.ir.F160W_err, datatype: float64}
# - {name: jwst.nircam.F090W, datatype: float64}
# - {name: jwst.nircam.F090W_err, datatype: float64}
# - {name: jwst.nircam.F115W, datatype: float64}
# - {name: jwst.nircam.F115W_err, datatype: float64}
# - {name: jwst.nircam.F150W, datatype: float64}
# - {name: jwst.nircam.F150W_err, datatype: float64}
# - {name: jwst.nircam.F200W, datatype: float64}
# - {name: jwst.nircam.F200W_err, datatype: float64}
# - {name: jwst.nircam.F277W, datatype: float64}
# - {name: jwst.nircam.F277W_err, datatype: float64}
# - {name: jwst.nircam.F356W, datatype: float64}
# - {name: jwst.nircam.F356W_err, datatype: float64}
# - {name: jwst.nircam.F410M, datatype: float64}
# - {name: jwst.nircam.F410M_err, datatype: float64}
# - {name: jwst.nircam.F444W, datatype: float64}
# - {name: jwst.nircam.F444W_err, datatype: float64}
# schema: astropy-2.0
id redshift hst.acs.wfc.F435W hst.acs.wfc.F435W_err hst.acs.wfc.F606W hst.acs.wfc.F606W_err hst.acs.wfc.F775W hst.acs.wfc.F775W_err hst.acs.wfc.F814W hst.acs.wfc.F814W_err hst.wfc3.ir.F105W hst.wfc3.ir.F105W_err hst.wfc3.ir.F125W hst.wfc3.ir.F125W_err hst.wfc3.ir.F140W hst.wfc3.ir.F140W_err hst.wfc3.ir.F160W hst.wfc3.ir.F160W_err jwst.nircam.F090W jwst.nircam.F090W_err jwst.nircam.F115W jwst.nircam.F115W_err jwst.nircam.F150W jwst.nircam.F150W_err jwst.nircam.F200W jwst.nircam.F200W_err jwst.nircam.F277W jwst.nircam.F277W_err jwst.nircam.F356W jwst.nircam.F356W_err jwst.nircam.F410M jwst.nircam.F410M_err jwst.nircam.F444W jwst.nircam.F444W_err
1161 6.634 -5.33e-06 4.839999999999999e-06 5.4e-07 5.73e-06 -99.0 -99.0 -6.7e-07 5.199999999999999e-06 -99.0 -99.0 1.267e-05 1.1639999999999999e-05 -1.4210000000000001e-05 2.617e-05 1.643e-05 1.006e-05 4.890000000000001e-06 4.58e-06 2.7e-06 4.219999999999999e-06 1.137e-05 3.7399999999999998e-06 1.3480000000000001e-05 3.13e-06 1.49e-05 1.89e-06 3.4389999999999994e-05 1.81e-06 2.963e-05 1.39e-06 5.096e-05 1.15e-06
1273 5.199 -6e-07 2.14e-06 -3.33e-06 4.74e-06 -99.0 -99.0 1.098e-05 4.499999999999999e-06 -5.77e-06 2.9579999999999998e-05 -1.2250000000000001e-05 1.038e-05 -3.238e-05 2.4500000000000003e-05 1.547e-05 1.0160000000000001e-05 4.4e-06 3.7200000000000004e-06 3.44e-06 3.29e-06 4.1900000000000005e-06 3.18e-06 3.5e-06 2.5300000000000003e-06 7.3899999999999995e-06 1.67e-06 1.457e-05 1.4e-06 3.5770000000000005e-05 1.35e-06 4.0050000000000004e-05 1.09e-06
1764 5.206 -4.81e-06 5.0099999999999995e-06 5.4400000000000004e-06 3.29e-06 -99.0 -99.0 -1.96e-06 4.07e-06 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.98e-06 3.01e-06 7.26e-06 2.14e-06 9.610000000000001e-06 2.48e-06 9.5e-06 1.57e-06 4.747e-05 1.1199999999999999e-06 9.981e-05 1.25e-06 0.00022899 3.1e-06 0.00023003000000000002 1.6000000000000001e-06
6329 7.038 3.59e-06 2.86e-06 1.07e-06 2.19e-06 -99.0 -99.0 -1e-06 1.65e-06 1.104e-05 1.71e-06 2.01e-05 2.4599999999999997e-06 2.075e-05 2.34e-06 2.58e-05 2.2200000000000003e-06 1.047e-05 4.51e-06 1.5640000000000003e-05 2.69e-06 1.945e-05 2.7299999999999997e-06 2.495e-05 2.14e-06 2.572e-05 1.17e-06 0.00013934 1.2999999999999998e-06 0.00025163000000000003 2.95e-06 0.00030385 1.67e-06
7195 7.1434 3.45e-06 1.007e-05 -8.3e-06 5.96e-06 -99.0 -99.0 -1.141e-05 6.53e-06 -99.0 -99.0 0.00025131 1.524e-05 0.00022287 3.169e-05 0.00030620999999999996 1.347e-05 3.369e-05 6.75e-06 0.00027445999999999997 6.64e-06 0.00027326 5.66e-06 0.00021407000000000002 4.47e-06 0.00024062 3.32e-06 0.00039954 3.11e-06 0.00134433 3.27e-06 0.00101804 2.2200000000000003e-06
7316 5.92 1.6900000000000001e-06 5.49e-06 1.13e-06 3.5500000000000003e-06 1.8600000000000002e-06 5.3e-06 1.144e-05 2.4199999999999997e-06 2.4279999999999998e-05 3.3999999999999996e-06 3.164e-05 4.74e-06 3.471e-05 1.4760000000000001e-05 2.638e-05 5.590000000000001e-06 1.983e-05 2.13e-06 2.647e-05 1.49e-06 2.569e-05 1.66e-06 2.4129999999999998e-05 1.41e-06 3.1009999999999996e-05 1e-06 8.461e-05 9.9e-07 6.453000000000001e-05 1.8e-06 0.00012819 1.33e-06
7845 4.133 2.06e-06 2.56e-06 3.495e-05 3.3899999999999997e-06 4.083e-05 6.7e-06 4.36e-05 3.92e-06 5.308e-05 5e-06 4.3009999999999996e-05 4.52e-06 5.765e-05 1.889e-05 4.615e-05 6.03e-06 4.5679999999999996e-05 2.14e-06 4.5719999999999996e-05 1.5599999999999999e-06 4.9579999999999996e-05 1.67e-06 6.277000000000001e-05 1.5599999999999999e-06 0.00017330999999999998 1.4400000000000002e-06 0.000359 1.6000000000000001e-06 0.00026622 2.52e-06 0.00031434000000000003 1.8e-06
8217 5.284 -99.0 -99.0 -3.63e-06 4.49e-06 -99.0 -99.0 6.7e-06 4.73e-06 -99.0 -99.0 1.8239999999999998e-05 1.193e-05 -99.0 -99.0 3.3119999999999995e-05 1.0739999999999999e-05 -99.0 -99.0 1.598e-05 2.58e-06 2.107e-05 3.86e-06 2.0510000000000002e-05 3.15e-06 6.604999999999999e-05 2.69e-06 0.00010116 2.1e-06 0.00036173 4.98e-06 0.00028559 4.4e-06
8218 7.9436 -99.0 -99.0 1.8e-06 3.2000000000000003e-06 -99.0 -99.0 -9.18e-06 3.52e-06 -99.0 -99.0 -2.0000000000000002e-07 1.102e-05 -99.0 -99.0 1.391e-05 9.65e-06 -99.0 -99.0 4.3899999999999995e-06 2.09e-06 5.57e-06 3.09e-06 6.53e-06 2.44e-06 8.030000000000001e-06 2.18e-06 4.357e-05 1.6900000000000001e-06 9.616e-05 3.79e-06 0.00010454 3.7499999999999997e-06
8219 6.785 -99.0 -99.0 -1.94e-06 3.3999999999999996e-06 -99.0 -99.0 -5.420000000000001e-06 3.96e-06 1.98e-05 7.15e-06 1.781e-05 8.030000000000001e-06 -99.0 -99.0 1.3259999999999998e-05 7.78e-06 -99.0 -99.0 1.899e-05 1.89e-06 1.604e-05 2.64e-06 2.118e-05 2.2399999999999997e-06 2.733e-05 1.77e-06 7.984e-05 1.46e-06 0.00011865000000000001 3.33e-06 0.00010467 2.64e-06
