    id            redshift        hst.acs.wfc.F435W   hst.acs.wfc.F435W_err        hst.acs.wfc.F606W   hst.acs.wfc.F606W_err       hst.acs.wfc.F775W   hst.acs.wfc.F775W_err        hst.acs.wfc.F814W   hst.acs.wfc.F814W_err       hst.wfc3.ir.F105W   hst.wfc3.ir.F105W_err        hst.wfc3.ir.F125W   hst.wfc3.ir.F125W_err        hst.wfc3.ir.F140W   hst.wfc3.ir.F140W_err       hst.wfc3.ir.F160W   hst.wfc3.ir.F160W_err        jwst.nircam.F090W   jwst.nircam.F090W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
  1161               6.634                -5.33e-06   5.525199091435529e-06                  5.4e-07   5.736357729430758e-06                   -99.0                   -99.0                 -6.7e-07   5.210779692138212e-06                   -99.0                   -99.0                1.267e-05  1.3252238490157049e-05  -1.4210000000000001e-05  2.7117336244550274e-05               1.643e-05  1.2988064713420549e-05    4.890000000000001e-06   5.191765114101369e-06                 2.7e-06  4.4306771491500025e-06               1.137e-05   6.804911828965897e-06  1.3480000000000001e-05   7.431318860067842e-06                1.49e-05    7.68600026021337e-06  3.4389999999999994e-05   1.729000072296123e-05               2.963e-05  1.4880064683999193e-05               5.096e-05  2.5505938524194715e-05 
  1273               5.199                   -6e-07   2.160925727552893e-06                -3.33e-06   5.023925258201997e-06                   -99.0                   -99.0                1.098e-05   7.098598453215958e-06               -5.77e-06  2.9720357080627413e-05  -1.2250000000000001e-05  1.2052386693099422e-05               -3.238e-05  2.9366070557703157e-05               1.547e-05  1.2769331423375307e-05                  4.4e-06   4.321851455105787e-06                3.44e-06  3.7124789561693138e-06  4.1900000000000005e-06  3.8080736600018653e-06                 3.5e-06  3.0762639678675175e-06  7.3899999999999995e-06   4.054864362713011e-06               1.457e-05   7.418303377457678e-06  3.5770000000000005e-05  1.7935878149675308e-05  4.0050000000000004e-05  2.0054643477259827e-05 
  1764               5.206                -4.81e-06   5.557348738382359e-06   5.4400000000000004e-06   4.268782027698299e-06                   -99.0                   -99.0                -1.96e-06   4.186322968907201e-06                   -99.0                   -99.0                    -99.0                   -99.0                    -99.0                   -99.0                   -99.0                   -99.0                 3.98e-06    3.60835142412709e-06                7.26e-06   4.213846224057067e-06   9.610000000000001e-06   5.407256698178847e-06                 9.5e-06   5.002739249651135e-06               4.747e-05  2.3761410416892344e-05               9.981e-05  4.9920652289408234e-05              0.00022899  0.00011453695920968044  0.00023003000000000002  0.00011502612844480164 
  6329               7.038                 3.59e-06   3.376629236383527e-06                 1.07e-06   2.254401250886807e-06                   -99.0                   -99.0                   -1e-06  1.7240939649566668e-06               1.104e-05  5.7787974527577965e-06                 2.01e-05   1.034669512453131e-05                2.075e-05   1.063561117190733e-05                2.58e-05  1.3089629482915091e-05                1.047e-05   6.909799201134574e-06  1.5640000000000003e-05   8.269733973955874e-06               1.945e-05   1.010091703757634e-05               2.495e-05   1.265722027144981e-05               2.572e-05  1.2913113489782393e-05              0.00013934   6.968212755075723e-05  0.00025163000000000003  0.00012584957975694637              0.00030385  0.00015193417826479992 
  7195              7.1434                 3.45e-06  1.0216678765626333e-05                 -8.3e-06   7.262513339058318e-06                   -99.0                   -99.0               -1.141e-05   8.671097104749779e-06                   -99.0                   -99.0               0.00025131  0.00012657581374417466               0.00022287  0.00011585342172331383  0.00030620999999999996  0.00015369639528954474                3.369e-05  1.8147080343680633e-05  0.00027445999999999997  0.00013739054734587819              0.00027326   0.0001367471846145287  0.00021407000000000002  0.00010712829749884016              0.00024062  0.00012035579961098675              0.00039954  0.00019979420662271464              0.00134433   0.0006721729540267147              0.00101804   0.0005090248410441283 
  7316                5.92   1.6900000000000001e-06  5.5546489538043715e-06                 1.13e-06    3.59468009703228e-06  1.8600000000000002e-06   5.380975747947578e-06                1.144e-05   6.210861453936966e-06  2.4279999999999998e-05  1.2607124969635224e-05                3.164e-05  1.6514841809717706e-05                3.471e-05  2.2782748407512205e-05               2.638e-05   1.432564832738819e-05                1.983e-05  1.0141209247422124e-05               2.647e-05  1.3318608223083972e-05               2.569e-05  1.2951819370266095e-05  2.4129999999999998e-05   1.214711179663709e-05  3.1009999999999996e-05  1.5537214196888705e-05               8.461e-05   4.231658215168139e-05   6.453000000000001e-05  3.2315170199149504e-05              0.00012819     6.4108797563205e-05 
  7845               4.133                 2.06e-06   2.759438348649957e-06                3.495e-05  1.7800778775098577e-05               4.083e-05  2.1486326465917807e-05                 4.36e-05   2.214963656586717e-05               5.308e-05   2.700688060476441e-05   4.3009999999999996e-05  2.1974881683412996e-05                5.765e-05   3.446320828071583e-05               4.615e-05  2.3849874737616547e-05   4.5679999999999996e-05   2.294003487355675e-05  4.5719999999999996e-05   2.291316652058375e-05  4.9579999999999996e-05   2.484618683017577e-05   6.277000000000001e-05   3.142374619614918e-05  0.00017330999999999998   8.666696386166991e-05                0.000359   0.0001795071307775822              0.00026622  0.00013313385181838616  0.00031434000000000003  0.00015718030697259758 
  8217               5.284                    -99.0                   -99.0                -3.63e-06   4.842966549543781e-06                   -99.0                   -99.0                  6.7e-06   5.796153897197693e-06                   -99.0                   -99.0   1.8239999999999998e-05   1.501663411021258e-05                    -99.0                   -99.0  3.3119999999999995e-05  1.9737811428828674e-05                    -99.0                   -99.0               1.598e-05    8.39621938731951e-06               2.107e-05  1.1219885248967567e-05  2.0510000000000002e-05  1.0727885392750988e-05   6.604999999999999e-05  3.3134373768037325e-05              0.00010116   5.062357553551507e-05              0.00036173  0.00018093354753886853              0.00028559  0.00014286277340511068 
  8218              7.9436                    -99.0                   -99.0                  1.8e-06  3.3241540277189324e-06                   -99.0                   -99.0                -9.18e-06   5.784332286444132e-06                   -99.0                   -99.0  -2.0000000000000002e-07  1.1020453711168156e-05                    -99.0                   -99.0               1.391e-05  1.1895147119729121e-05                    -99.0                   -99.0  4.3899999999999995e-06   3.030862088581399e-06                5.57e-06   4.159846751984982e-06                6.53e-06   4.076006010790465e-06   8.030000000000001e-06   4.568656804795038e-06               4.357e-05   2.185045365661775e-05               9.616e-05   4.822914575233528e-05              0.00010454  5.2404345239684085e-05 
  8219               6.785                    -99.0                   -99.0                -1.94e-06  3.5356611828624073e-06                   -99.0                   -99.0   -5.420000000000001e-06   4.798510185463818e-06                1.98e-05  1.2211981821145985e-05                1.781e-05  1.1990826702108576e-05                    -99.0                   -99.0  1.3259999999999998e-05  1.0221805124340808e-05                    -99.0                   -99.0               1.899e-05   9.681277033532302e-06               1.604e-05   8.443340571124677e-06               2.118e-05  1.0824310601604151e-05               2.733e-05  1.3779155453074764e-05               7.984e-05   3.994668947484885e-05  0.00011865000000000001  5.9418385412261085e-05              0.00010467    5.24015441089287e-05 
