    id  bayes.attenuation.E_BV_lines  bayes.attenuation.E_BV_lines_err       bayes.sfh.age   bayes.sfh.age_err  bayes.sfh.age_burst  bayes.sfh.age_burst_err  bayes.sfh.age_main  bayes.sfh.age_main_err    bayes.sfh.f_burst  bayes.sfh.f_burst_err  bayes.sfh.tau_burst  bayes.sfh.tau_burst_err  bayes.sfh.tau_main  bayes.sfh.tau_main_err  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.sfh.integrated  bayes.sfh.integrated_err       bayes.sfh.sfr   bayes.sfh.sfr_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.hst.acs.wfc.F435W  bayes.hst.acs.wfc.F435W_err  bayes.hst.acs.wfc.F606W  bayes.hst.acs.wfc.F606W_err  bayes.hst.acs.wfc.F775W  bayes.hst.acs.wfc.F775W_err  bayes.hst.acs.wfc.F814W  bayes.hst.acs.wfc.F814W_err  bayes.hst.wfc3.ir.F105W  bayes.hst.wfc3.ir.F105W_err  bayes.hst.wfc3.ir.F125W  bayes.hst.wfc3.ir.F125W_err  bayes.hst.wfc3.ir.F140W  bayes.hst.wfc3.ir.F140W_err  bayes.hst.wfc3.ir.F160W  bayes.hst.wfc3.ir.F160W_err  bayes.jwst.nircam.F090W  bayes.jwst.nircam.F090W_err  bayes.jwst.nircam.F115W  bayes.jwst.nircam.F115W_err  bayes.jwst.nircam.F150W  bayes.jwst.nircam.F150W_err  bayes.jwst.nircam.F200W  bayes.jwst.nircam.F200W_err  bayes.jwst.nircam.F277W  bayes.jwst.nircam.F277W_err  bayes.jwst.nircam.F356W  bayes.jwst.nircam.F356W_err  bayes.jwst.nircam.F410M  bayes.jwst.nircam.F410M_err  bayes.jwst.nircam.F444W  bayes.jwst.nircam.F444W_err     best.chi_square  best.reduced_chi_square  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated        best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young   best.hst.acs.wfc.F435W  best.hst.acs.wfc.F606W  best.hst.acs.wfc.F775W  best.hst.acs.wfc.F814W  best.hst.wfc3.ir.F105W  best.hst.wfc3.ir.F125W  best.hst.wfc3.ir.F140W  best.hst.wfc3.ir.F160W  best.jwst.nircam.F090W  best.jwst.nircam.F115W  best.jwst.nircam.F150W  best.jwst.nircam.F200W  best.jwst.nircam.F277W  best.jwst.nircam.F356W  best.jwst.nircam.F410M  best.jwst.nircam.F444W 
  1161            0.7326933439905403               0.35944564123662226  192.89417169608498  204.26196194113982    5.213169450805069       2.8118453861379447  192.89417169608498      204.26196194113982   0.3842723393758981     0.2841027868460113                 50.0    4.072012230539697e-14   557.7343666449517       675.0877639440314        55.638658308137316             81.32982372786931     825943028.0376502         4242112695.222468    89.4615491377225  193.94407592316279     13.74095103993383        27.121035929592754    31.86410258615426       43.180444061410476     676106300.4055645        2847269932.5452657   1.1821405933464502e-14        2.740210439722937e-14    3.845186675392818e-10        7.844120959338758e-10    4.310759620443881e-08        4.401083404162742e-08   1.8800335915568055e-07       1.6455907135268578e-07    3.897179001122463e-06        2.441912929656619e-06    5.478910349361256e-06       2.7016645422616513e-06     6.39890187396988e-06        2.715259934732844e-06   7.3117439424896005e-06       2.7255981903651997e-06   1.3434618249872412e-06       1.0033562005443467e-06    4.800980423780122e-06       2.6581911532305833e-06    7.106601536367031e-06        2.731691250491919e-06   1.0031926370447323e-05       2.6499527351766443e-06   1.7367308103135552e-05       2.8902716042660103e-06    3.573071110989604e-05        7.531899875939249e-06   2.7910633022950714e-05        7.451075943958888e-06     3.56749298484078e-05       1.0913883939070422e-05  10.890318496078857       0.7260212330719238                           0.5                          1.2                     0.6           6.188654542933142                  4.0471667066836154                  3.4345114288481886                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.5             10.0               0.02          20.0                 3.0               20.0               0.6                50.0             2000.0       3.8208403803768207               1.0                      0.02                                   10.0   815.9490009216175             2.0444110732511216e+27                   6.634   3.744715653045554e+38    1244261973.619641   293.5135280435928    62.21309868098205   112.5991181354182  4.0482908623198855e+38  1.1210121533795805e+38   2.0106583584796593e+34     1.1208110875437326e+38   6.632414892760964e+36   3.981966713392276e+38   38634339.86887496      17151774.128483344        21482565.740391616    1205627455.217774        101119018.1369757         1104508437.0807981  3.5166353240621614e+55   8.303784890775852e+51    3.515804945573084e+55                      0.0   4.029686224826369e-11  5.4623619359157713e-08   2.251973377164735e-07   4.985869990530614e-06    6.78256324327073e-06   7.703337202885295e-06   8.587080813553233e-06  1.7281433009270657e-06   6.047214853560307e-06   8.400316722939031e-06  1.0804332389615152e-05    1.70469078673695e-05  3.4620524709119514e-05  3.0036922197516493e-05    4.99443510984367e-05 
  1273            0.8347263519350275                0.4109789814692307  197.60814913545994  206.41397075836895    5.098182742179378       2.8423069836944417  197.60814913545994      206.41397075836895    0.381806058871538    0.28386980543372764                 50.0     3.88902678149279e-14   555.8246047244606        674.487864245261         58.91746314850628             88.14907902634971     497791736.1488619        3798383535.3625517  24.821201199941097   39.54881795100695     4.689059514003849         10.21282161545629    10.10321975566069       11.325857915454693    374047697.51884437         2496017295.368645   3.2209975636093875e-10        6.033861486705679e-10    1.277511401072861e-07       1.7467672740795967e-07    8.956335222636779e-07       1.2337568816028477e-06   1.0603455261719706e-06       1.3603389329322746e-06    1.733212968129523e-06       1.6385031690644599e-06    2.051231474616429e-06       1.6074166465716247e-06   2.2705187445121436e-06        1.566966038567524e-06    2.519976747519239e-06         1.53988731357068e-06   1.4781858153498009e-06        1.661461386086698e-06   1.8996365867706369e-06       1.6280330850340208e-06    2.463324315510278e-06       1.5511661771653032e-06   3.7176851003436596e-06       1.5544618324572931e-06    9.574240065037624e-06       1.7226702553830376e-06   1.0488491453390524e-05       3.7160369344561696e-06   2.9299625756857133e-05       1.0883712497258862e-05   2.2728302408624915e-05        8.312467952500845e-06  10.950322023652742       0.7300214682435161                           0.5                          1.0                     0.5           5.161010369076492                   3.295811157629476                   2.672654634503746                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -3.5             10.0               0.02          50.0                 3.0               50.0               0.2                50.0               10.0       24.377936514668846               1.0                     0.004                                   10.0  1114.8818950227167             1.5399410526146876e+27                   5.199  3.9425636608867333e+37   476103816.50772786   32.55977961211272    9.522076330154558  11.637457007427836   4.999993064896025e+37  1.7046461417951067e+37   1.9603165861931059e+34     1.7026858252089136e+37   9.144414484792013e+36  4.0855516164168245e+37   72264342.50281504       71034648.34078836         1229694.162026666    403839489.3215909        288694598.0926612         115144891.22892971   4.657761615332049e+54   7.939443047731053e+51    4.649822172284318e+54    8.607901345954242e-10  1.9649778848336842e-07  1.2935829313299731e-06  1.5979224350015627e-06  2.6797345097381368e-06   2.979185065485977e-06  3.1663646580362536e-06  3.3735657058164625e-06  2.3668571927599494e-06  2.8406152124566783e-06  3.3296367959255487e-06   4.446614075051008e-06   8.935509988542971e-06  1.2357794147943648e-05   4.025303036414337e-05  3.0610333304812075e-05 
  1764            1.0202077293481795               0.34999890000839756   216.7737159948949  211.34255461801197   5.1074867303602005        2.870045720632412   216.7737159948949      211.34255461801197   0.3429032382986476     0.2894681524625771   49.999999999999986    4.016945504108882e-14    541.404834064257       669.3074241032983         74.63362575665657            105.60694414130293     3768022388.956376        14181321326.150574   182.3148759905135  288.31835408556935     33.00868900954056         56.31700135310852    69.62030345163701        65.97684434851446     2830775080.232608         9468236802.747911   2.0846858524108072e-09        3.624146713035718e-09   2.2890619057250748e-07       2.7697284489013154e-07   1.0193067623352894e-06        9.591851332569854e-07   1.3413146040151132e-06       1.1854328114390403e-06   3.1773528600435468e-06       2.0902415323568565e-06    4.507037873967655e-06       2.4278550541627437e-06    5.569103854591182e-06       2.6126124451842186e-06    6.825202946183883e-06        2.806869066080256e-06   2.2211025950477832e-06       1.7772621430881055e-06    3.840944381966689e-06       2.2722922370124962e-06    6.514612308216556e-06       2.7669375430796898e-06    1.305579313595664e-05       3.1370711405276917e-06    4.867203300280972e-05       1.1604016684471624e-05    6.050182473655301e-05       2.3837603259027363e-05   0.00016551275991595992         6.92803731230075e-05   0.00013472203127592262        5.190935640160903e-05  22.642031524921663        1.509468768328111                           0.5                          1.4                     0.7            7.18893315493193                  4.6639742118680765                   4.022313203824484                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -3.0           1000.0              0.008         200.0                 5.0              200.0               0.2                50.0               10.0       133.07600350511672               1.0                     0.004                                   10.0   1112.999040515002              1.542365653652283e+27                   5.206   5.174885381837573e+38    7737623808.180433  297.25020409847406   15.507611296785393   154.7525208218919   6.064244838398027e+38   2.076024771822964e+38   1.8266272520685938e+34      2.075842109097757e+38   2.303477291272146e+37  5.8338971092708125e+38  1954863603.8795722       1937774988.202099        17088615.677473173     5782760663.60068        4252323611.759416         1530437051.8412642   5.693708820829604e+55  2.6952218626747653e+51    5.693439298643338e+55   1.0384542506124185e-08   9.092998876064584e-07  2.0514230752135268e-06  2.6462655400806976e-06   5.283695330391187e-06    6.47736866758736e-06   7.299200745509926e-06   8.228995447751108e-06   4.208028220599364e-06  5.9020943935945715e-06   8.009449100562466e-06  1.2657126289884853e-05   4.843257659192101e-05   6.830582618613995e-05  0.00023695648194437658  0.00018640777392274843 
  6329            0.6029555960266261               0.39774858001504426   203.0916512966564  209.35253935179247    4.672734802673799        2.851989749980071   203.0916512966564      209.35253935179247  0.41554715954649185     0.2786067855728739   49.999999999999986    3.775507664897304e-14   550.5219002613425       672.1531005914702         56.61951894237462             81.77251428010548    2612105339.6966386         6218896973.387526   331.6787282712358    861.611349674146     43.08328935807566        100.36690151283123   103.65978275667793        178.0110432443555     2147417890.483954         4633934071.672857    1.211474231445216e-15        3.547875818333659e-15   1.5050375433259856e-11         4.24068739053632e-11    4.193800419499752e-08       2.2585570760514484e-08    6.210397171579079e-08        3.103700624590867e-08   1.1638581176509332e-05       2.8253587365540145e-06   1.7310833051868466e-05       2.6300511889595308e-06   1.9124686947728348e-05         2.04902626864905e-06   2.0763230605519097e-05       1.8763636245465172e-06    1.994969023744582e-06        8.665566401014155e-07   1.6026407383269648e-05         3.16792011584591e-06    2.042929231756751e-05       1.8767669327824364e-06    2.453367196732601e-05        3.338235272936858e-06   3.6350691840154924e-05        7.951131213714094e-06      6.5173571841229e-05        2.416480982280569e-05    0.0001720894199484115        8.629808088671308e-05   0.00011264948410576804        5.132740796420895e-05   9.133753823083259       0.6089169215388839                           0.5                          1.0                     0.5          5.1930073962421925                  3.4243582883384027                   3.142540543943987                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0           1000.0              0.004         400.0                 5.0              400.0               0.2                50.0               50.0       218.64521473599098               1.0                     0.004                                   10.0   755.1893286277283             2.1887898025876723e+27                   7.038   4.864842428008229e+38    7243808425.127528   278.5971722666858   15.327839104363132  145.22008633867654  5.6179632757909786e+38   1.945844154871455e+38   1.2554544402052231e+34     1.9457186094274347e+38  1.4751421797809405e+37  5.4704490578128846e+38  1980790586.3494077      1964616707.6616669        16173878.687740816    5263018271.110106       3826990854.0790973          1436027417.031009   5.336925311272719e+55   2.641397436974179e+51    5.336661171529021e+55    3.725971950099024e-15   4.525049403098125e-11   4.096042192360746e-08   6.100439353910029e-08  1.1782989230165134e-05  1.7702019553424497e-05   1.918158625601344e-05  2.0474126304421302e-05  1.7747011268750178e-06  1.6549098651325905e-05    2.01891521729906e-05  2.3713173122932136e-05  3.6068570726730654e-05     9.0136890444178e-05   0.0002936087566540008  0.00018643992341906002 
  7195            0.2274527477002299               0.22578994170062472  192.98231653167215  205.88063865094378    4.859197699772358        2.827199261474713  192.98231653167215      205.88063865094378   0.4190115375072012    0.27418844496334965    49.99999999999999    3.840866168467973e-14   565.5264967696991       676.8759949473658         49.84268409317241             71.06972234523684     2938148266.554514         6672830389.071863   383.8360548854172  1304.1733852073696     53.78654284852793        149.90204067744642   127.86237718061727        270.7418837190985    2453133854.4233584         5226163351.729823    6.128113326291849e-16       2.2400978385907507e-15    3.991544351828581e-12       1.4003320041544648e-11     5.27285585023805e-07        2.118679790966305e-07   1.0277627561994146e-06       3.8459531714727504e-07   0.00018227112596976532        4.229905143009567e-05   0.00024849857366068725        4.019840044390639e-05    0.0002512093571773348        3.055781742712271e-05   0.00025220927994005327       2.4339713233639916e-05   2.7140670065104423e-05       1.2536548526822983e-05    0.0002469466413865056       4.8587368306315846e-05   0.00025383812791859113       2.5756473956572104e-05    0.0002456377471508228       2.4667464557529597e-05    0.0002793094839767931       5.2571900763558396e-05   0.00033236727649939686       0.00010043468137675756    0.0010030460002596457          0.00043276785179137    0.0006045000013850176       0.00022584939493150113  11.592493268526923       0.7728328845684616                           1.0                         0.05                    0.05          0.6322727207507194                 0.18202639811697852                 0.15641933236545957                             -0.6                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0              0.004         100.0                 7.0              100.0               0.2                50.0               10.0        61.01534924207416               1.0                     0.004                                   10.0   740.5665269828214             2.2266052566024548e+27                  7.1434   4.485567043193516e+37    1588856617.105669  42.781293539655415   15.888566171056693  31.874886145750356  1.1349950717046264e+38   3.137964482765662e+37   1.5560975026205314e+33     3.1378088730153994e+37  1.0842913806591367e+37  1.0265659336387127e+38   340720130.1422234      331606404.92216134         9113725.220062066   1248136671.8802752        938501350.7260041         309635321.15427125   8.707805195349318e+54   6.599123278349289e+50    8.707145283021484e+54                      0.0                     0.0   4.637024394080106e-07   9.164140313759774e-07  0.00018755532444939574   0.0002567275426991675  0.00025947860336606447   0.0002542838970789201   3.866995593447878e-05   0.0002505254039734276   0.0002575069434011213    0.000243183391018666  0.00025283473478909693  0.00034190980963524594    0.001344544603880298   0.0007469485383914977 
  7316            0.3611672489016176               0.25585754160981883  196.71246741614684  206.10547608486138    5.005746746633167       2.8431643918379113  196.71246741614684      206.10547608486138  0.39295309468483086    0.28177866641739036   50.000000000000014    3.309588382551843e-14   565.3892247719575        676.203032548232         53.61831668801731             73.92031025462506    399351576.53874373        530070886.01646984   50.34057758764699  103.27832489375675     7.299823928545633          13.6462573257619   17.150359165092908       22.543794664205475     332936602.8117008         415490349.1234575   2.2586318101907907e-12        5.260804018209356e-12   1.8321025951560851e-07         8.33017839745931e-08    3.204900793013108e-06        1.389366364684865e-06    8.164840371824873e-06       2.3970602394025225e-06   2.4613867208720578e-05        4.171707725272787e-06   2.6138985900348468e-05       2.8483747023977134e-06   2.6644365599480626e-05       2.3690587778524283e-06   2.6897371850137182e-05       2.3513521003037756e-06    1.889639914661591e-05        4.589057674021991e-06   2.5450938556394657e-05        3.381400316353152e-06   2.6807139128370587e-05        2.302748454297387e-06   2.8927699918602947e-05       3.1968859689454257e-06   3.9262650779420686e-05        7.747980164061181e-06     6.64267514185341e-05        2.509404157507438e-05   3.9048439752725814e-05       1.5814482857634866e-05    7.079193995160029e-05        3.198043214835213e-05  1.3236242083264183      0.08824161388842788                           0.5                          0.6                     0.3          3.1911082797769157                   2.109663993115128                   1.853452289515827                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0            100.0               0.02         400.0                 1.0              400.0               0.2                50.0               50.0       217.43727121491983               1.0                     0.004                                   10.0   945.4183689944094                 1.791641993014e+27                    5.92   8.929857660552648e+37   1676898894.1708066   335.4532808451881   3.5483042807944054   33.61759283252008  1.2644679376405424e+38   5.930684606429689e+37    2.906302926453917e+33      5.930393976137043e+37   3.414867076603869e+36  1.2303192668745037e+38  454837887.89839137      454797171.76387644          40716.1345149112   1222061006.8152692        885925794.0817297          336135212.7335396  1.5757004202176382e+55   6.114679159325814e+50    1.575639273426045e+55   1.0777398203652926e-11   2.466087169586197e-07   3.238468244169639e-06   8.977886582651715e-06  2.7338640910824468e-05   2.712282524532954e-05  2.6421116590398604e-05  2.5648413127062954e-05  2.1080209220012217e-05  2.7363183055259318e-05  2.5838722898330225e-05  2.7374262042775014e-05   3.880205706232611e-05   7.883776806212196e-05   4.759750034156453e-05  0.00011483327224206008 
  7845            0.5575549856777645                0.2943784512470798  203.07502730184171  207.08903889529935    5.064002696424889        2.882127094549619  203.07502730184171      207.08903889529935   0.3650568920563423     0.2845534097108325    49.99999999999999   2.8266646819891926e-14   565.1823629408728       675.7375299524789         59.42038703435138             80.61854927567848    1036547412.9018301        1211136952.3720043  102.67976996050298   171.7599175111584    16.535675423174183         24.94790068619201    38.21575168051555        39.10738665442712     847322237.3073916         902065011.2851814   1.2818078694564252e-06       1.4985279723741914e-06   2.0192983135892425e-05        8.449775010083419e-06    3.776519937491393e-05        9.221071537772768e-06   3.8988481099039594e-05        8.674450898036936e-06   4.5185348762561937e-05          5.3372314180024e-06   4.8228090345021794e-05        4.206401976335634e-06    5.151171549706144e-05        4.059101870585655e-06    5.574630523457622e-05        4.910559511222691e-06    4.189033539620725e-05        7.189322574734906e-06     4.66610594433537e-05        4.588822810022283e-06   5.4563487532023276e-05        4.618754334483621e-06    8.133226942547925e-05        1.374058102706277e-05   0.00015295048482223496       5.0374907210555366e-05    0.0002020435407894186        8.997568389557456e-05    0.0001421728534552557         7.06857146665253e-05    0.0001809281357147039        9.649553512472188e-05  1.5768682139877035      0.10512454759918023                           0.5                          0.8                     0.4           4.266782157310221                  2.8679616002627686                  2.4270944601133553                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.5             10.0               0.02         600.0                 1.0              600.0               0.2                50.0               10.0       414.51500357539413               1.0                     0.004                                   10.0   1478.492797513585             1.1758129318531939e+27                   4.133  2.3953547838703986e+38   4011819248.2516737   802.3638496503347    8.023638496503347   80.23638496503348  2.9776845332732098e+38  1.4175184838698509e+38   3.4178556375615735e+33     1.4174843053134752e+38   3.917785679102754e+36   2.938506676482182e+38  1203961340.6505291      1203961340.6505291    1.8249826917935374e-16    2807857907.601145       2005494057.9508102          802363849.6503347   3.765991280585295e+55   6.899653177678203e+50    3.765922284053518e+55    5.575135870011579e-07   2.272281849142992e-05   4.292410814469426e-05  4.3486092539955066e-05  4.4767080055197904e-05   4.566755125798482e-05    4.85099296336415e-05    5.37357423028904e-05  4.4595169771731926e-05    4.48181876442857e-05   5.220528341994221e-05   8.034522539822179e-05  0.00016355481400624845  0.00038422256679043683  0.00021622773068057062   0.0002938438250203151 
  8217            0.8987520738505882               0.36383275645577057  195.49876290686979  206.19195154892398    4.816621476402628       2.8568580050830685  195.49876290686979      206.19195154892398  0.41235732874487624     0.2773185899332622    49.99999999999996    4.652398543153403e-14   557.7173986953659       675.0297883464209         53.01728578846066             77.58218661757415     2241126966.723311        3904551122.8203893    287.285806259921   451.4913875738465     40.56108825200062          61.1292894068687    96.03128914189189        94.48687749016554        1868148089.786         2809508498.588897   1.5129139462786947e-09       2.9130666375729955e-09    5.155882186037831e-07        4.066118580994205e-07    4.047130819476581e-06       2.3852144688734113e-06    5.352572675436824e-06       2.9133006198516005e-06   1.1435445527395805e-05       4.2274376594639215e-06   1.4565778598652504e-05        4.045685746995931e-06   1.6690083638395517e-05           3.835762630711e-06   1.9038222517316296e-05        3.708364179637737e-06    8.812271013211945e-06        4.235994400423653e-06   1.3105941947128865e-05         4.16235337254157e-06    1.848416636905606e-05         3.75162712052475e-06   2.8913072916445372e-05        3.858971654303921e-06    6.924511944227528e-05       1.2092203014678418e-05    9.373741726169154e-05        2.496090542895709e-05   0.00024148287031480517        9.794760165419987e-05    0.0001801667907536895        6.634543280273946e-05   20.00507506864441       1.3336716712429606                           0.5                          1.2                     0.6            6.20635365662348                   4.178077177293692                   3.688778109932815                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -3.0           1000.0              0.004         400.0                 3.0              400.0               0.2                50.0               10.0        275.9834734957761               1.0                      0.02                                   10.0  1092.3708373416923             1.5694092946374866e+27                   5.284   6.040038259486239e+38    7590079132.642391  495.91957492651756   15.180158265469728  151.80158265284803  6.0814550972424586e+38   1.832096845043906e+38    5.351277686936855e+33     1.8320433322670368e+38   8.134543502076192e+36  6.0001096622216975e+38  2088585022.9866138      2083906919.7718103         4678103.214803262    5501493983.510437        3988156386.342102         1513337597.1683342   5.790303415029525e+55   1.044998745564017e+51    5.790198915154969e+55                      0.0   5.139864622198653e-07   5.449383309602723e-06   7.106352786930593e-06   1.401729319582278e-05  1.6809710258877633e-05  1.8354116380149347e-05   1.991562876049325e-05  1.1471811974725513e-05   1.558318401222287e-05  1.9608345220629277e-05   2.661611217643358e-05   6.681169881913812e-05   9.770322920722098e-05   0.0003617340948518607  0.00025276639219337703 
  8218            0.7821581840136447                0.4234651540763654  228.81502355856583  215.92653182739042     5.13711528619081       2.8428332363951503  228.81502355856583      215.92653182739042  0.33038194402530247     0.2938729202658841   49.999999999999986    3.807829846391043e-14   512.9125164162841        659.558115237799         89.54353019925043            125.32782591643961    13286396480.238121        143686342915.75372   377.5265762523314  1304.5532563713978     82.39362950469256        426.24880213660254   160.02522063612943       451.67175009651737     9586623540.291925         94805024489.45134   3.5124864235762857e-19       1.4578507808763031e-18   1.6003941469127847e-17        6.562793905426531e-17   1.5527374674633307e-12        2.599491431541387e-12   2.9809137840430376e-10       4.0199764832612495e-10      9.3303064232601e-07        8.969305776238155e-07   2.8373297989162912e-06       2.3078023891652394e-06   3.3999312225911606e-06       2.3683274914543385e-06    3.993194525164108e-06        2.439608292521494e-06   1.2116687706278643e-09       1.5830069198838347e-09   1.9532107276074982e-06       1.7260978439690963e-06    3.821573768953962e-06       2.4071527525555043e-06    5.750661891659278e-06        2.471945693148703e-06   1.1454270274945796e-05        2.385152860000157e-06    2.727079955815648e-05       1.0963694019550162e-05     3.64009529101777e-05         2.09397707848827e-05    6.333239955971216e-05       3.6849786208619325e-05  24.102275954516625        1.606818396967775                           0.5                          0.8                     0.4           4.080059407062965                  2.4957123743643517                  2.1087071770058516                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0              0.004         600.0                 1.0              600.0               0.0                50.0              100.0       404.66078403424257               1.0                     0.008                                   10.0    643.351788249746              2.515546973865554e+27                  7.9436   6.152855219020041e+37    32980852832.57573   5.033882264817707     7.77746223998954   5.227453899265418    7.62727361061208e+37   3.271101519109851e+36   4.6290497975091935e+34     3.2248110211347593e+36   6.262785717117845e+37   1.364487893494236e+37  11442166155.405577      11439411610.443823        2754544.9617517637   21538686677.316376        21489166683.13923         49519994.177149236   9.415260941845521e+53  1.2690926056578008e+52    9.288351681279741e+53                      0.0                     0.0   5.748454878176089e-13   2.082127489271828e-10   8.149289153659318e-07  2.9308729393994908e-06  3.6899480452630983e-06   4.382002694570073e-06   8.822179808916742e-10  1.9015979051938997e-06   4.186028648644413e-06   6.189957377635664e-06  1.2456874706861154e-05  4.2965874068391585e-05    7.04784781333144e-05   8.474503518107613e-05 
  8219            0.5528317400267048                0.3777926098914573  201.58063442450833  208.16268787906125     4.85414543254271         2.85028529963867  201.58063442450833      208.16268787906125  0.39942179568699276     0.2822818182113897   50.000000000000014    4.101032877147516e-14   551.1805306801432        672.388379725446         58.00780981507309              83.3230344617963     1406654230.795027        3231748040.5971174    155.180046500612  444.16472475383404     23.03998038670074        54.783924117203476   53.870504251648036         96.7360955249593    1151447913.1253676         2407360223.601902    5.598845048070558e-15        1.658564790500186e-14    2.637935780044747e-10         7.37298338927539e-10   1.1462263134318299e-07        8.257239043234412e-08    3.346550240435894e-07        2.756280445394787e-07   1.1727373479730715e-05         4.65486153953487e-06   1.5257150254998093e-05        4.214193008917472e-06   1.6499441410571336e-05        3.517413417153427e-06   1.7687321378035104e-05       2.9786437182526624e-06   3.6708878259446205e-06       1.9854984822808157e-06   1.4206423729566857e-05        4.712422255590375e-06   1.7435671145045495e-05        3.099229917698497e-06   2.0870790209854608e-05       2.7370683869417917e-06    3.121350680208911e-05        6.575039966508121e-06    7.442774170489077e-05       2.0755093242874515e-05     9.13448093239133e-05        3.059664263757512e-05    6.460488466145593e-05        2.452323780571868e-05   17.40977917347345         1.16065194489823                           0.5                          0.6                     0.3          3.1038574917536925                    1.95047195499109                  1.7158285671626208                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0              0.004         600.0                 1.0              600.0               0.0                50.0             2000.0       198.84399768764047               1.0                     0.004                                   10.0   792.3180636315342              2.098266397469873e+27                   6.785   5.577588098504814e+37    4316402904.107587  12.990263576224006   12.207408307568068  12.921638792289027   6.436408492928763e+37   9.383680644112254e+36    6.560299026212023e+34      9.318077653850134e+36   3.026268944827416e+37   3.410139548101348e+37   1274849823.024373       1268524965.550125         6324857.474248023   3041553167.2509503        2918661550.634571         122891616.61637871   2.620321295143811e+54  2.4653434289822045e+52   2.5956678608539887e+54                      0.0   3.318054052946186e-12  1.1992006231711113e-07   2.578622572217406e-07  1.2782146613593128e-05  1.6436102680453404e-05  1.7226026764612164e-05   1.806350364394739e-05   3.717243389002419e-06  1.5660704563522863e-05  1.7903405141312237e-05   2.014021185976112e-05   3.122709490656009e-05   8.627122594404596e-05    0.000108310350865679    8.77827832927385e-05 
