    id            redshift        hst.acs.wfc.F435W   hst.acs.wfc.F435W_err        hst.acs.wfc.F606W   hst.acs.wfc.F606W_err       hst.acs.wfc.F775W   hst.acs.wfc.F775W_err        hst.acs.wfc.F814W   hst.acs.wfc.F814W_err       hst.wfc3.ir.F105W   hst.wfc3.ir.F105W_err        hst.wfc3.ir.F125W   hst.wfc3.ir.F125W_err        hst.wfc3.ir.F140W   hst.wfc3.ir.F140W_err       hst.wfc3.ir.F160W   hst.wfc3.ir.F160W_err        jwst.nircam.F090W   jwst.nircam.F090W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
   418               7.143   -6.910000000000001e-06  2.8708657666285967e-06                -4.21e-06  3.4663973012336598e-06                -6.3e-07  3.6701351814340572e-06                  5.8e-07   2.290183617092743e-06               1.414e-05   3.796412648804131e-06                1.451e-05   4.203088180136124e-06                2.469e-05  1.5977762366802177e-05               1.498e-05   5.332860489455917e-06                 7.15e-06  2.8425703597272666e-06                2.51e-05  2.4464310740341734e-06               2.234e-05  2.4851738369780095e-06               2.353e-05  2.4158336552834096e-06               1.892e-05  1.8158788505844764e-06                2.05e-05  1.6712345736012046e-06   6.178000000000001e-05   4.835320154860483e-06  3.3430000000000003e-05   2.493273400572027e-06 
  1123              3.9278                 -3.1e-07   5.910020325684169e-06                4.725e-05    6.57883015816642e-06                   -99.0                   -99.0               0.00011769   9.923076148553937e-06                   -99.0                   -99.0    9.138000000000001e-05  1.3666388001224026e-05                8.584e-05  3.0226274398278064e-05  0.00011892999999999999  1.3079883877542645e-05               0.00012164   9.048796826097933e-06   9.408999999999999e-05   8.031962415873222e-06  0.00011713999999999999   7.872232783651662e-06              0.00017984   9.962939526063582e-06  0.00047494999999999997   2.395682274947995e-05              0.00081603   4.092601253787132e-05              0.00074963   3.755698659703678e-05              0.00083075   4.157912344254025e-05 
  1135               7.079  -4.0000000000000003e-07   2.430082303132962e-06   -7.799999999999999e-07  2.9102613284720665e-06                   -99.0                   -99.0                 -9.4e-07  3.5103146582607096e-06                   -99.0                   -99.0                  3.7e-06   6.412669101084196e-06                1.278e-05  1.2736040240200249e-05               1.049e-05   6.132470974248471e-06  -1.9699999999999998e-06  3.0415953461958087e-06  1.0680000000000001e-05  2.8308224953182777e-06               1.006e-05  2.4913066852557516e-06                6.64e-06  2.0076414022429406e-06   8.550000000000001e-06  1.3305473497775266e-06               1.132e-05  1.3267840819063213e-06  3.9370000000000004e-05  2.2170683909162574e-06               2.014e-05  1.2737539008772456e-06 
  1161               6.634                -5.33e-06   4.847331456585158e-06                  5.4e-07   5.730063612212346e-06                   -99.0                   -99.0                 -6.7e-07   5.200107907534227e-06                   -99.0                   -99.0                1.267e-05  1.1657226181643726e-05  -1.4210000000000001e-05  2.6179643050469574e-05               1.643e-05  1.0093486129677892e-05    4.890000000000001e-06   4.586521585035875e-06                 2.7e-06  4.2221588080033175e-06               1.137e-05  3.7829607782793623e-06  1.3480000000000001e-05   3.201745773792791e-06                1.49e-05  2.0315326726390596e-06  3.4389999999999994e-05  2.4965536745682035e-06               2.963e-05   2.031487693785025e-06               5.096e-05   2.795497093541683e-06 
  1273               5.199                   -6e-07   2.140210270043577e-06                -3.33e-06   4.742923386478007e-06                   -99.0                   -99.0                1.098e-05   4.533365306259798e-06               -5.77e-06  2.9581406867321234e-05  -1.2250000000000001e-05  1.0398055407142242e-05               -3.238e-05  2.4553434810632913e-05               1.547e-05  1.0189401466720213e-05                  4.4e-06  3.7264996981081324e-06                3.44e-06   3.294492980717974e-06  4.1900000000000005e-06  3.1868935109287855e-06                 3.5e-06   2.536045149440365e-06  7.3899999999999995e-06  1.7103889177611039e-06               1.457e-05  1.5781990527180022e-06  3.5770000000000005e-05   2.240810623412876e-06  4.0050000000000004e-05   2.279935580230284e-06 
  1728              2.4126                  2.7e-05   3.676805678846789e-06                3.594e-05  3.4542305945029204e-06                   -99.0                   -99.0                4.152e-05   3.068774348172247e-06               5.434e-05  1.7057775030759435e-05                6.779e-05  1.7050302350691614e-05                    -99.0                   -99.0              0.00014987  2.3440064894321432e-05                    -99.0                   -99.0               4.723e-05   4.025454291132866e-06               9.371e-05     5.6739677695595e-06               0.0002575  1.3376940046213858e-05              0.00073193   3.673181607612126e-05               0.0012147   6.085817221211955e-05              0.00138903   6.976534205642512e-05               0.0015442   7.728394723356203e-05 
  1764               5.206                -4.81e-06   5.015769158364447e-06   5.4400000000000004e-06   3.301224621257996e-06                   -99.0                   -99.0                -1.96e-06   4.071179681615637e-06                   -99.0                   -99.0                    -99.0                   -99.0                    -99.0                   -99.0                   -99.0                   -99.0                 3.98e-06   3.016571066625151e-06                7.26e-06  2.1705688194572408e-06   9.610000000000001e-06   2.526119603265055e-06                 9.5e-06  1.6402819879520716e-06               4.747e-05   2.624481329710692e-06               9.981e-05    5.14466619422485e-06              0.00022899  1.1861747352308596e-05  0.00023003000000000002  1.1612256552884114e-05 
  6138               2.261               0.00023047  1.1992224658085756e-05               0.00033032  1.6842453977968887e-05              0.00034134   1.743843138014426e-05   0.00038352000000000004  1.9383701297739814e-05              0.00038866   2.015069202285619e-05               0.00062696   3.209196167266813e-05                    -99.0                   -99.0              0.00191439   9.620671276085676e-05               0.00039425   2.021738747341011e-05              0.00056953   2.875328593830625e-05              0.00091645  4.6171965587897605e-05              0.00399362   0.0001998464376990493   0.0048490799999999995    0.000242579434651827              0.00602642  0.00030143038904695724              0.00734833   0.0003676373105007842    0.006858889999999999    0.000343032510092338 
  6329               7.038                 3.59e-06   2.865627374590074e-06                 1.07e-06   2.190653384266895e-06                   -99.0                   -99.0                   -1e-06  1.6507574019219177e-06               1.104e-05  1.7968873086534946e-06                 2.01e-05   2.657371821932339e-06                2.075e-05  2.5596887017760577e-06                2.58e-05   2.567586415293554e-06                1.047e-05   4.540281076100906e-06  1.5640000000000003e-05  2.8013610977523052e-06               1.945e-05   2.898043521067273e-06               2.495e-05  2.4770660568503216e-06               2.572e-05  1.7385902334937925e-06              0.00013934   7.087248337683674e-06  0.00025163000000000003    1.29227180674191e-05              0.00030385    1.52840098223601e-05 
  7316                5.92   1.6900000000000001e-06    5.49065025748317e-06                 1.13e-06  3.5504495842076114e-06  1.8600000000000002e-06  5.3008158805980046e-06                1.144e-05   2.486681322566283e-06  2.4279999999999998e-05   3.610234895405006e-06                3.164e-05   4.997031518811944e-06                3.471e-05  1.4861680936219834e-05               2.638e-05   5.743505985023434e-06                1.983e-05  2.3494621192945418e-06               2.647e-05   1.992925550541214e-06               2.569e-05  2.0989378861700507e-06  2.4129999999999998e-05   1.855732267866246e-06  3.1009999999999996e-05  1.8450068428057386e-06               8.461e-05   4.344793464596448e-06   6.453000000000001e-05  3.6946315445521768e-06              0.00012819   6.546036224311626e-06 
