    id  bayes.attenuation.E_BV_lines  bayes.attenuation.E_BV_lines_err       bayes.sfh.age   bayes.sfh.age_err  bayes.sfh.age_burst  bayes.sfh.age_burst_err  bayes.sfh.age_main  bayes.sfh.age_main_err      bayes.sfh.f_burst  bayes.sfh.f_burst_err  bayes.sfh.tau_burst  bayes.sfh.tau_burst_err  bayes.sfh.tau_main  bayes.sfh.tau_main_err  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.sfh.integrated  bayes.sfh.integrated_err       bayes.sfh.sfr   bayes.sfh.sfr_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.hst.acs.wfc.F435W  bayes.hst.acs.wfc.F435W_err  bayes.hst.acs.wfc.F606W  bayes.hst.acs.wfc.F606W_err  bayes.hst.acs.wfc.F775W  bayes.hst.acs.wfc.F775W_err  bayes.hst.acs.wfc.F814W  bayes.hst.acs.wfc.F814W_err  bayes.hst.wfc3.ir.F105W  bayes.hst.wfc3.ir.F105W_err  bayes.hst.wfc3.ir.F125W  bayes.hst.wfc3.ir.F125W_err  bayes.hst.wfc3.ir.F140W  bayes.hst.wfc3.ir.F140W_err  bayes.hst.wfc3.ir.F160W  bayes.hst.wfc3.ir.F160W_err  bayes.jwst.nircam.F090W  bayes.jwst.nircam.F090W_err  bayes.jwst.nircam.F115W  bayes.jwst.nircam.F115W_err  bayes.jwst.nircam.F150W  bayes.jwst.nircam.F150W_err  bayes.jwst.nircam.F200W  bayes.jwst.nircam.F200W_err  bayes.jwst.nircam.F277W  bayes.jwst.nircam.F277W_err  bayes.jwst.nircam.F356W  bayes.jwst.nircam.F356W_err  bayes.jwst.nircam.F410M  bayes.jwst.nircam.F410M_err  bayes.jwst.nircam.F444W  bayes.jwst.nircam.F444W_err     best.chi_square  best.reduced_chi_square  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated         best.sfh.sfr  best.sfh.sfr100Myrs   best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young  best.hst.acs.wfc.F435W   best.hst.acs.wfc.F606W  best.hst.acs.wfc.F775W  best.hst.acs.wfc.F814W  best.hst.wfc3.ir.F105W  best.hst.wfc3.ir.F125W  best.hst.wfc3.ir.F140W  best.hst.wfc3.ir.F160W  best.jwst.nircam.F090W  best.jwst.nircam.F115W  best.jwst.nircam.F150W  best.jwst.nircam.F200W  best.jwst.nircam.F277W  best.jwst.nircam.F356W  best.jwst.nircam.F410M  best.jwst.nircam.F444W 
   418           0.07325058673579955               0.05882355514827251  163.81430678980024  195.54321563595724    6.210862825064735        2.409181577670896  163.81430678980024      195.54321563595724    0.42101117789204245     0.2625359093908423    49.99999999999998     3.56708580491993e-14   566.4253098719348       678.0930215808073         39.49450463517897            62.118767735357885     52847875.60305755        28490055.078669064   5.060715767522272   4.253205084054216    1.2611464781791524         1.088277513941871    2.933265948390596       0.7942775509100806     45789873.72843176         20607686.08640422   1.0853680859894902e-17       1.2980666653289202e-17    7.892223224591764e-14        9.160656239452471e-14    5.372364764898435e-08        8.103713227496604e-09   1.0416888473629414e-07       1.4358700939526513e-08   1.7356295542295573e-05        1.376447550626031e-06    2.254879444410276e-05         1.25761191709284e-06   2.2296172245236494e-05        9.572846832114598e-07   2.2028108007466262e-05        8.845536833734663e-07   2.7783548050308365e-06         5.40191935661708e-07   2.2908639305821933e-05        1.551814777172973e-06   2.2293024292544794e-05        8.998360720209147e-07    2.014451388587786e-05       1.0430895041628127e-06    1.924361779818631e-05       1.0936141556967466e-06    2.003420985397298e-05       1.1271548863760998e-06   5.9508841610950974e-05       3.1613637643627035e-06    3.470325030364909e-05        1.223128051198453e-06   18.48733643528008       1.2324890956853387                           1.0                         0.05                    0.05          0.5390659112484185                  0.2080445184733754                  0.1714852083107207                             -0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0             10.0              0.008          10.0                 7.0               10.0               0.8                50.0               10.0        4.026733630166115               1.0                      0.02                                   10.0   740.6211298137771             2.2264616321567518e+27                   7.143   3.045758882888272e+36   27539445.366925087    3.784274467089192   2.7539445366925093   2.7539445366925093   8.425692543242203e+36  1.8330523915605855e+36                      0.0     1.8330523915605855e+36                     0.0   8.425692543242203e+36   1055319.378592337                     0.0         1055319.378592337   26484111.865888003                      0.0         26484111.865888003    5.54107219720331e+53                     0.0     5.54107219720331e+53                     0.0                      0.0   5.001336467823409e-08   9.766952115801669e-08   1.695274075114104e-05   2.204587634227047e-05  2.2092304607963993e-05  2.2159180191608117e-05  2.8282851852800698e-06  2.2241233715013728e-05  2.2372715104740975e-05   2.069202075122837e-05  1.9484389588454947e-05  2.0238090662125307e-05   6.012025412985929e-05   3.465604275978859e-05 
  1123            0.9999153563492713              0.004114985605178614  338.65078438960415  228.95217772957528    7.952316577438639        2.221749900829409  338.65078438960415      228.95217772957528      0.426355599861975    0.22285018416392216    50.00000000000001   2.2319669812647036e-14   404.1076947880146        609.579431302183        124.15272391936946            129.99940488569544     6990761778.889574        3619408408.8277483   352.7100807853854   178.2870428069305      56.7864807123375         49.19775950443155   279.97534810277983       22.138675282904636     5535636703.635572         2277823459.322584    2.366449036693045e-06       1.9746859008864242e-07   3.8916116811783755e-05       1.3676869045629902e-06    7.401421444369488e-05       2.3332264603192033e-06    7.719798942214305e-05       2.3995691640404562e-06    9.587346936310879e-05        3.047263334560578e-06    0.0001075277803307694       3.3655068700175018e-06   0.00011781573752245119       3.3804671768820413e-06    0.0001308701108200646       3.3837556942465955e-06     8.58015579518805e-05        2.645334860674849e-06    0.0001018384283086643       3.2737179759142693e-06   0.00012739440532225131         3.37522208557055e-06   0.00021228766145492563       3.7577868046536695e-06    0.0004695932466411743        3.297754958202042e-05    0.0007826307241825129        3.600746531711413e-05     0.000633196905371083       2.7447194061360294e-05    0.0008690451705895354       2.4045875347282907e-05    67.4258682130042        4.495057880866947                           0.5                          1.0                     0.5           5.152511974216884                   3.312055651953327                  2.8566225131803105                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0            100.0               0.02         600.0                 9.0              600.0               0.2                50.0               10.0        422.4025177144723               1.0                     0.008                                   10.0  1571.3661297320186             1.1070347054942515e+27                  3.9278   7.430465531909766e+38     14437467819.6202   295.77131742639995     28.8749356392404   288.74935639240397   8.129415991028466e+38   1.929773683406681e+38   1.4392081123597635e+34     1.9296297625954452e+38  1.2685816579998972e+37   8.002557825228477e+38   4394619130.393883      4259278084.0913973        135341046.30248508    10042848690.30323         7290696171.60476         2752152518.6984696   5.555049930063532e+55  2.8761152011672503e+51    5.554762318543415e+55  2.3263708930830546e-06    3.822335314264989e-05   7.268500448907488e-05   7.587406135770189e-05    9.45844361953973e-05  0.00010599286779940719   0.0001161162872388949  0.00012916787692891617   8.449606623576629e-05  0.00010048375398640319  0.00012564136227139765  0.00021188705172238501   0.0004353306735098434   0.0007996732394072549    0.000682519422963162    0.000895054777359695 
  1135           0.13356157441050046               0.12108261980890991  185.59534101425982  206.43674304061182    4.117801341427996        2.600674198201578  185.59534101425982      206.43674304061182    0.47058221991277827    0.24460683447878978   49.999999999999915     8.80787972927208e-14    556.084757336732       674.5573215343304         44.06487003027576             67.48580717299359    30019900.227754597        23601017.766869906   6.065205119625911  7.0622423847046445    0.7206013079652832        0.8624478029452772   1.7243576380654078        1.083305424722733     26184923.14342444        18589417.485401664   1.4550981849329963e-17       2.4774662257377966e-17   1.3511885902850662e-13         2.30640036808694e-13    3.480309794613979e-08       1.1108217177939995e-08    5.373931909485856e-08        1.630271828445985e-08   7.5499518304203686e-06       1.6865506183951715e-06    9.458794743978137e-06       1.6476415604634237e-06    9.300177853979737e-06       1.3961258972534016e-06    9.032700524238582e-06       1.1858556684700352e-06   1.5955730790480485e-06        5.941586968779083e-07    9.604617832108726e-06       1.8620236564885845e-06     9.13933640592401e-06       1.2391349054104582e-06     8.21100092957825e-06        8.653587852082459e-07    8.718533037895066e-06         7.71407759240326e-07   1.0354487182976223e-05        8.783628650047335e-07    3.828822507874188e-05        1.202822005789281e-06    2.085002179740819e-05        4.278924484669281e-07  11.146751451651236       0.7431167634434157                           0.5                          0.2                     0.1            1.12481270810034                  0.7192632923695299                  0.6528094977245948                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.5           1000.0               0.02          10.0                 1.0               10.0               0.6                50.0               10.0         2.21917127793898               1.0                     0.004                                   10.0   749.4445691835024              2.203492711318108e+27                   7.079   4.438220940143004e+36   21942067.484649636   14.476002630207903   2.1942067484649637   2.1942067484649637    7.59890596516279e+36   3.203445227827983e+36                      0.0      3.203445227827983e+36                     0.0    7.59890596516279e+36  264076.92116964323                     0.0        264076.92116964323   21677995.775802474                      0.0         21677995.775802474   8.605880764917054e+53                     0.0    8.605880764917054e+53                     0.0                      0.0  3.9747355018136176e-08   6.059279342007508e-08   7.670762155789167e-06   9.579279035561673e-06   9.137777577124138e-06   8.626757374679096e-06   1.424829742957489e-06    9.91390776493573e-06   8.771050242584588e-06   7.480466728627063e-06   8.881420192413211e-06   1.061162518641486e-05   3.850235031273557e-05    2.08668719399699e-05 
  1161            1.1685635860451122                0.1362359936845868   179.9353332561017   206.0436616266413    3.756240851719369       2.3764766321498536   179.9353332561017       206.0436616266413    0.47821002314283795    0.24166185412550323    49.99999999999995    4.978821614907104e-14   558.5283605670321       675.1906819270032        42.410897076473994             67.54789068396558    1724287426.8717792        1015009003.4343662    375.836117124036   319.2696878857592    45.060015230988036         45.73609606379165   103.82499668832459        41.62921516349531     1517962540.706869         759113121.9933932   4.6996030580292705e-14        5.965442561366163e-14   1.3842773080038104e-09       1.7241963376569951e-09    5.089255159518504e-08        2.234562968698616e-08   2.0836705164917447e-07        7.866563328990791e-08   4.5893321781980735e-06       1.4264416113245145e-06    6.195193064987516e-06       1.5887441636332814e-06    6.953494240344714e-06       1.5605032954611609e-06    7.688545931978418e-06        1.525049904802161e-06   1.5763686422785303e-06        5.512313386183004e-07    5.570581109880206e-06       1.5758458669594585e-06    7.531386412517788e-06       1.5397677803531599e-06    9.824003638517603e-06       1.4034120470283984e-06   1.6742797647402057e-05       1.5109399115384909e-06     3.38613605667518e-05       2.1704957373174446e-06    3.036605332051072e-05       1.6905001172043995e-06    4.976530866501973e-05         2.23377097720367e-06   13.47532569440535         0.89835504629369                           0.5                          1.2                     0.6           6.192417492057402                    4.08323185447122                  3.4623361035488864                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.5             10.0               0.02         600.0                 3.0              600.0               0.2                50.0               50.0        359.3719384952044               1.0                     0.008                                   10.0   815.9490009216175             2.0444110732511216e+27                   6.634   4.093873485981556e+38    6251301468.744359    408.4542109151395   12.523776683934663   125.03419813708321   5.040323430484386e+38   1.854774461364292e+38    5.244615061593881e+33      1.854722015213676e+38   6.324754247552104e+36  4.9770758880088655e+38  1804325942.5610254       1804227582.758714         98359.80231158988     4446975374.37476        3196731904.614811         1250243469.7599492   5.456422776489591e+55  1.0520159696813522e+51    5.456317574892623e+55  1.2905769907792709e-13    3.734513048619163e-09   6.433604460670994e-08   2.572740453194122e-07   5.504171925639773e-06   7.235319206469755e-06   7.934426980065627e-06   8.587324605908668e-06   1.917468987808744e-06   6.599804428965016e-06   8.453751824157133e-06  1.0377695552868185e-05  1.6257219227754128e-05   3.448678038655095e-05  2.9135618481524138e-05    5.12624958359102e-05 
  1273            1.2677652581407186                0.1591403147503427  222.79456662952168  195.49792507735518    6.009468299684666        2.835727912647827  222.79456662952168      195.49792507735518    0.13798088386167087    0.22663738556082424    49.99999999999995    6.461797984333321e-14    620.590157543238       688.6062351613709         80.36341198489973             82.31708154567744     2726381819.323356         4787420567.085487  26.563219738184927   15.66453698655931    15.386828883251551        12.963673895507235   23.881942521495933       11.045795545142145    2002039431.8927033          3206257886.06467    6.354760764178885e-10        6.598258154244536e-10   4.6527742547219106e-08        4.761033356580733e-08    1.589532710193685e-08        8.081386618260276e-08   2.0985372050283663e-08       1.0385763067680897e-07    5.199272034432336e-08       2.1712683471153723e-07     8.28428168013771e-08       2.8567560914429625e-07   1.1919825555738497e-07       3.3261727109155264e-07   1.7348552652355998e-07       3.8253059604995045e-07    3.492147072537094e-08       1.6494953024474013e-07    6.594272402130762e-08        2.523214360563044e-07   1.5880733258595824e-07         3.71385852130238e-07     7.10046645178727e-07        5.811412807443513e-07    7.176468131516247e-06       1.4196419591150832e-06   1.5208614284151294e-05       1.2081898418592163e-06   3.6626776058132705e-05       1.6621150684111426e-06    3.847810263602196e-05       1.6508393588510273e-06   20.38048565952673       1.3586990439684488                           1.0                          1.0                     1.0           10.18162514694441                   4.950279090799977                   3.987873894156288                              0.0                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02          50.0                 1.0               50.0               0.0                50.0               10.0       31.299487126976842               1.0                      0.02                                   10.0  1114.8818950227167             1.5399410526146876e+27                   5.199   7.885195254868558e+37    2660574115.577601   10.143826530300124    53.21148231155202    14.77652268109613   8.394906175356656e+37   5.582794318766217e+36    3.870602828730241e+34      5.544088290478915e+36   5.134343472419576e+37    3.26056270293708e+37   522857992.4052443       512658739.7674503        10199252.637794023   2137716081.0838346       2000150148.9991896         137565932.08464488  1.6870738361745928e+54  1.6329993338699956e+52   1.6707438428358927e+54    -7.3380477107019e-27   3.0712774137380076e-10  1.0979142922252372e-08  1.7285223803655587e-08   8.081569050511306e-08  1.6946438440319078e-07  2.6356601722980753e-07   3.897862652280405e-07  3.6481258090151196e-08  1.2065628636155784e-07   3.569879356170524e-07  1.2736587444888738e-06   7.053402142098686e-06  1.5210182870355565e-05   3.593320873180325e-05   3.957579616644599e-05 
  1728            1.3999225234112127              0.003935646887696469   80.94287052653428   90.69771943006057    2.145286216055709       1.4286927023656257   80.94287052653428       90.69771943006057     0.1982035742575546    0.06510042488909326                 50.0   2.7404444652308086e-14  262.21702393937034       526.1760171785069         30.34699272217316             41.41046252470237     5363452366.382724        1371424294.8396292   753.1754986736796  435.69323326056167     89.48541573344585         30.31529358803485   158.91112743943054        22.61545727569292     4525823960.891697          947781057.295712   1.1124464307668792e-05        8.441150432493141e-07    2.088577872882461e-05       1.2041409225179406e-06   3.0186008337052127e-05        1.859207446023961e-06    3.190940426567787e-05       1.9548230732248238e-06    4.783955523620791e-05       2.6937150769207326e-06    7.193343067239012e-05        2.748035369485911e-06    9.612194603271419e-05        2.670714917449028e-06   0.00013175449150423947       3.1873615088536757e-06   3.7096901766609944e-05        2.223820858132709e-06   5.7436766340952004e-05        2.933183830025669e-06   0.00012352410327410503       2.5304752253401815e-06   0.00023851706823449422        6.263228529254277e-06    0.0005765162131308874       1.2886263349810293e-05     0.001296373839452192        4.756637267440388e-05    0.0012675860545573933        5.229107618104554e-05     0.001608500959661325       4.4782168504788775e-05  116.84320696883742        7.789547131255828                           0.5                          1.4                     0.7           7.160242163301821                   4.641777858471433                   4.118375702696853                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -2.0            100.0              0.008          50.0                 3.0               50.0               0.2                50.0               10.0       24.365275092049707               1.0                      0.02                                   10.0   2711.769397737898             6.1726153640246684e+26                  2.4126  5.3315488077954375e+38    5679293036.546952    388.3953944729064   113.58586073093906    138.8195730716783  5.9231842569659286e+38  1.4661671552209344e+38    6.609787733779953e+34     1.4655061764475564e+38   8.767864337076705e+37   5.046397823258259e+38   896379494.2135285       875461936.9824642        20917557.231064335    4782913376.070773        3415635368.847706         1367278007.2230678   4.620628616723335e+55  2.7886557840980165e+52    4.617839960939237e+55  1.1227688532194058e-05   2.1562631008375554e-05   3.181849186212786e-05   3.364777914420241e-05  5.0195417160126826e-05    7.36987916081799e-05     9.7919312153442e-05  0.00013264139396039173   3.911881788059833e-05   5.926317823010775e-05  0.00012419406208419632  0.00023459396989226146   0.0005741102984290258   0.0012683501672062507     0.00128804982548095   0.0016035724045108772 
  1764            0.9342601317775101               0.24037998811358904   387.2519314167964   185.6046652253816    5.056298977674789       2.8416977115357773   387.2519314167964       185.6046652253816   0.005650700756277995    0.04994096551283462    49.99999999999997   4.0999572949996016e-14   576.8023419489858         666.46002776092        163.59701280868128             76.03282865370916     27410960439.89108        18036478796.227463   59.47093377395404  21.726892359357535     77.99269031768124         43.73710769943275    60.99804226154558       20.149455869234867     19346003464.84502         12166537870.06488   1.2201588926768957e-09       1.0962838455105707e-09    1.257391467650854e-07        7.294583375493116e-08    5.312627089022098e-07        4.985590088625684e-07    7.291600841759668e-07        6.498790469244873e-07    1.894855679981046e-06       1.2764381367281826e-06   2.8179376365922068e-06       1.5150903673225584e-06      3.5955539854115e-06       1.6377613289542552e-06    4.579500549459495e-06       1.7408696802927706e-06   1.2710994961872856e-06        1.042131424708606e-06    2.348516152517438e-06       1.4049008792207552e-06    4.330764706178465e-06       1.7222196458921688e-06   1.0948451645405971e-05       1.6811554014210046e-06    4.942715349058929e-05       1.8374235286874276e-06    9.818497652951648e-05        3.515882902345516e-06   0.00022806158247653768       1.0672678942431686e-05   0.00022381832693757272        7.443392168675617e-06   33.95941106867272        2.263960737911515                           0.5                          1.4                     0.7          7.1378590497246215                   4.431783422325226                   3.688214988979339                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -3.5           1000.0              0.008         600.0                 1.0              600.0               0.0                50.0             2000.0       198.84399768764047               1.0                     0.004                                   10.0   1112.999040515002              1.542365653652283e+27                   5.206  3.5460267142835635e+38   25243300033.680317    75.96999822680091    71.39168362812815    75.56866497568835   3.764157200703227e+38    5.48778858651375e+37   3.8366111854789734e+35       5.44942247465896e+37  1.7698304966895066e+38    1.99432670401372e+38   7455609982.530578       7418620786.100195         36989196.43038234    17787690555.07814       17068992597.823236          718697957.2549047  1.5324231335080282e+55  1.4417885736439784e+53   1.5180052477715884e+55                     0.0   1.0152128454353073e-07  1.3490443346693026e-06  1.7947210825014924e-06    3.94732781876239e-06   5.188833649301104e-06    6.09992737475333e-06    7.15085124041554e-06  2.9767619055363864e-06    4.57510258629355e-06  6.8983920966961595e-06  1.2550397968435623e-05   5.113103851403218e-05  0.00010178711760220786  0.00021409207517211843  0.00021709110381720292 
  6138            1.1999998304547135            0.00018414404300602308  368.65417679415157  207.39281026501737   2.8511230529042826       0.5249663035217981  368.65417679415157      207.39281026501737     0.6698150672440578    0.14611305998449223    49.99999999999999   1.7677022270887643e-14   422.3369669685566       617.6315586339426         72.78733453386964             80.86009965670883     15655713477.85513         4937019216.648144   3730.844442725282   1814.431687545619     135.1389142462898        105.98911230716958   1001.9814548060923        50.09907274030462    13816923826.464739        3017526164.8095646   0.00020245027957146216       3.7210595932206424e-06    0.0002834026155792887         4.03621783075964e-06   0.00033845066625945983       4.3128326264264625e-06    0.0003501214748905992        4.334356398613323e-06    0.0004852733231710252        4.535644792417924e-06    0.0006475550921184956        7.769708081767558e-06    0.0008656774468902506        9.848501798375673e-06    0.0011949120607707869        3.278781628212659e-05   0.00038658269294826036         4.41118128486766e-06    0.0005733027218755792        5.325974649286691e-06    0.0011341219068145153       3.0493590978058483e-05     0.004140595841004036       0.00018121623506367325     0.004254600994614439        9.147242780011491e-05     0.005634896432359678       0.00010038101487880324     0.008020728834132426       0.00016568442192683953     0.006564837098750067        0.0001553718517659367  134.14204059986963        8.942802706657975                           0.5                          1.2                     0.6           6.217735331218039                   4.150752270618144                   3.412668905694048                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -3.0            100.0               0.02         600.0                 3.0              600.0               0.4                50.0               10.0        281.6327565839566               1.0                     0.004                                   10.0   2899.445789830493              5.705282189289743e+26                   2.261   2.877289641210079e+39   25019470365.899006   3269.4376150525504   100.07788146359606   1000.7788146359604   3.781129121286775e+39   1.661853684684236e+39   1.5986438922221882e+34     1.6618376982453138e+39  1.8324776734577175e+37   3.762804344552198e+39   5631324572.490611       5631324572.490611     8.536046407531708e-16   19388145793.408394        9380357647.048792         10007788146.359604  4.5282599319914235e+56   3.227195522750618e+51    4.528227660036196e+56   0.0002013654650376888    0.0002808189794828308   0.0003340833366525405  0.00034553134027668974   0.0004794922481577663   0.0006437703626067769   0.0008625204651721035    0.001165705106757528   0.0003814038316635642   0.0005700332186049976   0.0011059358567689166    0.004339424128828307    0.004317445631910257      0.0057604209453532    0.008152766888251192   0.0067241619291124825 
  6329            1.1910037346974158               0.05715039417795529   361.2680388255541  187.11903588065525    6.980339306388608         1.95344919115355   361.2680388255541      187.11903588065525     0.2633884965521394    0.15004219902009247    49.99999999999999   2.7756490056380615e-14  374.27500270886134       582.3820298956658        146.59216556536035             96.08533369814548    12527494491.602127         4739445163.488865  466.55801830187266  400.70927252828756     60.68853299742158         54.41313855933675   312.34670314235694        71.51537367877754     9484443953.268162         3218688109.747198   2.9447955615563986e-15        3.852232658970805e-15   3.5963646929765415e-11        4.641538212290274e-11   2.6105183873120202e-08       3.5859567764654734e-09   3.9768105615261935e-08       5.0773135937132185e-09    8.997550264003056e-06        7.259713999512159e-07    1.427197507188584e-05         9.43606270549201e-07   1.6056837520437463e-05        9.080686089758853e-07   1.7751840531094423e-05        8.582366911091375e-07    1.277196117127123e-06       1.2409662397833736e-07   1.2929420224274773e-05        9.614804529378523e-07   1.7364145537232546e-05        8.720063228110845e-07   2.2491515262151606e-05        7.095054249785813e-07    3.820530078615338e-05         9.25925260738325e-07   0.00010108877622480259       3.4972689141070765e-06   0.00029321593793471366        9.489193093980912e-06   0.00020468617934387022         5.93013917821741e-06  161.98432746377037       10.798955164251359                           0.5                          1.2                     0.6           6.197602728915511                   4.067867541517806                   3.699699127485088                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0             10.0              0.004         200.0                 5.0              200.0               0.2                50.0               10.0       133.07600350511672               1.0                     0.004                                   10.0   755.1893286277283             2.1887898025876723e+27                   7.038   9.795045198040935e+38    14630961405.53659     562.066129314106   29.323118828218877    292.6193125544363   1.146679321505947e+39   3.925525337813295e+38   3.4539431600515653e+34       3.92517994349729e+38   4.355612030595483e+37  1.1031232011999922e+39  3696423430.5642834       3664110813.325536        32312617.238747932   10934538843.455719        8040657466.666694         2893881376.7890263  1.0766151996669754e+56  5.0963561979405784e+51    1.076564236104996e+56   7.516615007708114e-15    9.127267090359432e-11  2.7616209081696653e-08  4.1198363431225316e-08   9.049418304865904e-06  1.4326526329585579e-05  1.6065413626374528e-05  1.7671027013488242e-05  1.2910541685995515e-06  1.3011519687676908e-05  1.7295754396069522e-05  2.2137061767066388e-05  3.7588472531942015e-05  0.00010105715706149566   0.0002993536026549007  0.00020652402267622237 
  7316            0.7951228097029502              0.030861093325689416  338.65661848452027  223.43996658467086   2.3969860836709085       0.9328239144859211  338.65661848452027      223.43996658467086     0.4851237522977492    0.20831365277008182    49.99999999999998    3.040571597649241e-14  425.09382027378257        620.534217374613        120.03710941620915            129.32468045060517     1565257046.989325         848957847.2935113    325.230665348702  194.23241596821475     12.68771839238817        13.366377550573613    64.46663244122273        7.198668501538414    1258797853.6430674         530482215.1398746   1.9823566355803765e-11         4.60783364302102e-12   1.8243885201082278e-07        1.193451718586281e-08    2.356232026415346e-06       1.2513675251374334e-07    6.914254843495388e-06       3.0789862265015007e-07   2.2717417471060508e-05         8.12713090793442e-07   2.3845648507113505e-05        7.385085639912468e-07   2.4060994603029144e-05        7.274982312404007e-07   2.4138405580169254e-05        7.450590105652107e-07   1.6716923213793605e-05         6.87891334578599e-07   2.3456933008172295e-05        7.659966493914078e-07    2.411663723758871e-05        7.379810563294672e-07    2.659163033024825e-05        6.763417001549223e-07   3.8522099635409076e-05        6.299860243711011e-07    8.075296765930501e-05        3.063371382848054e-06    5.188100449829879e-05       2.6069884442335573e-06   0.00013214354512234574        4.582462647885726e-06   38.88361849903881        2.592241233269254                           0.5                          0.8                     0.4           4.193088494691125                  2.7951204045134186                   2.458707204464955                              0.2                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0            100.0               0.02         600.0                 3.0              600.0               0.2                50.0               10.0        414.8045699807884               1.0                     0.004                                   10.0   945.4183689944094                 1.791641993014e+27                    5.92   1.873261167302763e+38     3253878370.23262   212.60146963271168    6.507756740465239     65.0775674046524  2.4786120048081242e+38  1.0806696497864668e+38   2.7721305082440625e+33     1.0806419284813845e+38   3.177610278926466e+36  2.4468359020188596e+38   976500565.5841213       976500565.5841213    1.4801942309499007e-16   2277377804.6484985       1626602130.6019747          650775674.0465239   2.944623096939994e+55   5.596122568766704e+50    2.944567135714306e+55  2.0906515454831438e-11   1.8461477956095179e-07   2.338666083225464e-06   6.839512218804428e-06   2.242213863990258e-05   2.342820502669548e-05  2.3553144343526284e-05  2.3548579527359182e-05  1.6528064181821968e-05  2.3101224797241126e-05  2.3551194264391264e-05   2.592487168368309e-05  3.8183317587989005e-05   8.107578355500821e-05  5.4228479371906783e-05   0.0001352300423900304 
