       id  redshift        hst.acs.wfc.F435W   hst.acs.wfc.F435W_err        hst.acs.wfc.F606W   hst.acs.wfc.F606W_err        hst.acs.wfc.F775W   hst.acs.wfc.F775W_err        hst.acs.wfc.F814W   hst.acs.wfc.F814W_err       hst.wfc3.ir.F105W   hst.wfc3.ir.F105W_err       hst.wfc3.ir.F125W   hst.wfc3.ir.F125W_err        hst.wfc3.ir.F140W   hst.wfc3.ir.F140W_err       hst.wfc3.ir.F160W   hst.wfc3.ir.F160W_err       jwst.nircam.F090W   jwst.nircam.F090W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
     2923     3.015   1.8599999999999998e-05   9.384966702125266e-06   3.0370000000000002e-05   1.519227188408633e-05                2.692e-05  1.3474735618927741e-05                2.796e-05  1.4448629692811702e-05               1.701e-05   9.148329082406253e-06               3.161e-05  1.6963007545833373e-05                  8.8e-07  2.3334148795274276e-05  3.3480000000000005e-05   1.814849029533862e-05               2.786e-05  1.4290591310369212e-05                2.16e-05  1.1025806092980231e-05               2.079e-05  1.0691399580971614e-05               3.097e-05  1.5629447367069637e-05  2.6360000000000002e-05  1.3259521107491025e-05               1.782e-05    9.00578702835016e-06  1.6709999999999998e-05   8.723882449918728e-06               2.056e-05  1.0432966979723457e-05 
    21150     3.088               0.00024444   0.0001222366917091591               0.00042745  0.00021372621276998289               0.00039785  0.00019892736494761095               0.00043078  0.00021546487996887105              0.00035234  0.00017617436391257382              0.00033118    0.000165602937775874               0.00035757   0.0001787953092924979              0.00039114   0.0001955777402978161              0.00038532   0.0001926854236832667  0.00036281000000000003  0.00018142100794836305  0.00039527000000000003  0.00019765132133380746              0.00054762   0.0002738239100224814              0.00047557  0.00023779259076977144              0.00041991  0.00020996377884054191  0.00045140999999999996   0.0002257229929028055  0.00045506999999999996   0.0002275437896867326 
    18322     3.151                 8.26e-06   5.188111409752107e-06   2.2630000000000002e-05  1.1846912044917023e-05                2.522e-05  1.4256037317571808e-05                2.541e-05  1.3124066633479121e-05               1.522e-05   9.056500427869476e-06  1.3690000000000001e-05    9.06953830136904e-06                6.279e-05   4.003958697339422e-05               2.234e-05  1.3294848626441746e-05               2.124e-05   1.085780825028698e-05               2.341e-05  1.1839570304702787e-05               2.982e-05  1.5014692804050305e-05                6.65e-05   3.331688160677707e-05                4.21e-05   2.107820201060802e-05               2.306e-05   1.160083186672404e-05  2.1510000000000002e-05    1.09095795061038e-05               2.422e-05   1.218064858700061e-05 
    10040     3.154                 8.15e-06  4.3598308453425115e-06   1.9679999999999998e-05   9.856495320345868e-06                2.449e-05  1.2268562466727715e-05                 2.87e-05  1.4905146762108717e-05               2.273e-05  1.2557022935393565e-05               3.127e-05   1.695543644380763e-05   1.2099999999999998e-06  2.4187567570965047e-05  3.4529999999999996e-05  1.9041037918138813e-05                2.92e-05  1.4754555228809848e-05                2.93e-05  1.4737113014427215e-05               3.831e-05  1.9227660414101346e-05               6.287e-05   3.147986062548562e-05               5.651e-05  2.8271990113891876e-05               4.752e-05  2.3782314857893877e-05               5.063e-05   2.537404431697872e-05               5.265e-05  2.6352793495187564e-05 
    19431      3.32                2.058e-05  1.0415190828784655e-05                4.292e-05  2.1468108906002877e-05   4.7629999999999996e-05  2.3827770038339717e-05   4.8570000000000004e-05  2.4808589742264677e-05               4.434e-05  2.2195805910126353e-05               4.498e-05  2.2559543435096374e-05                4.811e-05  2.4112209044382477e-05               5.785e-05   2.896812083998546e-05  5.4829999999999995e-05   2.767710651422941e-05               4.907e-05   2.468752367087473e-05               5.636e-05   2.835109345333968e-05              0.00011353   5.682917582545079e-05               7.954e-05    3.98280730138931e-05               5.003e-05   2.507967752982482e-05               5.998e-05  3.0177635758952356e-05  5.8979999999999994e-05  2.9593259367633026e-05 
 10013597     3.323   1.1390000000000001e-05   6.679305727394128e-06   2.1819999999999998e-05  1.1566058101185552e-05                3.207e-05  1.7906482764630244e-05                2.887e-05  1.4865117725736316e-05  2.7040000000000002e-05  1.4096471189627567e-05               2.812e-05  1.4942797596166522e-05                4.081e-05   2.992550960301261e-05  3.9489999999999996e-05   2.066284406852067e-05                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0               3.053e-05  1.5992908584744678e-05 
     3322     3.406                 -4.2e-07  3.6859869777306595e-06                 7.97e-06   4.758174544927917e-06                1.107e-05   6.817376694887851e-06                 7.61e-06   4.213564405583472e-06               1.161e-05    6.24772958761821e-06                4.54e-06   3.923378646014173e-06   1.0189999999999999e-05  1.4729271027447354e-05   9.129999999999999e-06   5.971743882652705e-06               1.055e-05   5.498011003990443e-06               1.031e-05   5.260848315623631e-06               1.313e-05  6.6737714225166565e-06               2.487e-05  1.2478414362409993e-05  1.9019999999999997e-05   9.537976724651826e-06               1.592e-05   7.986494850683872e-06               1.988e-05  1.0020803361008538e-05               1.765e-05   8.868766825213073e-06 
     7629     3.452   1.1299999999999999e-05  5.8888114250670305e-06   3.6339999999999994e-05   1.817957645271198e-05   4.1570000000000003e-05   2.080039002038183e-05                4.053e-05  2.0846638218187605e-05               4.154e-05  2.1527389530549217e-05               2.366e-05   1.378677989959947e-05                4.752e-05    2.79081923456178e-05               4.406e-05  2.3602156681117088e-05               4.346e-05  2.1930674864217015e-05               4.041e-05   2.033890176484463e-05               4.035e-05   2.030681474283941e-05               6.759e-05   3.390030862691371e-05               6.051e-05  3.0287374019548148e-05               4.719e-05  2.3654025555917538e-05               5.079e-05  2.5509098866874932e-05               5.344e-05  2.6774661529139825e-05 
     3184     3.468   2.8230000000000002e-05  1.4327764131224384e-05               0.00010251  5.1264367985960784e-05                0.0001351   6.756231641973209e-05               0.00013795   6.916402768057973e-05              0.00012591   6.319305677841513e-05               0.0001376   6.918725388393444e-05   0.00011915000000000001    6.56872097519753e-05              0.00015642   7.870240275874682e-05              0.00015257   7.641178721244518e-05              0.00015316   7.664191281537799e-05              0.00016511   8.262915965323621e-05  0.00026018000000000005  0.00013012645580357595               0.0002263  0.00011317061500230526              0.00017862   8.932936639202139e-05               0.0002006  0.00010036602811708751              0.00020379  0.00010192566421171854 
     7809     3.578   1.4590000000000001e-05    7.42438044553214e-06   5.6779999999999995e-05    2.83942282867487e-05    7.549999999999999e-05    3.77557690955965e-05                8.464e-05  4.2434853599370414e-05               7.593e-05   3.815971337680617e-05   8.389000000000001e-05   4.228734946765995e-05                3.025e-05   2.517900961118209e-05   9.007999999999999e-05   4.545388872252845e-05                7.91e-05   3.959003536244948e-05               8.247e-05   4.125676702069613e-05               8.501e-05   4.252772184117085e-05              0.00012117   6.060258925986578e-05  0.00013031000000000002   6.516054423498933e-05               9.904e-05   4.952781844579872e-05   9.873999999999999e-05  4.9390705603382505e-05              0.00010944   5.472950575329545e-05 
 10035295     3.589   2.2859999999999998e-05  1.3583832301673928e-05   4.4859999999999994e-05  2.2747944962127896e-05                6.308e-05   3.242409597814563e-05   5.9319999999999994e-05  2.9883743072111964e-05               4.897e-05  2.4945302664028754e-05  5.6489999999999996e-05  2.8913187735011164e-05                3.433e-05   3.067268532424248e-05               6.422e-05   3.296066898592928e-05   6.285000000000001e-05   3.161490510819225e-05   6.510000000000001e-05  3.2635442390137755e-05   6.850000000000001e-05   3.435313813904052e-05               8.083e-05   4.047926166569741e-05                9.89e-05   4.947620236032673e-05               4.902e-05   2.454825859404288e-05               4.714e-05  2.3711874662286826e-05               5.804e-05  2.9080832175163078e-05 
     6460     3.595                -2.82e-06   1.628117010537019e-05                7.276e-05   3.728172340437067e-05                7.926e-05   4.190514646198006e-05                9.239e-05   4.653319272304448e-05               7.685e-05   3.908090998172893e-05               8.774e-05   4.473605369274317e-05                9.966e-05  5.7544046607794274e-05  5.2810000000000004e-05   2.851695855100961e-05                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0                   -99.0              0.00012946   6.477749068928187e-05              0.00011819   5.913630970055538e-05              0.00011703   5.866268682049945e-05              0.00012426   6.220190511551877e-05 
