       id  bayes.attenuation.E_BV_lines  bayes.attenuation.E_BV_lines_err       bayes.sfh.age   bayes.sfh.age_err  bayes.sfh.age_burst  bayes.sfh.age_burst_err  bayes.sfh.age_main  bayes.sfh.age_main_err    bayes.sfh.f_burst  bayes.sfh.f_burst_err  bayes.sfh.tau_burst  bayes.sfh.tau_burst_err  bayes.sfh.tau_main  bayes.sfh.tau_main_err  bayes.stellar.age_m_star  bayes.stellar.age_m_star_err  bayes.sfh.integrated  bayes.sfh.integrated_err       bayes.sfh.sfr   bayes.sfh.sfr_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.hst.acs.wfc.F435W  bayes.hst.acs.wfc.F435W_err  bayes.hst.acs.wfc.F606W  bayes.hst.acs.wfc.F606W_err  bayes.hst.acs.wfc.F775W  bayes.hst.acs.wfc.F775W_err  bayes.hst.acs.wfc.F814W  bayes.hst.acs.wfc.F814W_err  bayes.hst.wfc3.ir.F105W  bayes.hst.wfc3.ir.F105W_err  bayes.hst.wfc3.ir.F125W  bayes.hst.wfc3.ir.F125W_err  bayes.hst.wfc3.ir.F140W  bayes.hst.wfc3.ir.F140W_err  bayes.hst.wfc3.ir.F160W  bayes.hst.wfc3.ir.F160W_err  bayes.jwst.nircam.F090W  bayes.jwst.nircam.F090W_err  bayes.jwst.nircam.F115W  bayes.jwst.nircam.F115W_err  bayes.jwst.nircam.F150W  bayes.jwst.nircam.F150W_err  bayes.jwst.nircam.F200W  bayes.jwst.nircam.F200W_err  bayes.jwst.nircam.F277W  bayes.jwst.nircam.F277W_err  bayes.jwst.nircam.F356W  bayes.jwst.nircam.F356W_err  bayes.jwst.nircam.F410M  bayes.jwst.nircam.F410M_err  bayes.jwst.nircam.F444W  bayes.jwst.nircam.F444W_err      best.chi_square  best.reduced_chi_square  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated            best.sfh.sfr   best.sfh.sfr100Myrs     best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young  best.hst.acs.wfc.F435W  best.hst.acs.wfc.F606W  best.hst.acs.wfc.F775W  best.hst.acs.wfc.F814W  best.hst.wfc3.ir.F105W  best.hst.wfc3.ir.F125W  best.hst.wfc3.ir.F140W  best.hst.wfc3.ir.F160W  best.jwst.nircam.F090W  best.jwst.nircam.F115W  best.jwst.nircam.F150W  best.jwst.nircam.F200W  best.jwst.nircam.F277W  best.jwst.nircam.F356W  best.jwst.nircam.F410M  best.jwst.nircam.F444W 
     2923           0.06839757472867145               0.08275255837712199   172.8985520453469   190.8815355812105    5.638749579129887       2.8068308947838734   172.8985520453469       190.8815355812105   0.3651245731411836     0.2744223421115344    50.00000000000001    8.693447150209518e-14   582.5864648655298       683.6927836409592         45.33823893673963              63.7272052598834    20386141.960064862        15931633.625138491   1.818989516584855   2.033022077737946    0.3621828189803369        0.3312356442796004   0.8400723457602006      0.34618968705244646    17055161.855992835        11392021.577916289   1.9000121399945023e-05        4.704308070012401e-06   2.9447283041666227e-05        5.492743229443491e-06    2.470861945707354e-05       2.7436531092438008e-06    2.433324611608256e-05       2.6137781706789745e-06   2.1810954031013365e-05       1.7375956589426905e-06   2.1286423628071267e-05        1.394159878125989e-06   2.2713581001759023e-05          1.9542683940732e-06   2.3692191486154162e-05        2.807901600419996e-06    2.303236789404743e-05       2.2973924769039917e-06   2.1262099935759806e-05       1.4859249316399778e-06    2.338126506892807e-05       2.2529712244759157e-06    3.139966905835516e-05        8.881968860784378e-06    2.620708174918546e-05        4.669708167211413e-06   1.6954527820551047e-05        3.647721323858378e-06    1.415232921754539e-05        3.835402527793322e-06   1.4609819941777811e-05        3.825617626595225e-06   2.0826148096515813       0.1388409873101054                           0.5                         0.05                   0.025         0.33640144942484373                 0.11561926974652417                 0.09680356701247564                             -0.6                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0            100.0               0.02          50.0                 5.0               50.0               0.2                50.0               10.0       24.671796930822573               1.0                     0.004                                   10.0   2131.873418375528              8.075892431459314e+26                   3.015   6.138538170658893e+35   25177096.286858957       1.044001680387478    0.5035419257371793     0.6154064837357512  2.6490818376212095e+36   7.407377295133062e+35   1.0366453225545476e+33      7.397010841907517e+35   4.835705910935903e+35  2.1655112465276194e+36   3877052.466063538      3756420.5935118045         120631.8725517335     21300046.1252581       15266610.855989644          6033435.269268458    2.03727903318553e+53  4.1984986287862095e+50   2.0330805345567435e+53   1.931256392475173e-05   3.037370034524937e-05  2.5762785233521917e-05  2.5285253195181675e-05   2.203479226027314e-05   2.158789573051891e-05   2.201778951679633e-05  2.2810502145924204e-05  2.3756178398314453e-05  2.1478188877501082e-05  2.2828488459305944e-05    2.96028248297049e-05  2.6737671734900236e-05  1.8787356203464885e-05   1.711326426012358e-05  1.7662383855370546e-05 
    21150           0.11598567369548522                0.1134541396293337   190.6785644745644   196.5309307343142    5.454180192847228         2.83299336871957   190.6785644745644       196.5309307343142  0.32672594220636647     0.2851564615992739    49.99999999999999    7.373744986953075e-14   597.2620058327874       687.5964134722656        53.982331187200266             68.47054926259965     586400942.9629208         572300038.9043823   37.88995958186228   46.13637573735182     8.130929394996157         7.925005459997879   17.521275396719666         10.1872426622735    471175350.41856515         399900611.0605934    0.0002490642457890058        7.345201993951663e-05    0.0004167473404670427        8.825891818169677e-05    0.0003847289915321706        4.607911336825672e-05    0.0003813108807500051        4.366874809174834e-05   0.00035503173272007207       2.9565712165361143e-05    0.0003502778205030076       2.3097470087365087e-05    0.0003761438506097533         2.80315821498549e-05   0.00040697138847310997        4.094658890579475e-05   0.00036773826286383356        3.835630412061159e-05    0.0003490656212192087       2.5530776174418216e-05    0.0003940004179605073        3.389426504604239e-05    0.0005639845908814512        0.0001462976440676036    0.0004891722986065575        9.389493586190154e-05   0.00034895827382830374        9.057179012244765e-05     0.000374426604444713       0.00010058743466507259   0.00034388849065259796       0.00010003118389571077  0.06603343954856956     0.004402229303237971                           0.5                          0.0                     0.0                        -0.0                                -0.0                                -0.0                             -0.6                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0               0.02         400.0                 1.0              400.0               0.0                50.0              500.0       145.21576892622366               1.0                      0.02                                   10.0  2075.5764928616327              8.310934695059591e+26                   3.088                     0.0   1733146338.7389076       6.525492401578454     6.291176212508669      6.510060905480891  2.7649792418233456e+37   3.146975637198629e+36    9.512211908402097e+33     3.1374634252902266e+36  1.1517136170789853e+37  1.6132656247443603e+37   477837323.4044165      473982319.69413656         3855003.710279962   1255308995.8336189       1194063409.9899623          61245585.84365627   9.540810834838759e+53   3.715198926652735e+51    9.503658845572233e+53   0.0002453631671352579   0.0004249798382714539  0.00040003567209405486  0.00039800036504356354   0.0003602466020407085  0.00035181251921258673  0.00035653300753864367   0.0003883315580154375  0.00038484538396464185   0.0003541250290430618   0.0003797582068274063   0.0005501922529314198  0.00045714365553678514  0.00043549373760440617  0.00046632422822481855  0.00045948359927978314 
    18322            0.1832265490871192               0.12037829792732337  191.94025888205292   203.9800683469827    4.953223508179804       2.8211013742853988  191.94025888205292       203.9800683469827   0.4099065305115443     0.2785879028872823    50.00000000000001    5.680255617967928e-14   571.4890124957134       679.4492853896016         49.40429174920133             68.75135366696375    33042130.455325592        28392196.073015984   3.968065327393162   4.439289619630522    0.6169088903642621        0.6456279088184667    1.423673144009491       0.7210842422480616    27577299.582655087        19890086.462350134   1.0078964671511093e-05       3.6940346816340775e-06    1.926079140488891e-05        4.826879610850261e-06   1.9641275818313695e-05       2.9183843064015515e-06    1.956661957262651e-05        2.776944769876917e-06    1.937785034646556e-05         2.03223113456162e-06   1.9846748952754933e-05       1.7523088711155326e-06    2.134976006384624e-05       2.2394865288373236e-06    2.375919797125345e-05       3.0172092856758525e-06   1.9292700554061885e-05        2.470629014234714e-06   1.9482792381929908e-05        1.840283248331365e-06    2.329326363934114e-05       2.6656745205059307e-06    4.175262902195578e-05       1.6337463552846763e-05    3.254304875150195e-05        6.749203537848678e-06   2.1067542602968595e-05       4.6385647766038185e-06   2.4442124941963118e-05       5.6115730857121864e-06    2.278613967352195e-05        5.452046929955082e-06    2.729129650568426      0.18194197670456175                           0.5                          0.2                     0.1           1.280525259068085                  0.6477522631832107                  0.6133056383664142                             -0.4                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0             10.0              0.008         600.0                 3.0              600.0               0.2                50.0              100.0        292.2989975099421               1.0                     0.004                                   10.0  2028.9369582364038               8.51446349027177e+26                   3.151  3.2409497620144537e+36    67894930.73089676      4.4444001675685225   0.14859851168625807     1.3665076732663888   5.244569528959302e+36  2.2610220634560654e+36   1.2028025072924798e+32      2.260901783205336e+36  1.1657849697693936e+35  5.1279910319823624e+36  19158504.737650413      19154194.611577194         4310.126073217376   48736426.051323056       35075659.386655666         13660766.664667394  6.1612772029177135e+53   3.173100185615746e+49    6.160959892899152e+53    9.60185232743736e-06  1.9450263571981117e-05  1.9948395999745368e-05  1.9693529711958392e-05  1.9261405372838518e-05   2.096330652604383e-05  2.2046044633011817e-05  2.4304087473215594e-05  1.9061607564881014e-05   1.985630739321214e-05  2.4380087900140404e-05   6.926806260056398e-05  4.0704199983390886e-05  2.0545936515902236e-05   2.378797861651445e-05  2.3897919099874572e-05 
    10040            0.3161072971857575                0.1590609439804821   189.8399347947837  201.85824762881157    5.396819905262092        2.792853411956432   189.8399347947837      201.85824762881157   0.3686720257484947    0.28466051805268755    49.99999999999998    6.124253555963969e-14   560.7445461513637       674.9273210074762         53.68200605355022             73.15080811443802     90102487.61176027         82217722.61885145   7.572767885240883    9.03889929785592    1.4598896636945042        1.4779440521911624   3.2428525428854567       1.7936950343082632      73394036.9326105        56531447.401404716     8.28060069342959e-06       3.0441781041117366e-06   1.8843146998592063e-05       3.9052918546033145e-06   2.2764584383690196e-05       2.9067943779222767e-06   2.3102832427065873e-05       2.8254470622257575e-06   2.5264004856065488e-05        2.727581004343773e-06   2.7228709696349032e-05        2.897213680394189e-06    3.005964925206069e-05        3.516893535567905e-06    3.428998308391321e-05        4.295631654323524e-06    2.392536154043535e-05       2.7704560399611756e-06   2.6146548212235844e-05        2.781745045048177e-06      3.3323233773069e-05        3.947000893150929e-06    5.836089457249835e-05        1.678725986077831e-05   5.6205060054979376e-05        9.615766029716974e-06    4.272173667076189e-05        8.839172337272851e-06    5.054275233598685e-05       1.0942222765240617e-05    4.744289479523804e-05       1.0678475228477969e-05   1.7380107201964174      0.11586738134642784                           0.5                          0.2                     0.1          1.1937874309489807                 0.44970183799718355                  0.3892818935741227                             -0.4                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -1.0           1000.0              0.004         400.0                 1.0              400.0               0.0                50.0             2000.0        130.6533584701052               1.0                     0.008                                   10.0  2026.7592853304782              8.524170844787484e+26                   3.154   2.508935432136332e+36   218323739.38873523      1.0204158834294879    0.9152242612176114     1.0111705006534188  4.5634552884443547e+36   6.450485935299972e+35   2.9759225325664546e+33     6.4207267099743076e+35   1.888191205667752e+36  2.6752640827766035e+36   58378029.24796888       57857905.72947325         520123.5184956321    159945710.1893204        150354128.6527278          9591581.536592586  1.8608045160010539e+53  1.1883132170893977e+51   1.8489213838301599e+53   8.219722263210652e-06   1.985160298478421e-05  2.4585571758435135e-05  2.5039716534932386e-05  2.6823646427107152e-05   2.817213847641012e-05   2.939789818938325e-05  3.4494331418250643e-05  2.5994081076092883e-05  2.7506875149369362e-05  3.3232701705261594e-05   6.169867527218374e-05   5.068391245639831e-05   4.847761224965761e-05   5.106950854241656e-05    5.15395894845184e-05 
    19431           0.16989152342066088               0.11937189074113574  189.82923957863613  200.94630270826994    5.283535096358337        2.805714115367492  189.82923957863613      200.94630270826994   0.3763845620219407     0.2825196601282251    50.00000000000003    7.535777766735913e-14   582.2833922318156       682.7256420550251        50.921143681052556             68.67973865798236     89159378.26889037         81062561.18862876   8.156223736183556   9.398840577033084    1.5085280171862543         1.552789498004186    3.392643069010676         1.85001906560457     73313909.72062655         56695112.66752201    2.057968358633947e-05        6.683863405365849e-06    4.598860359165841e-05       1.0288252584188047e-05    4.831587460687067e-05       5.9076800187075846e-06    4.809884672313285e-05        5.577541008893731e-06    4.620792002561345e-05        4.407971173832079e-06    4.667980973286576e-05        3.715378964900066e-06   4.7705624737408796e-05       3.8137233806168663e-06   5.4176277197019595e-05        6.645992083857127e-06   4.7403376007664654e-05        4.948197565240083e-06   4.6504666287554935e-05        3.925757774955838e-06    5.209680833782619e-05        6.068868281827482e-06    9.047900261657857e-05       2.9801440451190112e-05    7.267671427217207e-05       1.4473964954462848e-05    4.342545328222389e-05       1.1581923075945494e-05    6.162546144297252e-05        1.517520883477942e-05    5.518686503652024e-05       1.3661101357064003e-05   0.1831462558419301     0.012209750389462006                           0.5                          0.2                     0.1           1.141103792976331                   0.568695094333997                  0.5263446372134096                             -0.2                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0             10.0              0.008         100.0                 9.0              100.0               0.4                50.0               10.0       45.155051181706256               1.0                     0.004                                   10.0  1912.0185987606255              9.063440679365063e+26                    3.32   6.374912619643941e+36    92722619.19697297        3.80186712787322    0.9272261919697297      3.713183310989151  1.0736861606535554e+37   2.826709519199724e+36   6.8108145166529025e+31     2.8266414110545574e+36   4.745787113749866e+35  1.0262282895160569e+37  16159187.490779007      14513934.458833814         1645253.031945194    76563460.20948118        41076851.62824763         35486608.581233546   7.881389293584737e+53   2.888341157650696e+49    7.881100459468973e+53  1.9953819759380925e-05    4.49434282486157e-05  4.9536616182700073e-05   4.929247159734207e-05   4.749652482641688e-05   4.795625846167855e-05   4.934774334560788e-05   5.364282147973231e-05   4.855126866582765e-05   4.739337586333049e-05   5.135998449647607e-05  0.00011782143731148201   8.016149664740452e-05  5.1490743509671626e-05   5.914409335694698e-05   5.693943808652019e-05 
 10013597            0.1535271355005235               0.12709932700620685  186.50350085577628  201.97677806760134    5.133067521948794       2.8032102993644643  186.50350085577628      201.97677806760134  0.40678206364701003     0.2799440834838865    50.00000000000001    6.524387258002989e-14   570.9595363027919       679.2986359638163         47.68899234754913             67.44374977175954     45266489.61863892         46835186.10674209     5.0632421603029   6.547727465653641    0.8317563239537709        0.9543450355505809   1.9048625308649085        1.230876644941538     37670822.67220826        33505606.577591285   1.1758393079722489e-05        3.777545580897064e-06   2.6049226992787218e-05        5.220339299930222e-06   2.6873771748295574e-05        2.837426522426909e-06    2.673137478712841e-05         2.75254291052361e-06   2.5601207184258828e-05        3.078197246423372e-06   2.5970843065338532e-05       3.5229852089969393e-06   2.6655297598808818e-05       4.1220135118512665e-06   3.0726878285298314e-05        6.335957858997497e-06   2.6293572104433235e-05        2.789549545873119e-06   2.5865538624711965e-05        3.241436028753097e-06   2.9464828353688923e-05        5.817501488107723e-06    4.915325369966467e-05        2.261440412023767e-05    4.095714573005666e-05       1.3875284802680417e-05    2.317208302997657e-05        8.995468004406506e-06    3.339959874774147e-05       1.3209546866103573e-05   2.9846519525551196e-05       1.1767752959576956e-05   25.988388616364457       1.7325592410909638                           1.0                          0.2                     0.2          2.0549135235646174                  0.9588368954224492                  0.7643151296591768                              0.0                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -3.5             10.0               0.02         400.0                 3.0              400.0               0.4                50.0               10.0       189.86099711672782               1.0                      0.02                                   10.0  1910.0443288119066              9.073224136663541e+26                   3.323   9.857848413698593e+36    88128294.01074605      11.516229367583195   0.35251317604459487     3.5251317604298444  1.4004274053706634e+37   4.254412084539022e+36   4.6600203214548195e+31     4.2543654843358076e+36   7.083754617699886e+34  1.3933436507529635e+37  18255793.566453017       18147158.79510953        108634.77134348747    69872497.51494972        34729817.61133809          35142679.90361163   1.344607340664726e+54   9.100098472016702e+48   1.3445982405662539e+54  1.0047407026184925e-05    2.47740809980034e-05  2.8513058461186402e-05  2.8625866797957248e-05  2.8629116935124364e-05    2.99553185976267e-05   3.509505032401047e-05   3.814599168094557e-05   2.882167605672479e-05  2.8751817983687833e-05   3.655979376080741e-05   3.537321071357913e-05   6.394254378838215e-05   2.475668854800985e-05   2.822537110392563e-05  3.0294349660092535e-05 
     3322           0.31199483085442925               0.17734809959085576  194.60291853661002  203.71973494682817    5.337427926219906       2.8108418624568974  194.60291853661002      203.71973494682817   0.3643672469208117     0.2848401354748493                 50.0    5.385532903368005e-14    563.114100490696       675.2652903936315         55.82627543727348             74.97443003009873     36207773.58880876         34343273.89008988   3.002294764220378   3.721780346834913    0.5656243283908831        0.5975006208692691    1.260288771086933       0.7606318107859955     29344247.85099405        23663370.571269542    2.070765864196473e-06        1.132566514493093e-06     6.06471208945784e-06       2.1848211010085555e-06    7.598656801616695e-06       1.6521722447991512e-06    7.715121973883528e-06       1.5563445897673728e-06    8.344425531392014e-06       1.1036184429742212e-06    8.973640848971952e-06        9.604080140130466e-07    9.608764484439435e-06        1.010775946942408e-06   1.0710678124619357e-05       1.3904303828810895e-06    8.035704054751098e-06       1.3293875774754403e-06    8.695803894032753e-06       1.0012151564441743e-06   1.0513828560094066e-05       1.3563372920403605e-06   2.0650221012388675e-05        6.240402869073961e-06   1.8827397092652154e-05       3.2831724684069157e-06   1.2464761413159923e-05        3.379719538538092e-06   1.8643226712470816e-05        4.538542809160417e-06   1.6994141156428323e-05        4.130695892393646e-06   2.7571013341445036      0.18380675560963358                           1.0                         0.05                    0.05          0.6382994547281418                  0.1759750980642791                 0.13624716024110428                             -0.6                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0              0.004         600.0                 1.0              600.0               0.0                50.0              500.0         231.546317098878               1.0                     0.004                                   10.0  1856.7310196448477              9.344412242399604e+26                   3.406   4.197060417718894e+35   105290029.78855465     0.22591510238913706   0.22850019349917425    0.22624243349338496  1.2105808098441683e+36  1.6370797370500425e+35   1.2143228371300625e+33     1.6249365086787418e+35   6.145815527218051e+35   5.959992571223633e+35  32380576.167657156      32269436.589204073        111139.57845308029    72909455.13239448         70758168.8644167         2151286.2679777853   4.571779529654952e+52   4.465559308760504e+50    4.527123936567347e+52   2.176450446840871e-06   7.501746623276817e-06   8.442192348760678e-06    8.48500017217647e-06   8.607208635486909e-06   8.905207021380443e-06   9.273919386214626e-06   9.791385693852778e-06   8.593689214205705e-06   8.678025566978951e-06    9.56413727274221e-06  2.4011483307671537e-05   1.820208216240685e-05   1.676525692453052e-05  1.7829859444807864e-05  1.7931433710355175e-05 
     7629           0.18308927898066085               0.13267699784922785  198.86908554976893    203.063603883618    5.346057555456672        2.816121319674685  198.86908554976893        203.063603883618  0.34488471009889027    0.28748906053239587                 50.0    3.858725295348523e-14   586.5134651307644       682.7911972683986        56.698925427413236             72.29610885902463       95574912.973631         90289145.32641146    7.05832093701024   8.807139244409475    1.3918665290343288         1.434341637918888   3.0506288045240786       1.8649392673391392     76896892.65312456        62415339.835793614    1.215127943216415e-05       3.9753766527315736e-06    3.345792997512834e-05        7.667519648866033e-06   3.7050553786568875e-05         4.86520471330283e-06   3.7018007300842246e-05        4.588425085940084e-06    3.602920877110188e-05        3.568564135568455e-06    3.627281327530154e-05         2.98220286644969e-06    3.732873138598748e-05       2.9866386174712533e-06    4.048715541592812e-05        4.817891289128007e-06    3.689776567398518e-05       4.0528716945399215e-06   3.6318572115107615e-05        3.178094239760199e-06    4.008885917552864e-05         4.52085630152222e-06    5.936564591784014e-05       1.4082449150044716e-05   5.8092857435339925e-05       1.1693568434236497e-05    3.611123923575047e-05       1.0465835600208935e-05    5.172079132926997e-05       1.3266452034210302e-05     4.71415906517057e-05       1.2277827339012623e-05   1.3022923052018032      0.08681948701345354                           1.0                         0.05                    0.05          0.5815996800111749                 0.19249321293956156                 0.14973458707742765                             -0.4                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0           1000.0               0.02         200.0                 1.0              200.0               0.0                50.0              200.0        74.78918200697412               1.0                     0.004                                   10.0   1828.234765224698              9.495128182943638e+26                   3.452  1.8340868598565923e+36   167067070.83448133      1.1670196885771396     1.103176751601648     1.1664577467775388  5.2592474359543786e+36   8.443312586026183e+35    5.529925733407171e+33      8.388013328692113e+35  2.1846820153903832e+36  3.0745654205639955e+36    39550297.9046905       38977919.04524391         572378.8594465888    127516780.7186649         116424574.321462         11092206.397202898   2.358520310981154e+53  2.1690988753736375e+51   2.3368293222274177e+53  1.1483665672383303e-05   3.633078585046552e-05   3.895180489995799e-05  3.8787899096167736e-05  3.7123916666415635e-05  3.6734081898880585e-05   3.768617007333707e-05   3.828893714556837e-05  3.8342280177410305e-05  3.6641531088900075e-05   3.796004512515766e-05   6.390418795893576e-05   5.760155973384505e-05    4.75019636765871e-05  5.5153475606269034e-05   5.322428066428125e-05 
     3184            0.2481662403177764                0.1306971199293477  188.37925945505296   201.5082213942998    5.443323157071329       2.7595436352421836  188.37925945505296       201.5082213942998  0.37388283881370077    0.28513388538811424   49.999999999999986    5.104327500362972e-14   569.8684930241735       678.0343143409465         51.72390838966678             70.41941417896963      391446270.377513          344629817.928592   33.52018589259151  38.710221940984056     6.623354085727227         6.419146395037166    14.73704918481434        7.449608505418345    320845059.76245797        237226178.57069004    3.078458173718526e-05        9.963973925912685e-06    9.806479389048234e-05        2.037195216502007e-05    0.0001210926533117051       1.5307690568055953e-05   0.00012254087786083828       1.4686869879472576e-05   0.00012834769100175593       1.3383403484605767e-05   0.00013403995525557863        1.244942638054722e-05   0.00014033516485694825       1.2973050339117551e-05   0.00015424097859172001        1.976581291752255e-05   0.00012638229269395075       1.3877969591083484e-05   0.00013206977437341875       1.2685253598810447e-05   0.00014956761404766487        1.630548229920855e-05   0.00021858958828183223       4.5384417792826286e-05   0.00023912252537981258       4.2011331212894935e-05    0.0001514508462077807       3.6005192023598816e-05   0.00021666893354717448        4.739536762501388e-05    0.0002010226837440047       4.2851635428707793e-05   0.3663936274092242     0.024426241827281613                           0.5                          0.2                     0.1           1.214863889910153                  0.5124025972761064                  0.4771867852065825                             -0.4                                 0.0                                217.5                            35.0                  0.0                 0.0                     300.0               -1.0            100.0              0.004         100.0                 1.0              100.0               0.0                50.0              500.0         32.9201960888059               1.0                     0.004                                   10.0   1818.492218610547               9.54761987863236e+26                   3.468  1.8130764957586801e+37    434148567.0666325       8.124799720301176     4.341485670666326     7.8243678339478375   2.997050703565012e+37   5.786935156627854e+36   3.3075109135392258e+34      5.753860047492461e+36   9.137517331773144e+36  2.0832989703876975e+37   76827492.25947845       73065739.21903624         3761753.040442223    357321126.5096646         282839149.508118          74481977.00154664   1.614894028220021e+54  1.3199326062475994e+52    1.601694702157545e+54  2.9334868169754027e-05  0.00010358091988551811  0.00013174728762185527  0.00013298038250298915   0.0001386946496916625  0.00014142200497928772  0.00014362646078913138   0.0001443556901973491   0.0001365601816151641  0.00013991634536673794   0.0001437312378441318   0.0002570601365437574  0.00022868944632746394  0.00018432942557018917   0.0001991971390910502  0.00020301297271258764 
     7809            0.2402970328078223                0.1529069231223941  203.46614677910432  205.68840388332288    5.345391797000427        2.816720066250489  203.46614677910432      205.68840388332288   0.3415887419293467    0.28881589782838707    50.00000000000002    6.688912190079225e-14   579.0746797591189       679.3131960624131         59.46456825944531             75.27768563353783    249337161.98896158        212869589.74013516   20.16426694582259    27.2734380340998     3.706674092596517         3.922605979899342    8.240352473388832        5.176624932952437    200955652.54061478        145742944.52716047   1.4815016588488337e-05        4.733221109036675e-06    5.474202290587859e-05       1.2131802918430381e-05    6.546818552605344e-05        8.497810082050907e-06    6.601873776309651e-05         8.00060041623071e-06    6.723989042772673e-05        6.302601105269867e-06     6.89420547863076e-05        5.793485610295999e-06    7.137382568179286e-05        5.991513867448854e-06    7.356000149920725e-05        7.461815183153702e-06    6.754186646754647e-05       7.0879495816186344e-06    6.800668819534697e-05        5.919334856600317e-06    7.332315570713153e-05        7.111961200466736e-06    9.046309588931379e-05       1.1966702664856854e-05   0.00012355327552918862        2.624542608682912e-05    8.194705350958009e-05       1.9354287382931283e-05      8.9774641667672e-05        2.236417892808252e-05   0.00010599405054797306          2.6732146660846e-05   3.2748400972347396      0.21832267314898263                           0.5                         0.05                   0.025         0.32838162154468226                 0.09115644831874602                 0.06239913839432158                             -0.6                                 0.0                                217.5                            35.0                  0.0                 0.2                     300.0               -3.5             10.0               0.02         400.0                 1.0              400.0               0.0                50.0              200.0        175.4807747354161               1.0                     0.008                                   10.0  1753.7751833437283              9.909440772286687e+26                   3.578   1.703726772874982e+36    696915855.4317551      1.5936404718850747    1.7851722550076732     1.6115191192534324   8.464356137592361e+36  1.0158161627962584e+36    5.228406099757504e+33     1.0105877566965008e+36   4.225567888214615e+36   4.238788249377747e+36  203006422.65169427      202168696.97645348         837725.6752407829   493909432.84376556       478631967.26276726         15277465.580998274   2.930731918666959e+53  2.0340910061584544e+51   2.9103910086053743e+53  1.5062305597787814e-05    5.93877603842224e-05   6.975101826244106e-05   6.995115022225798e-05    6.84860894280278e-05   6.677374436245222e-05   6.817084396401585e-05   7.004365024250023e-05   7.079142826862256e-05   6.694620059065844e-05   6.988858637095039e-05  0.00010904730187928648  0.00011325272507830532  0.00010380681449993587  0.00010651994169237892  0.00010848339214095916 
