    id  redshift        hst.acs.wfc.F435W   hst.acs.wfc.F435W_err        hst.acs.wfc.F606W   hst.acs.wfc.F606W_err  hst.acs.wfc.F775W  hst.acs.wfc.F775W_err        hst.acs.wfc.F814W   hst.acs.wfc.F814W_err       hst.wfc3.ir.F105W   hst.wfc3.ir.F105W_err       hst.wfc3.ir.F125W   hst.wfc3.ir.F125W_err       hst.wfc3.ir.F140W   hst.wfc3.ir.F140W_err       hst.wfc3.ir.F160W   hst.wfc3.ir.F160W_err       jwst.nircam.F090W   jwst.nircam.F090W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
 22072    7.8916                -3.15e-06  2.4450779639921503e-06   2.0000000000000002e-07  2.1400233643584363e-06              -99.0                  -99.0  -1.1399999999999999e-06  1.6110086902310614e-06                3.93e-05  3.7636850293296333e-06   8.028000000000001e-05   5.716388370291158e-06                8.52e-05   6.247599539022968e-06              0.00010183   6.690214663970059e-06                   -99.0                   -99.0               5.869e-05  4.3050888782927585e-06               9.589e-05   5.435147675086668e-06               8.588e-05    4.93882941596488e-06               9.332e-05  4.8518507808876395e-06              0.00010918    5.64318890344812e-06   8.981999999999999e-05   5.184320688383387e-06              0.00025053  1.2663838369546573e-05 
 21979    7.8811                -9.71e-06   1.088083683592397e-05                -3.73e-06   8.971938600436364e-06              -99.0                  -99.0   6.7600000000000005e-06   6.908273590413165e-06               3.388e-05   7.396596244219364e-06  0.00014371999999999999  1.2731798616063639e-05              0.00015602   1.252579741972542e-05  0.00020449999999999998  1.3923114773641707e-05                   -99.0                   -99.0               8.372e-05  1.3201249789319193e-05              0.00018125  1.3681791046862249e-05              0.00021196  1.4495851268552669e-05  0.00025873000000000004  1.4152760587602692e-05              0.00036631   1.931092800074611e-05               0.0003705  2.1804257038477603e-05  0.00046322000000000003   2.451352322698637e-05 
 12460    7.8774   3.9399999999999995e-06   2.866776761451788e-06                   -1e-08  2.3200000538793095e-06              -99.0                  -99.0   2.1099999999999997e-06   1.733213850048516e-06  4.3299999999999995e-05   3.484268215852505e-06              0.00013636   7.889614946244209e-06              0.00015688   8.729102817586697e-06              0.00016385   9.030894543177879e-06                   -99.0                   -99.0               9.336e-05     5.6936652518391e-06              0.00014699   7.843643939521987e-06               0.0001346   7.258877323663764e-06              0.00013467   6.902928527081822e-06  0.00015926000000000002   8.130127243776693e-06              0.00014176   7.688962478774363e-06              0.00038473  1.9360760115501667e-05 
 21980    7.8798  -1.8699999999999999e-06   2.321883341169405e-06   2.2399999999999997e-06  1.9931492668638743e-06              -99.0                  -99.0                 -8.1e-07  1.4705578023321627e-06               1.934e-05  2.0169256307558788e-06               5.469e-05   3.752651096225174e-06               5.142e-05   3.483179725480728e-06               5.673e-05  3.6518121871202526e-06                   -99.0                   -99.0                3.66e-05   3.488524043202225e-06               6.019e-05   3.880668789010471e-06               5.236e-05   3.565154134115382e-06               4.282e-05   2.459264320889481e-06  5.4449999999999995e-05   3.016953140173045e-06               5.263e-05  3.5750793347840544e-06               6.907e-05   3.858116412188725e-06 
 12463    7.2867                 3.63e-06   5.572956329453874e-06                -3.47e-06   4.803134627511496e-06              -99.0                  -99.0                  1.3e-07  2.9100072594411164e-06                0.000194  2.7535121209103115e-05              0.00036337  3.0333125329415034e-05                   -99.0                   -99.0              0.00040231  3.7147627653054776e-05               -2.08e-06   6.140880718594036e-06  0.00033034000000000004  1.7437298787369564e-05              0.00038184   2.049770875000423e-05              0.00032774  1.6906784703189428e-05              0.00030336  1.5448401988555323e-05              0.00029868  1.5209166841086334e-05   0.0008983400000000001   4.557221619583582e-05               0.0005584   2.815113496823885e-05 
 12484    6.2282                -1.13e-06  3.3004836388020467e-06                 2.52e-06   2.892745408776929e-06              -99.0                  -99.0                1.624e-05  1.9655645499448753e-06              0.00011347  1.9589566157778992e-05  0.00011237999999999999  1.9391925149401746e-05                   -99.0                   -99.0   9.510000000000001e-05  2.3574522794746026e-05  5.5129999999999996e-05   4.957085055756054e-06              0.00011699   6.837269209998975e-06              0.00012141   7.568445695781929e-06  0.00010947999999999999   6.060088778227592e-06  0.00010860999999999999   5.684428753181801e-06              0.00017924   9.155017422157099e-06              0.00010302   6.436800525105622e-06  0.00016220999999999998   8.380471958666766e-06 
 12589    5.7717   5.7000000000000005e-06   3.073243400708769e-06                  5.2e-07  2.6101294987030817e-06              -99.0                  -99.0                6.023e-05  3.6206673763271874e-06              0.00015141  1.2446962290052944e-05  0.00019470000000000002  1.9364860572697138e-05                   -99.0                   -99.0              0.00018908  1.6317723983448184e-05              0.00012338   8.178842277486466e-06              0.00016956   9.327839192438944e-06              0.00017967   1.016665491939212e-05  0.00019172000000000001  1.0090287210976703e-05              0.00026085  1.3230087159576843e-05              0.00032482  1.6421783733809192e-05              0.00028708  1.5173783839240626e-05               0.0003237  1.6402128672827808e-05 
 12469    5.7634  -5.0800000000000005e-06  3.5690497334724825e-06                   -3e-07  3.2900341943511773e-06              -99.0                  -99.0                 3.82e-05   3.020546308203203e-06              0.00012006   7.169547335780691e-06               0.0001349    8.74120272044986e-06              0.00013188   8.466223242981489e-06              0.00013803   8.545893882444364e-06   8.476000000000001e-05    7.10286167681731e-06              0.00012406   7.171973856617159e-06  0.00014366000000000002   8.112236991114106e-06              0.00014192   7.635811417262739e-06              0.00017691   9.062216630052495e-06                0.000223  1.1342349844719127e-05  0.00017088999999999999   9.323163639559267e-06              0.00020467  1.0504352538352853e-05 
 12586    5.1334                 6.96e-06   5.520978536455291e-06                 3.67e-06   4.853470124560365e-06              -99.0                  -99.0                4.333e-05   4.014738129691649e-06   7.290000000000001e-05   6.317564799825958e-06               8.262e-05   8.309588497633322e-06               6.567e-05   8.114047833849637e-06               6.053e-05   7.170055944691087e-06                5.52e-05   9.921617811627295e-06               7.553e-05   6.178515375881167e-06               8.014e-05  6.4074994342567055e-06               7.547e-05    5.65361850941501e-06              0.00015982   8.564022477784607e-06              0.00011655    6.56815470661281e-06              0.00015062    9.19751928511161e-06              0.00013744   8.059062228324089e-06 
 12601    4.7941                 3.21e-06   4.902627892263494e-06   3.3169999999999996e-05   4.109528227181314e-06              -99.0                  -99.0               0.00012208   6.728128714583276e-06              0.00012465    6.90828895241072e-06  0.00012069000000000001  7.3924346632215845e-06                0.000124   7.416528837670627e-06              0.00012409   7.307216997599019e-06                   -99.0                   -99.0              0.00012746   8.989478794679924e-06              0.00013393   8.577453715992875e-06  0.00014199000000000001    8.75313088271848e-06              0.00022332  1.1556814266916295e-05               0.0001769   9.359360287968403e-06  0.00012679000000000002   8.867314150857632e-06              0.00011686   7.075362110874609e-06 
