source_id,grating,BIC_Ha1,AIC_Ha1,reduced_chi2_Ha1,Ha_EW_narrow_Ha1,Ha_EW_narrow_err_Ha1,OIII_FWHM,OIII_EW,OIII_Luminosity,Hb_FWHM,Hb_EW,Hb_Luminosity,Hb_Luminosity_err,Ha_FWHM,Ha_FWHM_err,Ha_intrinsic_FWHM,Ha_intrinsic_FWHM_err,Ha_Luminosity,Ha_Luminosity_err,OIII_FWHM_err,OIII_intrinsic_FWHM,OIII_intrinsic_FWHM_err,OIII_EW_err,OIII_Luminosity_err,Hb_FWHM_err,Hb_intrinsic_FWHM,Hb_intrinsic_FWHM_err,Hb_EW_err
7301,g395h-f290lp2,168.361,155.865,2.47,156.42,10.11,166.47,656.67,3.841e+42,175.25,178.3,6.802e+41,3.267e+40,156.42,2.6,139.04,2.93,2.076e+42,6.028e+40,2.26,137.06,2.74,8.09,9.575e+40,4.84,147.09,5.77,2.28
7302,g395m-f290lp3,48.972,40.213,1.734,227.58,7.46,282.65,801.32,3.324e+42,249.95,103.06,6.131e+41,5.353e+40,227.58,5.85,144.56,9.21,1.773e+42,7.798e+40,4.31,166.94,7.29,9.84,8.806e+40,13.09,101.12,32.35,1.3
7304,g395h-f290lp1,97.16,86.181,2.045,150.11,0.99,307.84,104.07,3.255e+41,191.26,24.22,5.679e+40,3.302e+40,150.11,19.24,109.93,26.28,1.347e+41,2.9e+40,24.86,215.69,35.48,1.27,4.435e+40,67.14,,,0.31
7308,g395h-f290lp1,130.878,120.149,2.933,184.0,3.27,214.78,353.62,1.308e+42,252.32,61.11,2.134e+41,2.215e+40,184.0,7.52,149.43,9.27,5.531e+41,4.446e+40,4.04,,,4.4,4.495e+40,15.33,,,0.77
7309,g395h-f290lp2,185.556,174.373,4.09,173.61,3.74,289.04,387.41,6.972e+41,228.86,85.7,1.959e+41,2.849e+40,173.61,7.71,142.73,9.38,4.325e+41,3.322e+40,9.66,194.4,14.36,4.75,4.274e+40,19.7,80.7,55.87,1.09
7310,g395h-f290lp1,175.999,163.724,2.732,170.59,2.64,169.21,455.89,2.136e+42,214.07,63.53,3.294e+41,5.941e+40,170.59,6.43,153.31,7.15,9.698e+41,6.188e+40,3.21,137.11,3.96,5.74,7.005e+40,23.28,189.9,26.24,0.81
7311,g235m-f170lp1,65.29,56.532,2.221,249.84,5.57,279.34,179655700961106.28,2.422e+41,148.12,28.37,4.31e+40,0.0,249.84,26.72,170.14,39.24,1.475e+41,2.628e+40,22.4,112.91,55.41,2203634636274.53,3.299e+40,0.0,,,0.36
7313,g395m-f290lp2,75.964,67.392,2.741,295.34,1.8,275.29,127.63,7.317e+41,340.45,24.77,1.377e+41,5.718e+40,295.34,21.84,229.66,28.09,4.502e+41,5.617e+40,11.77,141.7,22.86,1.57,5.37e+40,84.72,226.88,127.12,0.31
7314,g395m-f290lp1,61.3,52.792,2.202,220.85,5.15,269.4,401.76,7.626e+41,299.62,70.74,1.403e+41,3.484e+40,220.85,14.3,118.62,26.62,4.059e+41,4.439e+40,9.68,124.25,20.99,4.94,4.6e+40,44.99,158.15,85.24,0.89
7318,g395m-f290lp1,42.413,34.532,1.784,222.96,5.55,300.42,312.65,9.597e+41,,,,,222.96,8.06,67.1,26.8,3.234e+41,2.009e+40,8.48,103.1,24.71,3.82,4.767e+40,,,,
7319,g395h-f290lp1,154.856,143.005,2.644,234.61,2.52,222.02,65.33,7.364e+40,138.33,29.21,3.265e+40,3.357e+40,234.61,27.69,218.81,29.69,1.098e+41,2.185e+40,44.87,194.51,51.22,0.81,2.507e+40,96.81,,,0.37
7320,g395m-f290lp0,74.559,66.249,2.879,188.93,3.07,225.6,173.18,1.643e+41,659.21,93.6,8.658e+40,5.747e+40,188.93,56.22,,,1.101e+41,5.187e+40,26.2,,,2.15,3.361e+40,257.7,609.08,278.91,1.13
7327,g395h-f290lp1,138.95,126.55,2.112,132.38,2.0,146.85,552.32,1.689e+42,158.86,96.63,3.155e+41,3.727e+40,132.38,5.14,110.35,6.16,7.96e+41,5.184e+40,2.87,112.41,3.75,6.98,5.895e+40,10.99,124.11,14.06,1.24
7328,g395h-f290lp1,127.531,115.035,1.937,140.19,4.26,139.36,398.89,6.641e+41,114.65,42.31,1.1e+41,2.178e+40,140.19,7.45,120.5,8.66,4.099e+41,3.632e+40,3.75,102.44,5.1,5.05,3.102e+40,13.62,63.81,24.47,0.54
7329,g395h-f290lp1,180.763,169.482,3.8,149.24,3.18,222.23,262.59,1.346e+42,218.78,63.37,2.492e+41,2.979e+40,149.24,4.16,115.18,5.39,7.624e+41,3.71e+40,5.7,70.12,18.06,3.27,6.235e+40,15.34,41.02,81.83,0.8
7330,g395h-f290lp1,136.623,124.661,2.273,159.56,9.94,204.38,241.38,1.566e+42,481.77,320.95,4.794e+41,1.531e+41,159.56,8.51,137.74,9.86,8.012e+41,7.271e+40,9.92,175.76,11.53,2.95,1.313e+41,91.65,450.09,98.1,3.95
7334,g395h-f290lp1,129.353,118.203,2.592,204.42,2.46,262.74,188.11,1.06e+42,159.38,16.13,8.844e+40,0.0,204.42,5.51,178.94,6.29,5.599e+41,2.589e+40,5.32,151.72,9.22,2.32,3.769e+40,0.0,,,0.21
7335,g395h-f290lp1,162.727,150.502,2.543,158.6,11.99,177.03,267.14,1.25e+42,182.69,90.68,1.519e+41,3.077e+40,158.6,6.33,139.21,7.22,5.627e+41,3.819e+40,4.55,146.79,5.48,3.36,5.612e+40,22.03,152.89,26.33,1.16
7338,g395m-f290lp1,45.071,37.586,2.021,169.99,5.91,217.7,91.68,9.082e+40,162.56,inf,2.285e+40,0.0,169.99,0.0,,,3.952e+40,0.0,53.74,77.16,151.63,1.12,3.779e+40,0.0,,,
7339,g395h-f290lp0,120.502,108.329,1.961,119.14,1.61,815.48,50.85,5.168e+41,155.14,62.44,1.375e+41,7.724e+40,119.14,12.01,90.66,15.78,4.324e+41,7.287e+40,2292.91,809.48,2309.91,0.92,4.124e+42,52.3,117.63,68.97,0.8
7341,g395h-f290lp1,142.629,130.456,2.262,124.03,4.38,130.65,619.86,6.201e+41,67.29,19.71,7.808e+40,2.269e+41,124.03,10.09,96.92,12.91,4.644e+41,6.388e+40,7.14,85.56,10.9,7.86,5.836e+40,137.37,,,0.25
7342,g235m-f170lp0,68.53,60.087,2.514,216.24,3.55,253.63,518.49,1.983e+41,1000.0,1546.48,1.055e+41,5.557e+40,216.24,13.98,69.07,43.78,1.86e+41,2.081e+40,18.46,,,6.41,2.429e+40,305.03,962.66,316.86,17.82
7345,g395h-f290lp1,161.225,150.387,3.741,137.32,7.55,222.65,17043.33,1.16e+42,248.07,601.2,2.477e+41,1.821e+40,137.32,3.78,88.16,5.89,5.665e+41,2.728e+40,4.86,,,211.83,4.422e+40,10.61,22.98,114.55,7.6
7362,g395h-f290lp1,164.116,151.692,2.448,106.86,2.66,289.17,3412.23,4.085e+41,117.78,49.32,8.832e+40,2.493e+40,106.86,6.52,78.18,8.91,3.018e+41,3.099e+40,10.54,146.17,20.86,41.84,2.555e+40,19.81,64.87,35.98,0.63
7367,g395m-f290lp2,68.611,59.733,2.274,905.9,2.908639240137988e+31,389.28,7.646390747292608e+21,2.208e+41,60.73,1.8127675070856071e+19,2.367e+40,7.471e+44,905.9,579.73,889.83,590.2,2.207e+41,2.406e+41,169.63,321.44,205.43,9.169294328094202e+19,1.606e+41,1332613.84,,,2.3428815228932797e+17
7371,g395m-f290lp2,59.137,50.693,2.155,281.81,1.66,242.63,162.38,6.138e+41,294.54,112.43,1.863e+41,5.477e+40,281.81,18.83,209.91,25.27,6.231e+41,7.053e+40,9.89,,,2.01,4.453e+40,51.08,144.22,104.32,1.39
7591,g395h-f290lp1,181.767,170.206,3.491,121.15,1.65,183.04,121.28,1.918e+41,182.55,279.09,5.577e+40,1.588e+40,121.15,11.82,78.97,18.13,1.122e+41,1.852e+40,16.38,,,1.52,2.905e+40,30.49,,,3.56
7600,g235m-f170lp1,72.51,64.001,2.638,229.61,4.08,276.57,416.9,1.003e+42,304.29,65.78,1.855e+41,1.963e+40,229.61,4.7,115.72,9.32,5.133e+41,1.832e+40,5.4,100.19,14.9,5.12,3.451e+40,18.75,159.25,35.82,0.83
7605,g235m-f170lp0,54.855,46.096,1.896,216.99,6.07,225.25,325.26,6.329e+41,294.22,61.47,1.023e+41,3.289e+40,216.99,11.09,115.75,20.79,2.834e+41,2.52e+40,6.87,,,4.04,3.455e+40,55.23,137.6,118.1,0.77
7607,g395m-f290lp1,56.742,47.983,1.951,220.2,4.75,268.4,980.07,7.328e+41,247.85,56.75,1.773e+41,2.823e+40,220.2,16.41,132.28,27.32,4.658e+41,5.848e+40,10.41,141.57,19.73,12.07,4.792e+40,22.83,95.38,59.32,0.72
7613,g395h-f290lp1,161.64,150.424,3.323,158.67,5.11,240.69,937.55,7.691e+41,264.88,1528.53,1.529e+41,3.456e+40,158.67,7.69,124.27,9.81,4.615e+41,3.856e+40,8.85,110.64,19.25,11.61,4.872e+40,35.62,155.8,60.56,19.31
7617,g395m-f290lp2,54.791,46.282,1.982,218.72,23.2,241.21,356.66,8.927e+41,318.54,106.38,2.114e+41,5.925e+40,218.72,14.32,113.52,27.59,5.249e+41,5.822e+40,10.06,,,4.42,6.304e+40,52.19,190.64,87.2,1.34
7618,g395h-f290lp1,114.719,105.502,3.948,141.45,4.17,249.16,793.35,8.407e+41,246.46,133.21,1.438e+41,1.722e+40,141.45,3.7,105.59,4.96,3.557e+41,1.612e+40,3.88,138.53,6.98,9.82,2.363e+40,17.37,124.46,34.39,1.69
7619,g395h-f290lp2,196.499,185.283,4.421,284.09,7.59,322.65,649.92,4.408e+42,348.39,161.66,8.325e+41,5.69e+40,284.09,4.68,266.2,4.99,2.619e+42,7.575e+40,3.73,241.23,4.99,7.91,8.989e+40,14.05,274.9,17.8,2.02
7621,g395h-f290lp1,213.942,203.068,5.918,133.3,4.0,239.01,786.5,1.492e+42,258.12,107.46,2.282e+41,1.351e+40,133.3,4.0,82.05,6.5,5.843e+41,3.071e+40,3.47,53.62,15.47,9.76,3.91e+40,8.89,78.25,29.34,1.36
7627,g395h-f290lp2,143.621,132.783,3.193,229.32,2.57,252.63,317.73,7.066e+41,1000.0,47.79,9.111e+40,6.806e+40,229.32,17.25,203.61,19.43,3.299e+41,4.274e+40,8.69,92.74,23.66,3.92,4.21e+40,437.5,968.77,451.6,0.55
7628,g395h-f290lp2,144.283,132.517,2.505,150.41,6.76,152.4,333.17,1.926e+42,233.46,100.94,3.097e+41,4.597e+40,150.41,3.82,123.43,4.65,7.761e+41,3.415e+40,3.82,107.52,5.42,4.21,8.442e+40,20.58,142.0,33.84,1.28
7629,g395m-f290lp2,71.931,63.488,2.658,217.3,5.96,275.95,898.47,3.482e+42,295.13,156.41,5.093e+41,5.037e+40,217.3,5.79,108.63,11.59,1.559e+42,7.182e+40,3.65,112.75,8.94,11.05,8.069e+40,17.24,144.71,35.16,1.97
7631,g395m-f290lp1,63.398,56.083,3.115,286.12,2.25,191.39,277.83,3.376e+41,77.28,28.64,6.509e+40,5.729e+44,286.12,21.76,131.43,47.37,1.638e+41,2.127e+40,7.68,,,3.48,2.27e+40,245954.3,,,0.37
7632,g395m-f290lp2,78.752,70.117,2.815,288.21,3.61,355.89,553.45,1.574e+42,338.67,55.54,2.628e+41,9.195e+40,288.21,27.21,223.38,35.11,7.609e+41,1.202e+41,13.76,272.4,17.97,6.69,1.045e+41,71.13,237.77,101.31,0.7
7633,g235m-f170lp0,74.936,65.942,2.427,194.86,4.97,212.38,602.91,9.056e+41,266.82,156.61,1.577e+41,2.043e+40,194.86,4.73,98.19,9.38,3.888e+41,1.61e+40,3.34,,,7.52,2.557e+40,20.74,104.84,52.78,1.98
7634,g395m-f290lp2,48.851,40.342,1.801,291.17,103.43,253.88,235.63,7.97e+41,336.6,85.59,2.435e+41,4.67e+40,291.17,13.76,224.78,17.83,6.473e+41,5.185e+40,7.76,101.2,19.47,2.91,4.192e+40,38.66,221.83,58.66,1.07
7635,g395h-f290lp2,164.093,152.355,2.909,166.12,5.16,191.35,493.08,3.388e+42,241.48,286.31,3.502e+41,4.897e+40,166.12,4.72,141.85,5.53,1.115e+42,5.628e+40,6.04,,,6.12,1.981e+41,19.48,152.15,30.92,3.63
7636,g395m-f290lp2,66.596,57.659,2.18,191.92,40.85,220.76,220.91,7.775e+41,169.39,56.1,1.077e+41,0.0,191.92,9.28,89.73,19.85,7.044e+41,5.719e+40,8.74,30.43,63.43,2.75,5.055e+40,0.0,,,0.72
21763,g395h-f290lp0,142.756,130.821,2.385,139.17,4.7434951231293906e+29,164.73,97.26,5.059e+41,234.92,122.27,1.399e+41,7.65e+40,139.17,14.33,113.1,17.63,3.205e+41,5.601e+40,14.51,127.17,18.79,1.23,7.622e+40,76.3,209.07,85.73,1.55
21773,g395h-f290lp2,156.377,144.388,2.583,184.26,7.50511409187416e+22,206.19,570.11,8.969e+41,1000.0,17.75,4.595e+40,2.737e+41,184.26,24.96,166.08,27.69,4.044e+41,9.137e+40,16.95,178.3,19.61,7.12,1.243e+41,3471.6,994.34,3491.37,0.2
21837,g395h-f290lp1,133.595,121.886,2.351,122.18,1.67,192.16,148.2,2.629e+41,66.38,56.69,6.792e+40,2.007e+45,122.18,13.99,85.41,20.01,1.639e+41,3.138e+40,26.95,65.29,79.32,1.85,6.182e+40,658180.83,,,0.73
