source_id,grating,BIC_Ha1,AIC_Ha1,reduced_chi2_Ha1,Ha_EW_narrow_Ha1,Ha_EW_narrow_err_Ha1,OIII_FWHM,OIII_EW,OIII_Luminosity,Hb_FWHM,Hb_EW,Hb_Luminosity,Hb_Luminosity_err,Ha_FWHM,Ha_FWHM_err,Ha_intrinsic_FWHM,Ha_intrinsic_FWHM_err,Ha_Luminosity,Ha_Luminosity_err,OIII_FWHM_err,OIII_intrinsic_FWHM,OIII_intrinsic_FWHM_err,OIII_EW_err,OIII_Luminosity_err,Hb_FWHM_err,Hb_intrinsic_FWHM,Hb_intrinsic_FWHM_err,Hb_EW_err,L_NII_uplim
7301,g395h-f290lp2,168.361,155.865,2.47,156.42,10.11,166.49,656.87,3.842e+42,175.25,178.3,6.802e+41,3.267e+40,156.42,2.6,140.49,61.81,2.076e+42,6.028e+40,2.26,139.84,75.92,8.09,9.577e+40,4.84,157.17,69.67,2.28,5.382631392330342e+40
7302,g395m-f290lp3,48.972,40.213,1.734,227.58,7.46,282.67,801.54,3.324e+42,249.95,103.06,6.131e+41,5.353e+40,227.58,5.85,149.35,112.76,1.773e+42,7.798e+40,4.31,175.06,137.47,9.84,8.818e+40,13.09,148.69,119.77,1.3,1.5698937201691787e+41
7304,g395h-f290lp1,97.16,86.181,2.045,150.1,0.99,307.94,104.11,3.255e+41,,,,,150.1,19.24,113.36,75.71,1.347e+41,2.9e+40,24.75,221.15,154.92,1.27,4.42e+40,,,,,6.809812245238685e+40
7308,g395h-f290lp1,130.878,120.149,2.933,184.0,3.27,214.82,353.69,1.308e+42,252.32,61.11,2.134e+41,2.215e+40,184.0,7.52,152.25,85.72,5.531e+41,4.446e+40,4.05,,,4.4,4.502e+40,15.33,151.5,121.5,0.77,2.8602078414617057e+40
7309,g395h-f290lp2,185.556,174.373,4.09,173.62,3.74,289.01,387.37,6.972e+41,228.86,85.7,1.959e+41,2.849e+40,173.62,7.71,145.56,79.6,4.325e+41,3.322e+40,9.65,201.21,144.59,4.75,4.271e+40,19.7,140.72,111.64,1.09,5.412562632602914e+40
7310,g395h-f290lp1,175.999,163.724,2.732,170.59,2.64,169.19,455.75,2.136e+42,214.07,63.53,3.294e+41,5.941e+40,170.59,6.43,154.66,65.51,9.698e+41,6.188e+40,3.2,140.03,78.63,5.74,6.993e+40,23.28,198.26,77.82,0.81,8.574577190294432e+40
7311,g235m-f170lp1,65.29,56.532,2.221,249.84,5.57,279.46,1518997787200.18,2.422e+41,,,,,249.84,26.72,175.11,126.3,1.475e+41,2.628e+40,22.09,129.99,115.53,18631308863.09,3.293e+40,,,,,6.240613693333594e+40
7313,g395m-f290lp2,75.964,67.392,2.741,295.34,1.8,275.28,127.63,7.317e+41,,,,,295.34,21.84,233.45,144.04,4.502e+41,5.617e+40,11.73,150.59,126.22,1.57,5.36e+40,,,,,1.189387091563893e+41
7314,g395m-f290lp1,61.3,52.792,2.202,220.85,5.15,269.36,401.59,7.626e+41,,,,,220.85,14.3,125.83,103.73,4.059e+41,4.439e+40,9.65,135.17,117.02,4.94,4.588e+40,,,,,1.0533518281753301e+41
7318,g395m-f290lp1,42.413,34.532,1.784,222.96,5.55,300.46,312.73,9.597e+41,,,,,222.96,8.06,80.88,75.43,3.234e+41,2.009e+40,8.45,121.84,111.43,3.82,4.753e+40,,,,,3.51646846148321e+40
