Galaxy,Distance,σ∗,Δσ∗,K,B − V,M∗,MBH,ΔMBH,ΔMBH,HT
ESO558-G009,102.5,170,20,,,0,1.70E+07,1.00E+06,1.00E+06,S
IC4296,49.2,322,16,7.37,1,11.7,1.30E+09,2.20E+08,2.20E+08,E
J0437+2456,66,110,13,,,0,2.80E+06,2.00E+05,2.00E+05,S
Mrk1029,124,132,15,,,0,1.90E+06,6.00E+05,6.00E+05,S
UGC6093,150,155,18,11.22,0.81,11.1,2.60E+07,1.00E+06,1.00E+06,S
NGC307,52.8,204,3,9.6,0.97,10.9,4.00E+08,5.50E+07,5.50E+07,S0
NGC584,19.1,189,5,7.31,0.95,10.9,1.30E+08,5.00E+07,5.00E+07,S0
NGC1320,49.1,141,16,9.41,0.86,10.9,5.50E+06,2.50E+06,2.50E+06,S
NGC1398,24.8,234,4,6.51,0.97,11.4,1.10E+08,2.10E+07,2.10E+07,S
NGC1600,64,293,30,7.83,1.04,11.7,1.70E+10,1.50E+09,1.50E+09,E
NGC2784,9.6,188,8,6.36,1.15,10.7,1.00E+08,6.00E+07,6.00E+07,S0
NGC2974,21.5,227,11,7.57,0.99,10.9,1.70E+08,3.60E+07,3.60E+07,E
NGC3031,3.6,143,7,3.88,1.04,10.8,6.50E+07,2.00E+07,2.00E+07,S
NGC3079,15.9,146,7,7.13,0.81,10.8,2.50E+06,2.80E+05,2.80E+05,S
NGC3414,25.2,205,10,7.72,0.87,11,2.50E+08,4.10E+07,4.10E+07,S0
NGC3627,10.1,123,1,5.89,0.83,10.9,8.50E+06,9.40E+05,9.40E+05,S
NGC3640,26.3,176,8,7.43,0.93,11.1,7.70E+07,5.00E+07,5.00E+07,E
NGC3923,20.9,222,10,6.41,1.07,11.3,2.80E+09,7.50E+08,7.50E+08,E
NGC4151,20,156,8,7.48,0.6,10.8,6.50E+07,1.10E+07,1.10E+07,S
NGC4281,24.4,227,11,7.91,0.96,10.9,5.40E+08,8.00E+07,8.00E+07,S0
NGC4339,16,95,0,8.5,0.89,10.2,4.30E+07,3.00E+07,3.00E+07,E
NGC4371,16.9,143,2,7.65,0.99,10.7,7.00E+06,1.20E+06,1.20E+06,S
NGC4434,22.4,98,0,9.16,0.94,10.3,7.00E+07,2.50E+07,2.50E+07,E
NGC4501,16.5,157,3,6.26,0.89,11.2,2.00E+07,3.70E+06,3.70E+06,S
NGC4552,15.3,252,12,6.7,1,10.9,5.00E+08,5.90E+07,5.90E+07,E
NGC4570,17.1,170,8,7.73,0.99,10.6,6.80E+07,2.00E+07,2.00E+07,S0
NGC4578,16.3,107,0,8.49,0.87,10.3,1.90E+07,1.00E+07,1.00E+07,E
NGC4621,18.3,225,11,6.64,0.97,11.1,4.00E+08,7.90E+07,7.90E+07,E
NGC4699,18.9,181,4,6.42,0.91,11.2,1.80E+08,2.10E+07,2.10E+07,S
NGC4762,22.6,134,0,7.34,0.86,11,2.30E+07,7.50E+06,7.50E+06,E
NGC5018,40.5,209,3,7.63,0.98,11.4,1.00E+08,1.90E+07,1.90E+07,E
NGC5419,56.2,367,9,7.55,1.07,11.8,7.20E+09,2.40E+09,2.40E+09,E
NGC5495,93.1,166,20,,,0,1.00E+07,1.00E+06,1.00E+06,S
NGC5765b,113,162,19,,,0,4.40E+07,5.00E+06,5.00E+06,S
