source_id,grating,BIC_Ha2,BIC_Ha1,AIC_Ha2,AIC_Ha1,reduced_chi2_Ha2,reduced_chi2_Ha1,Ha_EW_broad,Ha_EW_broad_err,Ha_EW_narrow,Ha_EW_narrow_err,Ha_EW_narrow_Ha1,Ha_EW_narrow_err_Ha1,OIII_FWHM,OIII_EW,OIII_Luminosity,OIII_Luminosity_err,Hb_FWHM,Hb_EW,Hb_Luminosity,Hb_Luminosity_err,Hb_FWHM_broad,Hb_FWHM_narrow,Hb_EW_broad,Hb_EW_narrow,Hb_Luminosity_broad,Hb_Luminosity_narrow,Hb_Luminosity_err_broad,Hb_Luminosity_err_narrow,Ha_Luminosity_broad,Ha_Luminosity_err_broad,Ha_Luminosity_narrow,Ha_Luminosity_err_narrow,Ha_Luminosity_narrow_Ha1,Ha_Luminosity_err_narrow_Ha1,Ha_FWHM_broad,Ha_FWHM_broad_err,Ha_FWHM_narrow,Ha_FWHM_narrow_err,Ha_FWHM_narrow_Ha1,Ha_FWHM_narrow_err_Ha1,Ha_intrinsic_FWHM_broad,Ha_intrinsic_FWHM_broad_err,Ha_intrinsic_FWHM_narrow,Ha_intrinsic_FWHM_narrow_err,Ha_intrinsic_FWHM_narrow_Ha1,Ha_intrinsic_FWHM_narrow_err_Ha1,OIII_FWHM_err,OIII_intrinsic_FWHM,OIII_intrinsic_FWHM_err,OIII_EW_err,Hb_FWHM_err,Hb_EW_err,Hb_FWHM_broad_err,Hb_FWHM_narrow_err
7316,g395h-f290lp2,175.468,268.494,153.6,255.998,2.395,4.483,210.26,2.28,186.69,2.39,114.5,1.46,150.84,413.8,1.681e+42,6.517e+40,161.45,79.46,2.993e+41,3.028e+40,1000.11,151.62,,,8.971e+40,2.736e+41,3.012e+41,3.691e+40,1.056e+42,1.786e+41,9.376e+41,6.987e+40,1.155e+42,8.964e+40,1404.62,138.69,145.35,6.24,175.3,8.01,1402.93,154.68,127.97,60.92,161.19,63.79,3.34,120.77,72.4,5.23,9.67,1.02,2350.76,11.43
7845,g395h-f290lp2,460.55,851.61,435.007,837.014,4.515,18.789,573.68,6.77,189.26,2.44,433.2,5.36,229.2,440.0,1.818e+42,8.123e+40,225.2,78.55,3.761e+41,2.991e+40,2129.15,213.54,,,1.893e+41,3.485e+41,8.796e+40,2.568e+40,3.515e+42,1.425e+41,1.16e+42,7.268e+40,3.518e+42,1.36e+41,1891.84,45.64,200.09,7.29,1000.0,13.87,1889.61,102.34,177.83,81.78,995.78,92.38,5.25,103.31,92.25,5.47,10.46,1.0,550.97,8.92
8217,g395m-f290lp0,24.662,135.645,10.36,127.473,1.069,8.748,319.65,3.34,113.31,1.43,231.87,2.7,244.49,797.99,1.707e+42,7.594e+40,352.98,82.53,4.019e+41,8.288e+40,1802.8,330.39,,,1.461e+41,3.61e+41,2.591e+41,1.075e+41,2.932e+42,1.983e+41,1.039e+42,9.568e+40,3.051e+42,3.915e+41,1628.76,64.71,245.19,12.72,910.89,69.71,1616.58,207.58,143.41,116.56,888.91,205.66,6.18,,,9.86,43.66,1.03,1847.61,54.95
8219,g395m-f290lp0,34.011,30.905,18.272,21.911,1.181,1.294,92.94,1.0,138.28,1.76,109.36,1.39,284.16,1275.83,2.484e+42,2.16e+41,240.81,76.21,3.157e+41,8.122e+40,1972.36,236.94,,,6.401e+40,3.063e+41,3.815e+41,9.389e+40,9.434e+41,6.377e+41,1.404e+42,3.235e+41,1.644e+42,2.911e+41,1437.03,569.48,188.18,25.53,213.21,22.46,1427.65,588.73,92.39,81.46,131.86,36.32,14.42,191.35,21.42,15.64,36.58,0.97,6772.18,40.87
9048,g395m-f290lp1,16.647,98.509,0.808,89.459,0.921,3.338,360.75,4.0,84.52,1.08,232.46,2.78,,,,,,,,,,,,,,,,,1.939e+42,1.477e+41,4.544e+41,8.155e+40,1.789e+42,1.757e+42,1782.35,81.5,287.05,29.12,1000.0,693.06,1768.45,234.76,181.81,141.9,975.02,709.6,,,,,,,,
9073,g395m-f290lp0,38.421,59.395,23.761,51.017,1.332,2.194,218.43,2.41,28.09,0.36,198.56,2.28,,,,,,,,,,,,,,,,,2.963e+42,2.663e+41,3.81e+41,1.313e+41,3.049e+42,3.086e+41,1275.15,68.92,219.72,41.37,1000.0,63.54,1261.59,195.79,117.75,101.86,982.64,192.68,,,,,,,,
9793,g395m-f290lp1,35.878,44.134,21.827,36.105,1.321,1.798,283.88,3.16,28.88,0.37,246.72,2.84,100.48,217.29,5.316e+41,3.281e+46,1000.0,81.7,2.004e+41,1.807e+41,1187.66,999.45,,,4.649e+40,1.655e+41,8.49e+42,6.073e+42,1.838e+42,2.001e+41,1.87e+41,8.019e+40,1.858e+42,1.041e+41,1240.98,79.91,189.06,40.78,1000.0,3.49,1224.41,214.43,,,979.36,197.96,1941668.34,,,2.77,521.61,0.94,121489.79,13719.85
9887,g395m-f290lp1,3.332,21.19,-10.719,13.16,0.731,1.185,186.81,2.15,128.66,1.64,123.06,1.56,100.0,,9.27e+40,3.676e+42,54.83,8.92,2.002e+40,1.435e+57,1436.12,40.59,,,1.323e+41,1.932e+40,2.01e+41,1.757e+69,3.193e+41,1.23e+41,2.199e+41,4.267e+40,3.582e+41,4.895e+40,1000.0,245.18,182.3,17.14,259.15,20.74,979.47,310.89,,,162.88,127.36,2289.4,,,,4.337587100981111e+17,0.12,1315.51,1.4340459235815853e+30
11344,g395m-f290lp0,28.936,32.002,14.513,23.761,1.147,1.409,122.82,1.22,37.67,0.46,89.29,1.03,751.85,55.28,3.31e+41,2.967e+41,96.21,23.27,1.661e+41,8.242e+46,4620.38,159.06,,,8.916e+41,5.313e+40,4.775e+42,1.844e+42,1.794e+42,7.064e+41,5.501e+41,3.599e+41,1.7e+42,4.65e+41,1896.14,432.27,470.15,155.44,1000.0,169.31,1886.45,470.38,429.37,225.27,981.49,250.91,385.73,709.88,432.82,0.6,14530362.04,0.3,10286.26,3715.27
12229,g395m-f290lp1,16.658,34.667,4.33,27.622,0.954,1.74,549.11,5.75,172.06,2.07,333.53,3.83,,,,,,,,,,,,,,,,,1.045e+42,2.436e+41,3.274e+41,2.142e+41,1.144e+42,6.871e+40,1579.92,191.82,633.69,163.16,1000.0,20.75,1560.16,310.45,582.69,273.79,968.48,242.06,,,,,,,,
